DanTh 1:1
καὶ C--------- καί
ἀπεκρίθη VCI-API3S- κρίνω ἀπο
Ναβουχοδονοσορ N---NSM--- Ναβουχοδονοσορ
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
εὐλογητὸς A1--NSM--- εὐλογητός
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
τοῦ RA--GSM--- ὁ
Σεδραχ N---GSM--- Σεδραχ
Μισαχ N---GSM--- Μισαχ
Αβδεναγω N---GSM--- Αβδεναγω
ὃς RR--NSM--- ὅς
ἀπέστειλεν VAI-AAI3S- στέλλω ἀπο
τὸν RA--ASM--- ὁ
ἄγγελον N2--ASM--- ἄγγελος
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἐξείλατο VBI-AMI3S- αἱρέω ἐκ
τοὺς RA--APM--- ὁ
παῖδας N3D-APM--- παῖς
αὐτοῦ RD--GSM--- αὐτός
ὅτι C--------- ὅτι
ἐπεποίθεισαν VXI-YAI3P- πείθω
ἐπ' P--------- ἐπί
αὐτῷ RD--DSM--- αὐτός
καὶ C--------- καί
τὸ RA--ASN--- ὁ
ῥῆμα N3M-ASN--- ῥῆμα
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
ἠλλοίωσαν VAI-AAI3P- ἀλλοιόω
καὶ C--------- καί
παρέδωκαν VAI-AAI3P- δίδωμι παρα
τὰ RA--APN--- ὁ
σώματα N3M-APN--- σῶμα
αὐτῶν RD--GPM--- αὐτός
εἰς P--------- εἰς
πῦρ N3--ASN--- πῦρ
ὅπως C--------- ὅπως
μὴ D--------- μή
λατρεύσωσιν VA--AAS3P- λατρεύω
μηδὲ C--------- μηδέ
προσκυνήσωσιν VA--AAS3P- κυνέω προς
παντὶ A3--DSM--- πᾶς
θεῷ N2--DSM--- θεός
ἀλλ' C--------- ἀλλά
ἢ C--------- ἤ
τῷ RA--DSM--- ὁ
θεῷ N2--DSM--- θεός
αὐτῶν RD--GPM--- αὐτός

DanTh 3:96
καὶ C--------- καί
ἐγὼ RP--NS---- ἐγώ
ἐκτίθεμαι V7--PMI1S- τίθημι ἐκ
δόγμα N3M-ASN--- δόγμα
πᾶς A3--NSM--- πᾶς
λαός N2--NSM--- λαός
φυλή N1--NSF--- φυλή
γλῶσσα N1S-NSF--- γλῶσσα
ἣ RR--NSF--- ὅς
ἂν X--------- ἄν
εἴπῃ VB--AAS3S- εἶπον
βλασφημίαν N1A-ASF--- βλασφημία
κατὰ P--------- κατά
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
Σεδραχ N---GSM--- Σεδραχ
Μισαχ N---GSM--- Μισαχ
Αβδεναγω N---GSM--- Αβδεναγω
εἰς P--------- εἰς
ἀπώλειαν N1A-ASF--- ἀπώλεια
ἔσονται VF--FMI3P- εἰμί
καὶ C--------- καί
οἱ RA--NPM--- ὁ
οἶκοι N2--NPM--- οἶκος
αὐτῶν RD--GPM--- αὐτός
εἰς P--------- εἰς
διαρπαγήν N1--ASF--- διαρπαγή
καθότι D--------- καθότι
οὐκ D--------- οὐ
ἔστιν V9--PAI3S- εἰμί
θεὸς N2--NSM--- θεός
ἕτερος A1A-NSM--- ἕτερος
ὅστις RX--NSM--- ὅστις
δυνήσεται VF--FMI3S- δύναμαι
ῥύσασθαι VA--AMN--- ῥύομαι
οὕτως D--------- οὕτως

DanTh 3:97
τότε D--------- τότε
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
κατεύθυνεν V1--IAI3S- εὐθύνω κατα
τὸν RA--ASM--- ὁ
Σεδραχ N---ASM--- Σεδραχ
Μισαχ N---ASM--- Μισαχ
Αβδεναγω N---ASM--- Αβδεναγω
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
χώρᾳ N1A-DSF--- χώρα
Βαβυλῶνος N3W-GSF--- Βαβυλών
καὶ C--------- καί
ἠξίωσεν VAI-AAI3S- ἀξιόω
αὐτοὺς RD--APM--- αὐτός
ἡγεῖσθαι V2--PMN--- ἡγέομαι
πάντων A3--GPM--- πᾶς
τῶν RA--GPM--- ὁ
Ιουδαίων N2--GPM--- Ἰουδαῖος
τῶν RA--GPM--- ὁ
ὄντων V9--PAPGPM εἰμί
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
βασιλείᾳ N1A-DSF--- βασιλεία
αὐτοῦ RD--GSM--- αὐτός

DanTh 4:1
Ναβουχοδονοσορ N---NSM--- Ναβουχοδονοσορ
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
πᾶσι A3--DPM--- πᾶς
τοῖς RA--DPM--- ὁ
λαοῖς N2--DPM--- λαός
φυλαῖς N1--DPF--- φυλή
καὶ C--------- καί
γλώσσαις N1S-DPF--- γλῶσσα
τοῖς RA--DPM--- ὁ
οἰκοῦσιν V2--PAPDPM οἰκέω
ἐν P--------- ἐν
πάσῃ A1S-DSF--- πᾶς
τῇ RA--DSF--- ὁ
γῇ N1--DSF--- γῆ
εἰρήνη N1--NSF--- εἰρήνη
ὑμῖν RP--DP---- σύ
πληθυνθείη VC--APO3S- πληθύνω

DanTh 4:2
τὰ RA--APN--- ὁ
σημεῖα N2N-APN--- σημεῖον
καὶ C--------- καί
τὰ RA--APN--- ὁ
τέρατα N3T-APN--- τέρας
ἃ RR--APN--- ὅς
ἐποίησεν VAI-AAI3S- ποιέω
μετ' P--------- μετά
ἐμοῦ RP--GS---- ἐγώ
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
ὁ RA--NSM--- ὁ
ὕψιστος A1--NSM--- ὕψιστος
ἤρεσεν VAI-AAI3S- ἀρέσκω
ἐναντίον P--------- ἐναντίον
ἐμοῦ RP--GS---- ἐγώ
ἀναγγεῖλαι VA--AAN--- ἀγγέλλω ἀνα
ὑμῖν RP--DP---- σύ

DanTh 4:3
ὡς C--------- ὡς
μεγάλα A1--APN--- μέγας
καὶ C--------- καί
ἰσχυρά A1A-APN--- ἰσχυρός
ἡ RA--NSF--- ὁ
βασιλεία N1A-NSF--- βασιλεία
αὐτοῦ RD--GSM--- αὐτός
βασιλεία N1A-NSF--- βασιλεία
αἰώνιος A1B-NSF--- αἰώνιος
καὶ C--------- καί
ἡ RA--NSF--- ὁ
ἐξουσία N1A-NSF--- ἐξουσία
αὐτοῦ RD--GSM--- αὐτός
εἰς P--------- εἰς
γενεὰν N1A-ASF--- γενεά
καὶ C--------- καί
γενεάν N1A-ASF--- γενεά

DanTh 4:4
ἐγὼ RP--NS---- ἐγώ
Ναβουχοδονοσορ N---NSM--- Ναβουχοδονοσορ
εὐθηνῶν V2--PAPNSM εὐθηνέω
ἤμην V9I-IMI1S- εἰμί
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
οἴκῳ N2--DSM--- οἶκος
μου RP--GS---- ἐγώ
καὶ C--------- καί
εὐθαλῶν V2--PAPNSM εὐθαλέω

DanTh 4:5
ἐνύπνιον N2N-ASN--- ἐνύπνιον
εἶδον VBI-AAI1S- ὁράω
καὶ C--------- καί
ἐφοβέρισέν VAI-AAI3S- φοβερίζω
με RP--AS---- ἐγώ
καὶ C--------- καί
ἐταράχθην VQI-API1S- ταράσσω
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
κοίτης N1--GSF--- κοίτη
μου RP--GS---- ἐγώ
καὶ C--------- καί
αἱ RA--NPF--- ὁ
ὁράσεις N3I-NPF--- ὅρασις
τῆς RA--GSF--- ὁ
κεφαλῆς N1--GSF--- κεφαλή
μου RP--GS---- ἐγώ
συνετάραξάν VAI-AAI3P- ταράσσω συν
με RP--AS---- ἐγώ

DanTh 4:6
καὶ C--------- καί
δι' P--------- διά
ἐμοῦ RP--GS---- ἐγώ
ἐτέθη VCI-API3S- τίθημι
δόγμα N3M-ASN--- δόγμα
τοῦ RA--GSN--- ὁ
εἰσαγαγεῖν VB--AAN--- ἄγω εἰς
ἐνώπιόν P--------- ἐνώπιον
μου RP--GS---- ἐγώ
πάντας A3--APM--- πᾶς
τοὺς RA--APM--- ὁ
σοφοὺς A1--APM--- σοφός
Βαβυλῶνος N3W-GSF--- Βαβυλών
ὅπως C--------- ὅπως
τὴν RA--ASF--- ὁ
σύγκρισιν N3I-ASF--- σύγκρισις
τοῦ RA--GSN--- ὁ
ἐνυπνίου N2N-GSN--- ἐνύπνιον
γνωρίσωσίν VA--AAS3P- γνωρίζω
μοι RP--DS---- ἐγώ

DanTh 4:7
καὶ C--------- καί
εἰσεπορεύοντο V1I-IMI3P- πορεύομαι εἰς
οἱ RA--NPM--- ὁ
ἐπαοιδοί N2--NPM--- ἐπαοιδός
μάγοι N2--NPM--- μάγος
γαζαρηνοί N2--NPM--- γαζαρηνός
Χαλδαῖοι N2--NPM--- Χαλδαῖος
καὶ C--------- καί
τὸ RA--ASN--- ὁ
ἐνύπνιον N2N-ASN--- ἐνύπνιον
εἶπα VAI-AAI1S- εἶπον
ἐγὼ RP--NS---- ἐγώ
ἐνώπιον P--------- ἐνώπιον
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
τὴν RA--ASF--- ὁ
σύγκρισιν N3I-ASF--- σύγκρισις
αὐτοῦ RD--GSM--- αὐτός
οὐκ D--------- οὐ
ἐγνώρισάν VAI-AAI3P- γνωρίζω
μοι RP--DS---- ἐγώ

DanTh 4:8
ἕως P--------- ἕως
οὗ RR--GSM--- ὅς
ἦλθεν VBI-AAI3S- ἔρχομαι
Δανιηλ N---NSM--- Δανιηλ
οὗ RR--GSM--- ὅς
τὸ RA--NSN--- ὁ
ὄνομα N3M-NSN--- ὄνομα
Βαλτασαρ N---NSM--- Βαλτασαρ
κατὰ P--------- κατά
τὸ RA--ASN--- ὁ
ὄνομα N3M-ASN--- ὄνομα
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
μου RP--GS---- ἐγώ
ὃς RR--NSM--- ὅς
πνεῦμα N3M-ASN--- πνεῦμα
θεοῦ N2--GSM--- θεός
ἅγιον A1A-ASN--- ἅγιος
ἐν P--------- ἐν
ἑαυτῷ RD--DSM--- ἑαυτοῦ
ἔχει V1--PAI3S- ἔχω
καὶ C--------- καί
τὸ RA--ASN--- ὁ
ἐνύπνιον N2N-ASN--- ἐνύπνιον
ἐνώπιον P--------- ἐνώπιον
αὐτοῦ RD--GSM--- αὐτός
εἶπα VAI-AAI1S- εἶπον

DanTh 4:9
Βαλτασαρ N---VSM--- Βαλτασαρ
ὁ RA--NSM--- ὁ
ἄρχων N3--NSM--- ἄρχων
τῶν RA--GPM--- ὁ
ἐπαοιδῶν N2--GPM--- ἐπαοιδός
ὃν RR--ASM--- ὅς
ἐγὼ RP--NS---- ἐγώ
ἔγνων VZI-AAI1S- γιγνώσκω
ὅτι C--------- ὅτι
πνεῦμα N3M-NSN--- πνεῦμα
θεοῦ N2--GSM--- θεός
ἅγιον A1A-NSN--- ἅγιος
ἐν P--------- ἐν
σοὶ RP--DS---- σύ
καὶ C--------- καί
πᾶν A3--NSN--- πᾶς
μυστήριον N2N-NSN--- μυστήριον
οὐκ D--------- οὐ
ἀδυνατεῖ V2--PAI3S- ἀδυνατέω
σε RP--AS---- σύ
ἄκουσον VA--AAD2S- ἀκούω
τὴν RA--ASF--- ὁ
ὅρασιν N3I-ASF--- ὅρασις
τοῦ RA--GSN--- ὁ
ἐνυπνίου N2N-GSN--- ἐνύπνιον
οὗ RR--GSN--- ὅς
εἶδον VBI-AAI1S- ὁράω
καὶ C--------- καί
τὴν RA--ASF--- ὁ
σύγκρισιν N3I-ASF--- σύγκρισις
αὐτοῦ RD--GSM--- αὐτός
εἰπόν VB--AAD2S- εἶπον
μοι RP--DS---- ἐγώ

DanTh 4:10
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
κοίτης N1--GSF--- κοίτη
μου RP--GS---- ἐγώ
ἐθεώρουν V2I-IAI1S- θεωρέω
καὶ C--------- καί
ἰδοὺ I--------- ἰδού
δένδρον N2N-NSN--- δένδρον
ἐν P--------- ἐν
μέσῳ A1--DSM--- μέσος
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
καὶ C--------- καί
τὸ RA--NSN--- ὁ
ὕψος N3E-NSN--- ὕψος
αὐτοῦ RD--GSN--- αὐτός
πολύ A1P-NSN--- πολύς

DanTh 4:11
ἐμεγαλύνθη VCI-API3S- μεγαλύνω
τὸ RA--NSN--- ὁ
δένδρον N2N-NSN--- δένδρον
καὶ C--------- καί
ἴσχυσεν VAI-AAI3S- ἰσχύω
καὶ C--------- καί
τὸ RA--NSN--- ὁ
ὕψος N3E-NSN--- ὕψος
αὐτοῦ RD--GSN--- αὐτός
ἔφθασεν VAI-AAI3S- φθάνω
ἕως P--------- ἕως
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
καὶ C--------- καί
τὸ RA--NSN--- ὁ
κύτος N3E-NSN--- κύτος
αὐτοῦ RD--GSN--- αὐτός
εἰς P--------- εἰς
τὰ RA--APN--- ὁ
πέρατα N3T-APN--- πέρας
πάσης A1S-GSF--- πᾶς
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ

DanTh 4:12
τὰ RA--NPN--- ὁ
φύλλα N2N-NPN--- φύλλον
αὐτοῦ RD--GSN--- αὐτός
ὡραῖα A1A-NPN--- ὡραῖος
καὶ C--------- καί
ὁ RA--NSM--- ὁ
καρπὸς N2--NSM--- καρπός
αὐτοῦ RD--GSN--- αὐτός
πολύς A1P-NSM--- πολύς
καὶ C--------- καί
τροφὴ N1--NSF--- τροφή
πάντων A3--GPM--- πᾶς
ἐν P--------- ἐν
αὐτῷ RD--DSN--- αὐτός
καὶ C--------- καί
ὑποκάτω P--------- ὑποκάτω
αὐτοῦ RD--GSN--- αὐτός
κατεσκήνουν V4I-IAI3P- σκηνόω κατα
τὰ RA--NPN--- ὁ
θηρία N2N-NPN--- θηρίον
τὰ RA--NPN--- ὁ
ἄγρια A1A-NPN--- ἄγριος
καὶ C--------- καί
ἐν P--------- ἐν
τοῖς RA--DPM--- ὁ
κλάδοις N2--DPM--- κλάδος
αὐτοῦ RD--GSN--- αὐτός
κατῴκουν V2I-IAI3P- οἰκέω κατα
τὰ RA--NPN--- ὁ
ὄρνεα N2N-NPN--- ὄρνεον
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
καὶ C--------- καί
ἐξ P--------- ἐκ
αὐτοῦ RD--GSN--- αὐτός
ἐτρέφετο V1I-IMI3S- τρέφω
πᾶσα A1S-NSF--- πᾶς
σάρξ N3K-NSF--- σάρξ

DanTh 4:13
ἐθεώρουν V2I-IAI1S- θεωρέω
ἐν P--------- ἐν
ὁράματι N3M-DSN--- ὅραμα
τῆς RA--GSF--- ὁ
νυκτὸς N3--GSF--- νύξ
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
κοίτης N1--GSF--- κοίτη
μου RP--GS---- ἐγώ
καὶ C--------- καί
ἰδοὺ I--------- ἰδού
ιρ N---NS---- ιρ
καὶ C--------- καί
ἅγιος A1A-NSM--- ἅγιος
ἀπ' P--------- ἀπό
οὐρανοῦ N2--GSM--- οὐρανός
κατέβη VZI-AAI3S- βαίνω κατα

DanTh 4:14
καὶ C--------- καί
ἐφώνησεν VAI-AAI3S- φωνέω
ἐν P--------- ἐν
ἰσχύι N3U-DSF--- ἰσχύς
καὶ C--------- καί
οὕτως D--------- οὕτως
εἶπεν VBI-AAI3S- εἶπον
ἐκκόψατε VA--AAD2P- κόπτω ἐκ
τὸ RA--ASN--- ὁ
δένδρον N2N-ASN--- δένδρον
καὶ C--------- καί
ἐκτίλατε VA--AAD2P- τίλλω ἐκ
τοὺς RA--APM--- ὁ
κλάδους N2--APM--- κλάδος
αὐτοῦ RD--GSN--- αὐτός
καὶ C--------- καί
ἐκτινάξατε VA--AAD2P- τινάσσω ἐκ
τὰ RA--APN--- ὁ
φύλλα N2N-APN--- φύλλον
αὐτοῦ RD--GSN--- αὐτός
καὶ C--------- καί
διασκορπίσατε VA--AAD2P- σκορπίζω δια
τὸν RA--ASM--- ὁ
καρπὸν N2--ASM--- καρπός
αὐτοῦ RD--GSN--- αὐτός
σαλευθήτωσαν VC--APD3P- σαλεύω
τὰ RA--NPN--- ὁ
θηρία N2N-NPN--- θηρίον
ὑποκάτωθεν P--------- ὑποκάτωθεν
αὐτοῦ RD--GSN--- αὐτός
καὶ C--------- καί
τὰ RA--NPN--- ὁ
ὄρνεα N2N-NPN--- ὄρνεον
ἀπὸ P--------- ἀπό
τῶν RA--GPM--- ὁ
κλάδων N2--GPM--- κλάδος
αὐτοῦ RD--GSN--- αὐτός

DanTh 4:15
πλὴν D--------- πλήν
τὴν RA--ASF--- ὁ
φυὴν N1--ASF--- φυή
τῶν RA--GPF--- ὁ
ῥιζῶν N1S-GPF--- ῥίζα
αὐτοῦ RD--GSN--- αὐτός
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
γῇ N1--DSF--- γῆ
ἐάσατε VA--AAD2P- ἐάω
καὶ C--------- καί
ἐν P--------- ἐν
δεσμῷ N2--DSM--- δεσμός
σιδηρῷ A1C-DSM--- σιδηροῦς
καὶ C--------- καί
χαλκῷ A1C-DSM--- χαλκοῦς
καὶ C--------- καί
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
χλόῃ N1--DSF--- χλόη
τῇ RA--DSF--- ὁ
ἔξω D--------- ἔξω
καὶ C--------- καί
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
δρόσῳ N2--DSF--- δρόσος
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
κοιτασθήσεται VS--FPI3S- κοιτάζομαι
καὶ C--------- καί
μετὰ P--------- μετά
τῶν RA--GPN--- ὁ
θηρίων N2N-GPN--- θηρίον
ἡ RA--NSF--- ὁ
μερὶς N3D-NSF--- μερίς
αὐτοῦ RD--GSM--- αὐτός
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
χόρτῳ N2--DSM--- χόρτος
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ

DanTh 4:16
ἡ RA--NSF--- ὁ
καρδία N1A-NSF--- καρδία
αὐτοῦ RD--GSM--- αὐτός
ἀπὸ P--------- ἀπό
τῶν RA--GPM--- ὁ
ἀνθρώπων N2--GPM--- ἄνθρωπος
ἀλλοιωθήσεται VC--FPI3S- ἀλλοιόω
καὶ C--------- καί
καρδία N1A-NSF--- καρδία
θηρίου N2N-GSN--- θηρίον
δοθήσεται VC--FPI3S- δίδωμι
αὐτῷ RD--DSM--- αὐτός
καὶ C--------- καί
ἑπτὰ M--------- ἑπτά
καιροὶ N2--NPM--- καιρός
ἀλλαγήσονται VD--FPI3P- ἀλλάσσω
ἐπ' P--------- ἐπί
αὐτόν RD--ASM--- αὐτός

DanTh 4:17
διὰ P--------- διά
συγκρίματος N3M-GSN--- σύγκριμα
ιρ N---G----- ιρ
ὁ RA--NSM--- ὁ
λόγος N2--NSM--- λόγος
καὶ C--------- καί
ῥῆμα N3M-NSN--- ῥῆμα
ἁγίων A1A-GPM--- ἅγιος
τὸ RA--NSN--- ὁ
ἐπερώτημα N3M-NSN--- ἐπερώτημα
ἵνα C--------- ἵνα
γνῶσιν VZ--AAS3P- γιγνώσκω
οἱ RA--NPM--- ὁ
ζῶντες V3--PAPNPM ζάω
ὅτι C--------- ὅτι
κύριός N2--NSM--- κύριος
ἐστιν V9--PAI3S- εἰμί
ὁ RA--NSM--- ὁ
ὕψιστος A1--NSM--- ὕψιστος
τῆς RA--GSF--- ὁ
βασιλείας N1A-GSF--- βασιλεία
τῶν RA--GPM--- ὁ
ἀνθρώπων N2--GPM--- ἄνθρωπος
καὶ C--------- καί
ᾧ RR--DSM--- ὅς
ἐὰν C--------- ἐάν
δόξῃ VA--AAS3S- δοκέω
δώσει VF--FAI3S- δίδωμι
αὐτὴν RD--ASF--- αὐτός
καὶ C--------- καί
ἐξουδένημα N3M-ASN--- ἐξουδένημα
ἀνθρώπων N2--GPM--- ἄνθρωπος
ἀναστήσει VF--FAI3S- ἵστημι ἀνα
ἐπ' P--------- ἐπί
αὐτήν RD--ASF--- αὐτός

DanTh 4:18
τοῦτο RD--NSN--- οὗτος
τὸ RA--NSN--- ὁ
ἐνύπνιον N2N-NSN--- ἐνύπνιον
ὃ RR--ASN--- ὅς
εἶδον VBI-AAI1S- ὁράω
ἐγὼ RP--NS---- ἐγώ
Ναβουχοδονοσορ N---NSM--- Ναβουχοδονοσορ
ὁ RA--NSM--- ὁ
βασιλεύς N3V-NSM--- βασιλεύς
καὶ C--------- καί
σύ RP--NS---- σύ
Βαλτασαρ N---VSM--- Βαλτασαρ
τὸ RA--ASN--- ὁ
σύγκριμα N3M-ASN--- σύγκριμα
εἰπόν VB--AAD2S- εἶπον
ὅτι C--------- ὅτι
πάντες A3--NPM--- πᾶς
οἱ RA--NPM--- ὁ
σοφοὶ A1--NPM--- σοφός
τῆς RA--GSF--- ὁ
βασιλείας N1A-GSF--- βασιλεία
μου RP--GS---- ἐγώ
οὐ D--------- οὐ
δύνανται V6--PMI3P- δύναμαι
τὸ RA--ASN--- ὁ
σύγκριμα N3M-ASN--- σύγκριμα
αὐτοῦ RD--GSN--- αὐτός
δηλῶσαί VA--AAN--- δηλόω
μοι RP--DS---- ἐγώ
σὺ RP--NS---- σύ
δέ X--------- δέ
Δανιηλ N---VSM--- Δανιηλ
δύνασαι V6--PMI2S- δύναμαι
ὅτι C--------- ὅτι
πνεῦμα N3M-NSN--- πνεῦμα
θεοῦ N2--GSM--- θεός
ἅγιον A1A-NSN--- ἅγιος
ἐν P--------- ἐν
σοί RP--DS---- σύ

DanTh 4:19
τότε D--------- τότε
Δανιηλ N---NSM--- Δανιηλ
οὗ RR--GSM--- ὅς
τὸ RA--NSN--- ὁ
ὄνομα N3M-NSN--- ὄνομα
Βαλτασαρ N---NSM--- Βαλτασαρ
ἀπηνεώθη VCI-API3S- ἀπενεόομαι
ὡσεὶ D--------- ὡσεί
ὥραν N1A-ASF--- ὥρα
μίαν A1A-ASF--- εἷς
καὶ C--------- καί
οἱ RA--NPM--- ὁ
διαλογισμοὶ N2--NPM--- διαλογισμός
αὐτοῦ RD--GSM--- αὐτός
συνετάρασσον V1I-IAI3P- ταράσσω συν
αὐτόν RD--ASM--- αὐτός
καὶ C--------- καί
ἀπεκρίθη VCI-API3S- κρίνω ἀπο
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Βαλτασαρ N---VSM--- Βαλτασαρ
τὸ RA--NSN--- ὁ
ἐνύπνιον N2N-NSN--- ἐνύπνιον
καὶ C--------- καί
ἡ RA--NSF--- ὁ
σύγκρισις N3I-NSF--- σύγκρισις
μὴ D--------- μή
κατασπευσάτω VA--AAD3S- σπεύδω κατα
σε RP--AS---- σύ
καὶ C--------- καί
ἀπεκρίθη VCI-API3S- κρίνω ἀπο
Βαλτασαρ N---NSM--- Βαλτασαρ
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
κύριε N2--VSM--- κύριος
τὸ RA--NSN--- ὁ
ἐνύπνιον N2N-NSN--- ἐνύπνιον
τοῖς RA--DPM--- ὁ
μισοῦσίν V2--PAPDPM μισέω
σε RP--AS---- σύ
καὶ C--------- καί
ἡ RA--NSF--- ὁ
σύγκρισις N3I-NSF--- σύγκρισις
αὐτοῦ RD--GSN--- αὐτός
τοῖς RA--DPM--- ὁ
ἐχθροῖς N2--DPM--- ἐχθρός
σου RP--GS---- σύ

DanTh 4:20
τὸ RA--NSN--- ὁ
δένδρον N2N-NSN--- δένδρον
ὃ RR--ASN--- ὅς
εἶδες VBI-AAI2S- ὁράω
τὸ RA--NSN--- ὁ
μεγαλυνθὲν VC--APPNSN μεγαλύνω
καὶ C--------- καί
τὸ RA--NSN--- ὁ
ἰσχυκός VX--XAPNSN ἰσχύω
οὗ RR--GSN--- ὅς
τὸ RA--NSN--- ὁ
ὕψος N3E-NSN--- ὕψος
ἔφθασεν VAI-AAI3S- φθάνω
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
οὐρανὸν N2--ASM--- οὐρανός
καὶ C--------- καί
τὸ RA--NSN--- ὁ
κύτος N3E-NSN--- κύτος
αὐτοῦ RD--GSN--- αὐτός
εἰς P--------- εἰς
πᾶσαν A1S-ASF--- πᾶς
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ

DanTh 4:21
καὶ C--------- καί
τὰ RA--NPN--- ὁ
φύλλα N2N-NPN--- φύλλον
αὐτοῦ RD--GSN--- αὐτός
εὐθαλῆ A3H-NPN--- εὐθαλής
καὶ C--------- καί
