Jos 1:1
ἐναντίον P--------- ἐναντίον
τοῦ RA--GSM--- ὁ
κυρίου N2--GSM--- κύριος
καὶ C--------- καί
σημαινέτωσαν V1--PAD3P- σημαίνω
εὐτόνως D--------- εὐτόνως
καὶ C--------- καί
ἡ RA--NSF--- ὁ
κιβωτὸς N2--NSF--- κιβωτός
τῆς RA--GSF--- ὁ
διαθήκης N1--GSF--- διαθήκη
κυρίου N2--GSM--- κύριος
ἐπακολουθείτω V2--PAD3S- ἀκολουθέω ἐπι

Jos 6:9
οἱ RA--NPM--- ὁ
δὲ X--------- δέ
μάχιμοι A1--NPM--- μάχιμος
ἔμπροσθεν D--------- ἔμπροσθεν
παραπορευέσθωσαν V1--PMD3P- πορεύομαι παρα
καὶ C--------- καί
οἱ RA--NPM--- ὁ
ἱερεῖς N3V-NPM--- ἱερεύς
οἱ RA--NPM--- ὁ
οὐραγοῦντες V2--PAPNPM οὐραγέω
ὀπίσω P--------- ὀπίσω
τῆς RA--GSF--- ὁ
κιβωτοῦ N2--GSF--- κιβωτός
τῆς RA--GSF--- ὁ
διαθήκης N1--GSF--- διαθήκη
κυρίου N2--GSM--- κύριος
πορευόμενοι V1--PMPNPM πορεύομαι
καὶ C--------- καί
σαλπίζοντες V1--PAPNPM σαλπίζω

Jos 6:10
τῷ RA--DSM--- ὁ
δὲ X--------- δέ
λαῷ N2--DSM--- λαός
ἐνετείλατο VAI-AMI3S- τέλλομαι ἐν
Ἰησοῦς N---NSM--- Ἰησοῦς
λέγων V1--PAPNSM λέγω
μὴ D--------- μή
βοᾶτε V3--PAD2P- βοάω
μηδὲ C--------- μηδέ
ἀκουσάτω VA--AAD3S- ἀκούω
μηθεὶς A3--NSM--- μηδείς
ὑμῶν RP--GP---- σύ
τὴν RA--ASF--- ὁ
φωνήν N1--ASF--- φωνή
ἕως C--------- ἕως
ἂν X--------- ἄν
ἡμέραν N1A-ASF--- ἡμέρα
αὐτὸς RD--NSM--- αὐτός
διαγγείλῃ VA--AAS3S- ἀγγέλλω δια
ἀναβοῆσαι VA--AAN--- βοάω ἀνα
καὶ C--------- καί
τότε D--------- τότε
ἀναβοήσετε VF--FAI2P- βοάω ἀνα

Jos 6:11
καὶ C--------- καί
περιελθοῦσα VB--AAPNSF ἔρχομαι περι
ἡ RA--NSF--- ὁ
κιβωτὸς N2--NSF--- κιβωτός
τῆς RA--GSF--- ὁ
διαθήκης N1--GSF--- διαθήκη
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
τὴν RA--ASF--- ὁ
πόλιν N3I-ASF--- πόλις
εὐθέως D--------- εὐθέως
ἀπῆλθεν VBI-AAI3S- ἔρχομαι ἀπο
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
παρεμβολὴν N1--ASF--- παρεμβολή
καὶ C--------- καί
ἐκοιμήθη VCI-API3S- κοιμάω
ἐκεῖ D--------- ἐκεῖ

Jos 6:12
καὶ C--------- καί
τῇ RA--DSF--- ὁ
ἡμέρᾳ N1A-DSF--- ἡμέρα
τῇ RA--DSF--- ὁ
δευτέρᾳ A1A-DSF--- δεύτερος
ἀνέστη VHI-AAI3S- ἵστημι ἀνα
Ἰησοῦς N---NSM--- Ἰησοῦς
τὸ RA--ASN--- ὁ
πρωί D--------- πρωΐ
καὶ C--------- καί
ἦραν VAI-AAI3P- αἴρω
οἱ RA--NPM--- ὁ
ἱερεῖς N3V-NPM--- ἱερεύς
τὴν RA--ASF--- ὁ
κιβωτὸν N2--ASF--- κιβωτός
τῆς RA--GSF--- ὁ
διαθήκης N1--GSF--- διαθήκη
κυρίου N2--GSM--- κύριος

Jos 6:13
καὶ C--------- καί
οἱ RA--NPM--- ὁ
ἑπτὰ M--------- ἑπτά
ἱερεῖς N3V-NPM--- ἱερεύς
οἱ RA--NPM--- ὁ
φέροντες V1--PAPNPM φέρω
τὰς RA--APF--- ὁ
σάλπιγγας N3G-APF--- σάλπιγξ
τὰς RA--APF--- ὁ
ἑπτὰ M--------- ἑπτά
προεπορεύοντο V1I-IMI3P- πορεύομαι προ
ἐναντίον P--------- ἐναντίον
κυρίου N2--GSM--- κύριος
καὶ C--------- καί
μετὰ P--------- μετά
ταῦτα RD--APN--- οὗτος
εἰσεπορεύοντο V1I-IMI3P- πορεύομαι εἰς
οἱ RA--NPM--- ὁ
μάχιμοι A1--NPM--- μάχιμος
καὶ C--------- καί
ὁ RA--NSM--- ὁ
λοιπὸς A1--NSM--- λοιπός
ὄχλος N2--NSM--- ὄχλος
ὄπισθε P--------- ὄπισθε
τῆς RA--GSF--- ὁ
κιβωτοῦ N2--GSF--- κιβωτός
τῆς RA--GSF--- ὁ
διαθήκης N1--GSF--- διαθήκη
κυρίου N2--GSM--- κύριος
καὶ C--------- καί
οἱ RA--NPM--- ὁ
ἱερεῖς N3V-NPM--- ἱερεύς
ἐσάλπισαν VAI-AAI3P- σαλπίζω
ταῖς RA--DPF--- ὁ
σάλπιγξι N3G-DPF--- σάλπιγξ
καὶ C--------- καί
ὁ RA--NSM--- ὁ
λοιπὸς A1--NSM--- λοιπός
ὄχλος N2--NSM--- ὄχλος
ἅπας A3--NSM--- ἅπας
περιεκύκλωσε VAI-AAI3S- κυκλόω περι
τὴν RA--ASF--- ὁ
πόλιν N3I-ASF--- πόλις
ἐγγύθεν D--------- ἐγγύθεν

Jos 6:14
καὶ C--------- καί
ἀπῆλθεν VBI-AAI3S- ἔρχομαι ἀπο
πάλιν D--------- πάλιν
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
παρεμβολήν N1--ASF--- παρεμβολή
οὕτως D--------- οὕτως
ἐποίει V2I-IAI3S- ποιέω
ἐπὶ P--------- ἐπί
ἓξ M--------- ἕξ
ἡμέρας N1A-APF--- ἡμέρα

Jos 6:15
καὶ C--------- καί
τῇ RA--DSF--- ὁ
ἡμέρᾳ N1A-DSF--- ἡμέρα
τῇ RA--DSF--- ὁ
ἑβδόμῃ A1--DSF--- ἕβδομος
ἀνέστησαν VHI-AAI3P- ἵστημι ἀνα
ὄρθρου N2--GSM--- ὄρθρος
καὶ C--------- καί
περιήλθοσαν VBI-AAI3P- ἔρχομαι περι
τὴν RA--ASF--- ὁ
πόλιν N3I-ASF--- πόλις
ἑξάκις D--------- ἑξάκις

Jos 6:16
καὶ C--------- καί
τῇ RA--DSF--- ὁ
περιόδῳ N2--DSF--- περίοδος
τῇ RA--DSF--- ὁ
ἑβδόμῃ A1--DSF--- ἕβδομος
ἐσάλπισαν VAI-AAI3P- σαλπίζω
οἱ RA--NPM--- ὁ
ἱερεῖς N3V-NPM--- ἱερεύς
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Ἰησοῦς N---NSM--- Ἰησοῦς
τοῖς RA--DPM--- ὁ
υἱοῖς N2--DPM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ
κεκράξατε VAI-AAD2P- κράζω
παρέδωκεν VAI-AAI3S- δίδωμι παρα
γὰρ X--------- γάρ
κύριος N2--NSM--- κύριος
ὑμῖν RP--DP---- σύ
τὴν RA--ASF--- ὁ
πόλιν N3I-ASF--- πόλις

Jos 6:17
καὶ C--------- καί
ἔσται VF--FMI3S- εἰμί
ἡ RA--NSF--- ὁ
πόλις N3I-NSF--- πόλις
ἀνάθεμα N3M-NSN--- ἀνάθεμα
αὐτὴ RD--NSF--- αὐτός
καὶ C--------- καί
πάντα A3--NPN--- πᾶς
ὅσα A1--NPN--- ὅσος
ἐστὶν V9--PAI3S- εἰμί
ἐν P--------- ἐν
αὐτῇ RD--DSF--- αὐτός
κυρίῳ N2--DSM--- κύριος
σαβαωθ N---G----- σαβαωθ
πλὴν C--------- πλήν
Ρααβ N---AS---- Ρααβ
τὴν RA--ASF--- ὁ
πόρνην N1--ASF--- πόρνη
περιποιήσασθε VA--AMD2P- ποιέω περι
αὐτὴν RD--ASF--- αὐτός
καὶ C--------- καί
ὅσα A1--APN--- ὅσος
ἐστὶν V9--PAI3S- εἰμί
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
οἴκῳ N2--DSM--- οἶκος
αὐτῆς RD--GSF--- αὐτός

Jos 6:18
ἀλλὰ C--------- ἀλλά
ὑμεῖς RP--NP---- σύ
φυλάξασθε VA--AMD2P- φυλάσσω
σφόδρα D--------- σφόδρα
ἀπὸ P--------- ἀπό
τοῦ RA--GSN--- ὁ
ἀναθέματος N3M-GSN--- ἀνάθεμα
μήποτε D--------- μήποτε
ἐνθυμηθέντες VC--APPNPM θυμέομαι ἐν
ὑμεῖς RP--NP---- σύ
αὐτοὶ RD--NPM--- αὐτός
λάβητε VB--AAS2P- λαμβάνω
ἀπὸ P--------- ἀπό
τοῦ RA--GSN--- ὁ
ἀναθέματος N3M-GSN--- ἀνάθεμα
καὶ C--------- καί
ποιήσητε VA--AAS2P- ποιέω
τὴν RA--ASF--- ὁ
παρεμβολὴν N1--ASF--- παρεμβολή
τῶν RA--GPM--- ὁ
υἱῶν N2--GPM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ
ἀνάθεμα N3M-ASN--- ἀνάθεμα
καὶ C--------- καί
ἐκτρίψητε VA--AAS2P- τρίβω ἐκ
ἡμᾶς RP--AP---- ἐγώ

Jos 6:19
καὶ C--------- καί
πᾶν A3--NSN--- πᾶς
ἀργύριον N2N-NSN--- ἀργύριον
ἢ C--------- ἤ
χρυσίον N2N-NSN--- χρυσίον
ἢ C--------- ἤ
χαλκὸς N2--NSM--- χαλκός
ἢ C--------- ἤ
σίδηρος N2--NSM--- σίδηρος
ἅγιον A1A-NSN--- ἅγιος
ἔσται VF--FMI3S- εἰμί
τῷ RA--DSM--- ὁ
κυρίῳ N2--DSM--- κύριος
εἰς P--------- εἰς
θησαυρὸν N2--ASM--- θησαυρός
κυρίου N2--GSM--- κύριος
εἰσενεχθήσεται VQ--FPI3S- φέρω εἰς

Jos 6:20
καὶ C--------- καί
ἐσάλπισαν VAI-AAI3P- σαλπίζω
ταῖς RA--DPF--- ὁ
σάλπιγξιν N3G-DPF--- σάλπιγξ
οἱ RA--NPM--- ὁ
ἱερεῖς N3V-NPM--- ἱερεύς
ὡς C--------- ὡς
δὲ X--------- δέ
ἤκουσεν VAI-AAI3S- ἀκούω
ὁ RA--NSM--- ὁ
λαὸς N2--NSM--- λαός
τὴν RA--ASF--- ὁ
φωνὴν N1--ASF--- φωνή
τῶν RA--GPF--- ὁ
σαλπίγγων N3G-GPF--- σάλπιγξ
ἠλάλαξεν VAI-AAI3S- ἀλαλάζω
πᾶς A3--NSM--- πᾶς
ὁ RA--NSM--- ὁ
λαὸς N2--NSM--- λαός
ἅμα D--------- ἅμα
ἀλαλαγμῷ N2--DSM--- ἀλαλαγμός
μεγάλῳ A1--DSM--- μέγας
καὶ C--------- καί
ἰσχυρῷ A1A-DSM--- ἰσχυρός
καὶ C--------- καί
ἔπεσεν VAI-AAI3S- πίπτω
ἅπαν A3P-NSN--- ἅπας
τὸ RA--NSN--- ὁ
τεῖχος N3E-NSN--- τεῖχος
κύκλῳ N2--DSM--- κύκλος
καὶ C--------- καί
ἀνέβη VZI-AAI3S- βαίνω ἀνα
πᾶς A3--NSM--- πᾶς
ὁ RA--NSM--- ὁ
λαὸς N2--NSM--- λαός
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
πόλιν N3I-ASF--- πόλις

Jos 6:21
καὶ C--------- καί
ἀνεθεμάτισεν VAI-AAI3S- θεματίζω ἀνα
αὐτὴν RD--ASF--- αὐτός
Ἰησοῦς N---NSM--- Ἰησοῦς
καὶ C--------- καί
ὅσα A1--APN--- ὅσος
ἦν V9--IAI3S- εἰμί
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
πόλει N3I-DSF--- πόλις
ἀπὸ P--------- ἀπό
ἀνδρὸς N3--GSM--- ἀνήρ
καὶ C--------- καί
ἕως P--------- ἕως
γυναικός N3K-GSF--- γυνή
ἀπὸ P--------- ἀπό
νεανίσκου N2--GSM--- νεανίσκος
καὶ C--------- καί
ἕως P--------- ἕως
πρεσβύτου N1M-GSM--- πρεσβύτης
καὶ C--------- καί
ἕως P--------- ἕως
μόσχου N2--GSM--- μόσχος
καὶ C--------- καί
ὑποζυγίου N2--GSN--- ὑποζύγιον
ἐν P--------- ἐν
στόματι N3M-DSN--- στόμα
ῥομφαίας N1A-GSF--- ῥομφαία

Jos 6:22
καὶ C--------- καί
τοῖς RA--DPM--- ὁ
δυσὶν M---DPM--- δύο
νεανίσκοις N2--DPM--- νεανίσκος
τοῖς RA--DPM--- ὁ
κατασκοπεύσασιν VA--AAPDPM σκοπεύω κατα
εἶπεν VBI-AAI3S- εἶπον
Ἰησοῦς N---NSM--- Ἰησοῦς
εἰσέλθατε VB--AAD2P- ἔρχομαι εἰς
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
οἰκίαν N1A-ASF--- οἰκία
τῆς RA--GSF--- ὁ
γυναικὸς N3K-GSF--- γυνή
καὶ C--------- καί
ἐξαγάγετε VB--AAD2P- ἄγω ἐκ
αὐτὴν RD--ASF--- αὐτός
ἐκεῖθεν D--------- ἐκεῖθεν
καὶ C--------- καί
ὅσα A1--APN--- ὅσος
ἐστὶν V9--PAI3S- εἰμί
αὐτῇ RD--DSF--- αὐτός

Jos 6:23
καὶ C--------- καί
εἰσῆλθον VBI-AAI3P- ἔρχομαι εἰς
οἱ RA--NPM--- ὁ
δύο M--------- δύο
νεανίσκοι N2--NPM--- νεανίσκος
οἱ RA--NPM--- ὁ
κατασκοπεύσαντες VA--AAPNPM σκοπεύω κατα
τὴν RA--ASF--- ὁ
πόλιν N3I-ASF--- πόλις
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
οἰκίαν N1A-ASF--- οἰκία
τῆς RA--GSF--- ὁ
γυναικὸς N3K-GSF--- γυνή
καὶ C--------- καί
ἐξηγάγοσαν VBI-AAI3P- ἄγω ἐκ
Ρααβ N---AS---- Ρααβ
τὴν RA--ASF--- ὁ
πόρνην N1--ASF--- πόρνη
καὶ C--------- καί
τὸν RA--ASM--- ὁ
πατέρα N3--ASM--- πατήρ
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
τὴν RA--ASF--- ὁ
μητέρα N3--ASF--- μήτηρ
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
τοὺς RA--APM--- ὁ
ἀδελφοὺς N2--APM--- ἀδελφός
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
πάντα A3--APN--- πᾶς
ὅσα A1--NPN--- ὅσος
ἦν V9--IAI3S- εἰμί
αὐτῇ RD--DSF--- αὐτός
καὶ C--------- καί
πᾶσαν A1S-ASF--- πᾶς
τὴν RA--ASF--- ὁ
συγγένειαν N1A-ASF--- συγγένεια
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
κατέστησαν VHI-AAI3P- ἵστημι κατα
αὐτὴν RD--ASF--- αὐτός
ἔξω P--------- ἔξω
τῆς RA--GSF--- ὁ
παρεμβολῆς N1--GSF--- παρεμβολή
Ισραηλ N---GSM--- Ἰσραήλ

Jos 6:24
καὶ C--------- καί
ἡ RA--NSF--- ὁ
πόλις N3I-NSF--- πόλις
ἐνεπρήσθη VCI-API3S- πίπρημι ἐν
ἐμπυρισμῷ N2--DSM--- ἐμπυρισμός
σὺν P--------- σύν
πᾶσιν A3--DPN--- πᾶς
τοῖς RA--DPN--- ὁ
ἐν P--------- ἐν
αὐτῇ RD--DSF--- αὐτός
πλὴν P--------- πλήν
ἀργυρίου N2N-GSN--- ἀργύριον
καὶ C--------- καί
χρυσίου N2N-GSN--- χρυσίον
καὶ C--------- καί
χαλκοῦ N2--GSM--- χαλκός
καὶ C--------- καί
σιδήρου N2--GSM--- σίδηρος
ἔδωκαν VAI-AAI3P- δίδωμι
εἰς P--------- εἰς
θησαυρὸν N2--ASM--- θησαυρός
κυρίου N2--GSM--- κύριος
εἰσενεχθῆναι VQ--APN--- φέρω εἰς

Jos 6:25
καὶ C--------- καί
Ρααβ N---AS---- Ρααβ
τὴν RA--ASF--- ὁ
πόρνην N1--ASF--- πόρνη
καὶ C--------- καί
πάντα A3--ASM--- πᾶς
τὸν RA--ASM--- ὁ
οἶκον N2--ASM--- οἶκος
τὸν RA--ASM--- ὁ
πατρικὸν A1--ASM--- πατρικός
αὐτῆς RD--GSF--- αὐτός
ἐζώγρησεν VAI-AAI3S- ζωγρέω
Ἰησοῦς N---NSM--- Ἰησοῦς
καὶ C--------- καί
κατῴκησεν VAI-AAI3S- οἰκέω κατα
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
Ισραηλ N---DSM--- Ἰσραήλ
ἕως P--------- ἕως
τῆς RA--GSF--- ὁ
σήμερον D--------- σήμερον
ἡμέρας N1A-GSF--- ἡμέρα
διότι C--------- διότι
ἔκρυψεν VAI-AAI3S- κρύπτω
τοὺς RA--APM--- ὁ
κατασκοπεύσαντας VA--AAPAPM σκοπεύω κατα
οὓς RR--APM--- ὅς
ἀπέστειλεν VAI-AAI3S- στέλλω ἀπο
Ἰησοῦς N---NSM--- Ἰησοῦς
κατασκοπεῦσαι VA--AAN--- σκοπεύω κατα
τὴν RA--ASF--- ὁ
Ιεριχω N---ASF--- Ιεριχω

Jos 6:26
καὶ C--------- καί
ὥρκισεν VAI-AAI3S- ὁρκίζω
Ἰησοῦς N---NSM--- Ἰησοῦς
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ἡμέρᾳ N1A-DSF--- ἡμέρα
ἐκείνῃ RD--DSF--- ἐκεῖνος
ἐναντίον P--------- ἐναντίον
κυρίου N2--GSM--- κύριος
λέγων V1--PAPNSM λέγω
ἐπικατάρατος A1B-NSM--- ἐπικατάρατος
ὁ RA--NSM--- ὁ
ἄνθρωπος N2--NSM--- ἄνθρωπος
ὃς RR--NSM--- ὅς
οἰκοδομήσει VF--FAI3S- οἰκοδομέω
τὴν RA--ASF--- ὁ
πόλιν N3I-ASF--- πόλις
ἐκείνην RD--ASF--- ἐκεῖνος
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
πρωτοτόκῳ A1B-DSM--- πρωτότοκος
αὐτοῦ RD--GSM--- αὐτός
θεμελιώσει VF--FAI3S- θεμελιόω
αὐτὴν RD--ASF--- αὐτός
καὶ C--------- καί
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
ἐλαχίστῳ A1--DSMS-- ἐλαχύς
αὐτοῦ RD--GSM--- αὐτός
ἐπιστήσει VF--FAI3S- ἵστημι ἐπι
τὰς RA--APF--- ὁ
πύλας N1--APF--- πύλη
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
οὕτως D--------- οὕτως
ἐποίησεν VAI-AAI3S- ποιέω
Οζαν N---NSM--- Οζαν
ὁ RA--NSM--- ὁ
ἐκ P--------- ἐκ
Βαιθηλ N---GS---- Βαιθηλ
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
Αβιρων N---DS---- Αβιρων
τῷ RA--DSM--- ὁ
πρωτοτόκῳ A1B-DSM--- πρωτότοκος
ἐθεμελίωσεν VAI-AAI3S- θεμελιόω
αὐτὴν RD--ASF--- αὐτός
καὶ C--------- καί
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
ἐλαχίστῳ A1--DSMS-- ἐλαχύς
διασωθέντι VC--APPDSM σώζω δια
ἐπέστησεν VAI-AAI3S- ἵστημι ἐπι
τὰς RA--APF--- ὁ
πύλας N1--APF--- πύλη
αὐτῆς RD--GSF--- αὐτός

Jos 6:27
καὶ C--------- καί
ἦν V9--IAI3S- εἰμί
κύριος N2--NSM--- κύριος
μετὰ P--------- μετά
Ἰησοῦ N---GSM--- Ἰησοῦς
καὶ C--------- καί
ἦν V9--IAI3S- εἰμί
τὸ RA--NSN--- ὁ
ὄνομα N3M-NSN--- ὄνομα
αὐτοῦ RD--GSM--- αὐτός
κατὰ P--------- κατά
πᾶσαν A1S-ASF--- πᾶς
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ

Jos 7:1
καὶ C--------- καί
ἐπλημμέλησαν VAI-AAI3P- πλημμελέω
οἱ RA--NPM--- ὁ
υἱοὶ N2--NPM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ
πλημμέλειαν N1A-ASF--- πλημμέλεια
μεγάλην A1--ASF--- μέγας
καὶ C--------- καί
ἐνοσφίσαντο VAI-AAI3P- νοσφίζομαι
ἀπὸ P--------- ἀπό
τοῦ RA--GSN--- ὁ
ἀναθέματος N3M-GSN--- ἀνάθεμα
καὶ C--------- καί
ἔλαβεν VBI-AAI3S- λαμβάνω
Αχαρ N---NS---- Αχαρ
υἱὸς N2--NSM--- υἱός
Χαρμι N---GS---- Χαρμι
υἱοῦ N2--GSM--- υἱός
Ζαμβρι N---GS---- Ζαμβρι
υἱοῦ N2--GSM--- υἱός
Ζαρα N---GS---- Ζαρα
ἐκ P--------- ἐκ
τῆς RA--GSF--- ὁ
φυλῆς N1--GSF--- φυλή
Ιουδα N---GS---- Ιουδα
ἀπὸ P--------- ἀπό
τοῦ RA--GSN--- ὁ
ἀναθέματος N3M-GSN--- ἀνάθεμα
καὶ C--------- καί
ἐθυμώθη VCI-API3S- θυμόω
ὀργῇ N1--DSF--- ὀργή
κύριος N2--NSM--- κύριος
τοῖς RA--DPM--- ὁ
υἱοῖς N2--DPM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ

Jos 7:2
καὶ C--------- καί
ἀπέστειλεν VAI-AAI3S- στέλλω ἀπο
Ἰησοῦς N---NSM--- Ἰησοῦς
ἄνδρας N3--APM--- ἀνήρ
εἰς P--------- εἰς
Γαι N---ASF--- Γαι
ἥ RR--NSF--- ὅς
ἐστιν V9--PAI3S- εἰμί
κατὰ P--------- κατά
Βαιθηλ N---GS---- Βαιθηλ
λέγων V1--PAPNSM λέγω
κατασκέψασθε VA--AMD2P- σκέπτομαι κατα
τὴν RA--ASF--- ὁ
Γαι N---ASF--- Γαι
καὶ C--------- καί
ἀνέβησαν VZI-AAI3P- βαίνω ἀνα
οἱ RA--NPM--- ὁ
ἄνδρες N3--NPM--- ἀνήρ
καὶ C--------- καί
κατεσκέψαντο VAI-AMI3P- σκέπτομαι κατα
τὴν RA--ASF--- ὁ
Γαι N---ASF--- Γαι

Jos 7:3
καὶ C--------- καί
ἀνέστρεψαν VAI-AAI3P- στρέφω ἀνα
πρὸς P--------- πρός
Ἰησοῦν N---ASM--- Ἰησοῦς
καὶ C--------- καί
εἶπαν VAI-AAI3P- εἶπον
πρὸς P--------- πρός
αὐτόν RD--ASM--- αὐτός
μὴ D--------- μή
ἀναβήτω VZ--AAD3S- βαίνω ἀνα
πᾶς A3--NSM--- πᾶς
ὁ RA--NSM--- ὁ
λαός N2--NSM--- λαός
ἀλλ' C--------- ἀλλά
ὡς C--------- ὡς
δισχίλιοι A1A-NPM--- δισχίλιοι
ἢ C--------- ἤ
τρισχίλιοι A1A-NPM--- τρισχίλιοι
ἄνδρες N3--NPM--- ἀνήρ
ἀναβήτωσαν VZ--AAD3P- βαίνω ἀνα
καὶ C--------- καί
ἐκπολιορκησάτωσαν VA--AAD3P- πολιορκέω ἐκ
τὴν RA--ASF--- ὁ
πόλιν N3I-ASF--- πόλις
μὴ D--------- μή
ἀναγάγῃς VB--AAS2S- ἄγω ἀνα
ἐκεῖ D--------- ἐκεῖ
τὸν RA--ASM--- ὁ
λαὸν N2--ASM--- λαός
πάντα A3--ASM--- πᾶς
ὀλίγοι A1--NPM--- ὀλίγος
γάρ X--------- γάρ
εἰσιν V9--PAI3P- εἰμί

Jos 7:4
καὶ C--------- καί
ἀνέβησαν VZI-AAI3P- βαίνω ἀνα
ὡσεὶ D--------- ὡσεί
τρισχίλιοι A1A-NPM--- τρισχίλιοι
ἄνδρες N3--NPM--- ἀνήρ
καὶ C--------- καί
ἔφυγον VBI-AAI3P- φεύγω
ἀπὸ P--------- ἀπό
προσώπου N2N-GSN--- πρόσωπον
τῶν RA--GPM--- ὁ
ἀνδρῶν N3--GPM--- ἀνήρ
Γαι N---GSF--- Γαι

Jos 7:5
καὶ C--------- καί
ἀπέκτειναν VAI-AAI3P- κτείνω ἀπο
ἀπ' P--------- ἀπό
αὐτῶν RD--GPM--- αὐτός
ἄνδρες N3--NPM--- ἀνήρ
Γαι N---GSF--- Γαι
εἰς P--------- εἰς
τριάκοντα M--------- τριάκοντα
καὶ C--------- καί
ἓξ M--------- ἕξ
ἄνδρας N3--APM--- ἀνήρ
καὶ C--------- καί
κατεδίωξαν VAI-AAI3P- διώκω κατα
