Est 1:1a
ἐπικάλεσαι VA--AMD2S- καλέω ἐπι
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
καὶ C--------- καί
λάλησον VA--AAD2S- λαλέω
τῷ RA--DSM--- ὁ
βασιλεῖ N3V-DSM--- βασιλεύς
περὶ P--------- περί
ἡμῶν RP--GP---- ἐγώ
καὶ C--------- καί
ῥῦσαι VA--AMD2S- ῥύομαι
ἡμᾶς RP--AP---- ἐγώ
ἐκ P--------- ἐκ
θανάτου N2--GSM--- θάνατος

Est 4:9
εἰσελθὼν VB--AAPNSM ἔρχομαι εἰς
δὲ X--------- δέ
ὁ RA--NSM--- ὁ
Αχραθαῖος N2--NSM--- Αχραθαῖος
ἐλάλησεν VAI-AAI3S- λαλέω
αὐτῇ RD--DSF--- αὐτός
πάντας A3--APM--- πᾶς
τοὺς RA--APM--- ὁ
λόγους N2--APM--- λόγος
τούτους RD--APM--- οὗτος

Est 4:10
εἶπεν VBI-AAI3S- εἶπον
δὲ X--------- δέ
Εσθηρ N---NSF--- Εσθηρ
πρὸς P--------- πρός
Αχραθαῖον N2--ASM--- Αχραθαῖος
πορεύθητι VC--APD2S- πορεύομαι
πρὸς P--------- πρός
Μαρδοχαῖον N2--ASM--- Μαρδοχαῖος
καὶ C--------- καί
εἰπὸν VBI-AAD2S- εἶπον
ὅτι C--------- ὅτι

Est 4:11
τὰ RA--NPN--- ὁ
ἔθνη N3E-NPN--- ἔθνος
πάντα A3--NPN--- πᾶς
τῆς RA--GSF--- ὁ
βασιλείας N1A-GSF--- βασιλεία
γινώσκει V1--PAI3S- γιγνώσκω
ὅτι C--------- ὅτι
πᾶς A3--NSM--- πᾶς
ἄνθρωπος N2--NSM--- ἄνθρωπος
ἢ C--------- ἤ
γυνή N3K-NSF--- γυνή
ὃς RR--NSM--- ὅς
εἰσελεύσεται VF--FMI3S- ἔρχομαι εἰς
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
βασιλέα N3V-ASM--- βασιλεύς
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
αὐλὴν N1--ASF--- αὐλή
τὴν RA--ASF--- ὁ
ἐσωτέραν A1A-ASFC-- ἐσώτερος
ἄκλητος A1B-NSF--- ἄκλητος
οὐκ D--------- οὐ
ἔστιν V9--PAI3S- εἰμί
αὐτῷ RD--DSM--- αὐτός
σωτηρία N1A-NSF--- σωτηρία
πλὴν D--------- πλήν
ᾧ RR--DSM--- ὅς
ἐκτείνει V1--PAI3S- τείνω ἐκ
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
τὴν RA--ASF--- ὁ
χρυσῆν A1C-ASF--- χρυσοῦς
ῥάβδον N2--ASF--- ῥάβδος
οὗτος RD--NSM--- οὗτος
σωθήσεται VC--FPI3S- σώζω
κἀγὼ C+RPNS---- καί+ἐγώ
οὐ D--------- οὐ
κέκλημαι VM--XMI1S- καλέω
εἰσελθεῖν VB--AAN--- ἔρχομαι εἰς
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
βασιλέα N3V-ASM--- βασιλεύς
εἰσὶν V9--PAI3P- εἰμί
αὗται RD--NPF--- ἑαυτοῦ
ἡμέραι N1A-NPF--- ἡμέρα
τριάκοντα M--------- τριάκοντα

Est 4:12
καὶ C--------- καί
ἀπήγγειλεν VAI-AAI3S- ἀγγέλλω ἀπο
Αχραθαῖος N2--NSM--- Αχραθαῖος
Μαρδοχαίῳ N2--DSM--- Μαρδοχαῖος
πάντας A3--APM--- πᾶς
τοὺς RA--APM--- ὁ
λόγους N2--APM--- λόγος
Εσθηρ N---GSF--- Εσθηρ

Est 4:13
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Μαρδοχαῖος N2--NSM--- Μαρδοχαῖος
πρὸς P--------- πρός
Αχραθαῖον N2--ASM--- Αχραθαῖος
πορεύθητι VC--APD2S- πορεύομαι
καὶ C--------- καί
εἰπὸν VBI-AAD2S- εἶπον
αὐτῇ RD--DSF--- αὐτός
Εσθηρ N---VSF--- Εσθηρ
μὴ D--------- μή
εἴπῃς VB--AAS2S- λέγω
σεαυτῇ RD--DSF--- σεαυτοῦ
ὅτι C--------- ὅτι
σωθήσῃ VC--FPI2S- σώζω
μόνη A1--NSF--- μόνος
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
βασιλείᾳ N1A-DSF--- βασιλεία
παρὰ P--------- παρά
πάντας A3--APM--- πᾶς
τοὺς RA--APM--- ὁ
Ιουδαίους N2--APM--- Ἰουδαῖος

Est 4:14
ὡς C--------- ὡς
ὅτι C--------- ὅτι
ἐὰν C--------- ἐάν
παρακούσῃς VA--AAS2S- ἀκούω παρα
ἐν P--------- ἐν
τούτῳ RD--DSM--- οὗτος
τῷ RA--DSM--- ὁ
καιρῷ N2--DSM--- καιρός
ἄλλοθεν D--------- ἄλλοθεν
βοήθεια N1A-NSF--- βοήθεια
καὶ C--------- καί
σκέπη N1--NSF--- σκέπη
ἔσται VF--FMI3S- εἰμί
τοῖς RA--DPM--- ὁ
Ιουδαίοις N2--DPM--- Ἰουδαῖος
σὺ RP--NS---- σύ
δὲ X--------- δέ
καὶ C--------- καί
ὁ RA--NSM--- ὁ
οἶκος N2--NSM--- οἶκος
τοῦ RA--GSM--- ὁ
πατρός N3--GSM--- πατήρ
σου RP--GS---- σύ
ἀπολεῖσθε VF2-FPI2P- ὀλλύω ἀπο
καὶ D--------- καί
τίς RI--NSM--- τίς
οἶδεν VX--XAI3S- οἶδα
εἰ C--------- εἰ
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
καιρὸν N2--ASM--- καιρός
τοῦτον RD--ASM--- οὗτος
ἐβασίλευσας VAI-AAI2S- βασιλεύω

Est 4:15
καὶ C--------- καί
ἐξαπέστειλεν VAI-AAI3S- στέλλω ἐκ ἀπο
Εσθηρ N---NSF--- Εσθηρ
τὸν RA--ASM--- ὁ
ἥκοντα V1--PAPASM ἥκω
πρὸς P--------- πρός
αὐτὴν RD--ASF--- αὐτός
πρὸς P--------- πρός
Μαρδοχαῖον N2--ASM--- Μαρδοχαῖος
λέγουσα V1--PAPNSF λέγω

Est 4:16
βαδίσας VA--AAPNSM βαδίζω
ἐκκλησίασον VA--AAD2S- ἐκκλησιάζω
τοὺς RA--APM--- ὁ
Ιουδαίους N2--APM--- Ἰουδαῖος
τοὺς RA--APM--- ὁ
ἐν P--------- ἐν
Σούσοις N---DPN--- Σουσά
καὶ C--------- καί
νηστεύσατε VA--AAD2P- νηστεύω
ἐπ' P--------- ἐπί
ἐμοὶ RP--DS---- ἐγώ
καὶ C--------- καί
μὴ D--------- μή
φάγητε VB--AAS2P- ἐσθίω
μηδὲ C--------- μηδέ
πίητε VB--AAS2P- πίνω
ἐπὶ P--------- ἐπί
ἡμέρας N1A-APF--- ἡμέρα
τρεῖς M---APF--- τρεῖς
νύκτα N3--ASF--- νύξ
καὶ C--------- καί
ἡμέραν N1A-ASF--- ἡμέρα
κἀγὼ C+RPNS---- καί+ἐγώ
δὲ X--------- δέ
καὶ C--------- καί
αἱ RA--NPF--- ὁ
ἅβραι N1A-NPF--- ἅβρα
μου RP--GS---- ἐγώ
ἀσιτήσομεν VF--FAI1P- ἀσιτέω
καὶ C--------- καί
τότε D--------- τότε
εἰσελεύσομαι VF--FMI1S- ἔρχομαι εἰς
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
βασιλέα N3V-ASM--- βασιλεύς
παρὰ P--------- παρά
τὸν RA--ASM--- ὁ
νόμον N2--ASM--- νόμος
ἐὰν C--------- ἐάν
καὶ D--------- καί
ἀπολέσθαι VA--AMN--- ὀλλύω ἀπο
με RP--AS---- ἐγώ
ᾖ V9--PAS3S- εἰμί

Est 4:17
καὶ C--------- καί
βαδίσας VA--AAPNSM βαδίζω
Μαρδοχαῖος N2--NSM--- Μαρδοχαῖος
ἐποίησεν VAI-AAI3S- ποιέω
ὅσα A1--APN--- ὅσος
ἐνετείλατο VAI-AMI3S- τέλλω ἐν
αὐτῷ RD--DSM--- αὐτός
Εσθηρ N2--NSF--- Εσθηρ

Est 4:17a
καὶ C--------- καί
ἐδεήθη VCI-API3S- δέω
κυρίου N2--GSM--- κύριος
μνημονεύων V1--PAPNSM μνημονεύω
πάντα A3--APN--- πᾶς
τὰ RA--APN--- ὁ
ἔργα N2N-APN--- ἔργον
κυρίου N2--GSM--- κύριος
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον

Est 4:17b
κύριε N2--VSM--- κύριος
κύριε N2--VSM--- κύριος
βασιλεῦ N3V-VSM--- βασιλεύς
πάντων A3--GPN--- πᾶς
κρατῶν V2--PAPNSM κρατέω
ὅτι C--------- ὅτι
ἐν P--------- ἐν
ἐξουσίᾳ N1A-DSF--- ἐξουσία
σου RP--GS---- σύ
τὸ RA--NSN--- ὁ
πᾶν A3--NSN--- πᾶς
ἐστιν V9--PAI3S- εἰμί
καὶ C--------- καί
οὐκ D--------- οὐ
ἔστιν V9--PAI3S- εἰμί
ὁ RA--NSM--- ὁ
ἀντιδοξῶν VF--FAPNSM δοκέω ἀντι
σοι RP--DS---- σύ
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
θέλειν V1--PAN--- θέλω
σε RP--AS---- σύ
σῶσαι VA--AAN--- σώζω
τὸν RA--ASM--- ὁ
Ισραηλ N---ASM--- Ἰσραήλ

Est 4:17c
ὅτι C--------- ὅτι
σὺ RP--NS---- σύ
ἐποίησας VAI-AAI2S- ποιέω
τὸν RA--ASM--- ὁ
οὐρανὸν N2--ASM--- οὐρανός
καὶ C--------- καί
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
καὶ C--------- καί
πᾶν A3--ASN--- πᾶς
θαυμαζόμενον V1--PMPASN θαυμάζω
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ὑπ' P--------- ὑπό
οὐρανὸν N2--ASM--- οὐρανός
καὶ C--------- καί
κύριος N2--NSM--- κύριος
εἶ V9--PAI2S- εἰμί
πάντων A3--GPM--- πᾶς
καὶ C--------- καί
οὐκ D--------- οὐ
ἔστιν V9--PAI3S- εἰμί
ὃς RR--NSM--- ὅς
ἀντιτάξεταί VF--FMI3S- τάσσω ἀντι
σοι RP--DS---- σύ
τῷ RA--DSM--- ὁ
κυρίῳ N2--DSM--- κύριος

Est 4:17d
σὺ RP--NS---- σύ
πάντα A3--APN--- πᾶς
γινώσκεις V1--PAI2S- γιγνώσκω
σὺ RP--NS---- σύ
οἶδας VX--XAI2S- οἶδα
κύριε N2--VSM--- κύριος
ὅτι C--------- ὅτι
οὐκ D--------- οὐ
ἐν P--------- ἐν
ὕβρει N3I-DSF--- ὕβρις
οὐδὲ C--------- οὐδέ
ἐν P--------- ἐν
ὑπερηφανίᾳ N1A-DSF--- ὑπερηφανία
οὐδὲ C--------- οὐδέ
ἐν P--------- ἐν
φιλοδοξίᾳ N1A-DSF--- φιλοδοξία
ἐποίησα VAI-AAI1S- ποιέω
τοῦτο RD--ASN--- οὗτος
τὸ RA--ASN--- ὁ
μὴ D--------- μή
προσκυνεῖν V2--PAN--- κυνέω προς
τὸν RA--ASM--- ὁ
ὑπερήφανον N2--ASM--- ὑπερήφανος
Αμαν N---GSM--- Αμαν
ὅτι C--------- ὅτι
ηὐδόκουν V2I-IAI1S- εὐδοκέω
φιλεῖν V2--PAN--- φιλέω
πέλματα N3M-APN--- πέλμα
ποδῶν N3D-GPM--- πούς
αὐτοῦ RD--GSM--- αὐτός
πρὸς P--------- πρός
σωτηρίαν N1A-ASF--- σωτηρία
Ισραηλ N---GSM--- Ἰσραήλ

Est 4:17e
ἀλλὰ C--------- ἀλλά
ἐποίησα VAI-AAI1S- ποιέω
τοῦτο RD--ASN--- οὗτος
ἵνα C--------- ἵνα
μὴ D--------- μή
θῶ VE--AAS1S- τίθημι
δόξαν N1S-ASF--- δόξα
ἀνθρώπου N2--GSM--- ἄνθρωπος
ὑπεράνω P--------- ὑπεράνω
δόξης N1S-GSF--- δόξα
θεοῦ N2--GSM--- θεός
καὶ C--------- καί
οὐ D--------- οὐ
προσκυνήσω VF--FAI1S- κυνέω προς
οὐδένα A3--ASM--- οὐδείς
πλὴν P--------- πλήν
σοῦ RP--GS---- σύ
τοῦ RA--GSM--- ὁ
κυρίου N2--GSM--- κύριος
μου RP--GS---- ἐγώ
καὶ C--------- καί
οὐ D--------- οὐ
ποιήσω VF--FAI1S- ποιέω
αὐτὰ RD--APN--- αὐτός
ἐν P--------- ἐν
ὑπερηφανίᾳ N1A-DSF--- ὑπερηφανία

Est 4:17f
καὶ C--------- καί
νῦν D--------- νῦν
κύριε N2--VSM--- κύριος
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
Αβρααμ N---GSM--- Ἀβραάμ
φεῖσαι VA--AMD2S- φείδομαι
τοῦ RA--GSM--- ὁ
λαοῦ N2--GSM--- λαός
σου RP--GS---- σύ
ὅτι C--------- ὅτι
ἐπιβλέπουσιν V1--PAI3P- βλέπω ἐπι
ἡμῖν RP--DP---- ἐγώ
εἰς P--------- εἰς
καταφθορὰν N1A-ASF--- καταφθορά
καὶ C--------- καί
ἐπεθύμησαν VAI-AAI3P- θυμέω ἐπι
ἀπολέσαι VA--AAN--- ὀλλύω ἀπο
τὴν RA--ASF--- ὁ
ἐξ P--------- ἐκ
ἀρχῆς N1--GSF--- ἀρχή
κληρονομίαν N1A-ASF--- κληρονομία
σου RP--GS---- σύ

Est 4:17g
μὴ D--------- μή
ὑπερίδῃς VB--AAS2S- ὁράω ὑπερ
τὴν RA--ASF--- ὁ
μερίδα N3D-ASF--- μερίς
σου RP--GS---- σύ
ἣν RR--ASF--- ὅς
σεαυτῷ RD--DSM--- σεαυτοῦ
ἐλυτρώσω VAI-AMI2S- λυτρόω
ἐκ P--------- ἐκ
γῆς N1--GSF--- γῆ
Αἰγύπτου N2--GSF--- Αἴγυπτος

Est 4:17h
ἐπάκουσον VA--AAD2S- ἀκούω ἐπι
τῆς RA--GSF--- ὁ
δεήσεώς N3I-GSF--- δέησις
μου RP--GS---- ἐγώ
καὶ C--------- καί
ἱλάσθητι VC--APD2S- ἱλάσκομαι
τῷ RA--DSM--- ὁ
κλήρῳ N2--DSM--- κλῆρος
σου RP--GS---- σύ
καὶ C--------- καί
στρέψον VA--AAD2S- στρέφω
τὸ RA--ASN--- ὁ
πένθος N3E-ASN--- πένθος
ἡμῶν RP--GP---- ἐγώ
εἰς P--------- εἰς
εὐωχίαν N1A-ASF--- εὐωχία
ἵνα C--------- ἵνα
ζῶντες V3--PAPNPM ζάω
ὑμνῶμέν V2--PAS1P- ὑμνέω
σου RP--GS---- σύ
τὸ RA--ASN--- ὁ
ὄνομα N3M-ASN--- ὄνομα
κύριε N2--VSM--- κύριος
καὶ C--------- καί
μὴ D--------- μή
ἀφανίσῃς VA--AAS2S- ἵζω ἀπο ἀνα
στόμα N3M-ASN--- στόμα
αἰνούντων V2--PAPGPM αἰνέω
σοι RP--DS---- σύ

Est 4:17i
καὶ C--------- καί
πᾶς A3--NSM--- πᾶς
Ισραηλ N---NSM--- Ἰσραήλ
ἐκέκραξαν VAI-AAI3P- κράζω ἐκ
ἐξ P--------- ἐκ
ἰσχύος N3U-GSF--- ἰσχύς
αὐτῶν RD--GPM--- αὐτός
ὅτι C--------- ὅτι
θάνατος N2--NSM--- θάνατος
αὐτῶν RD--GPM--- αὐτός
ἐν P--------- ἐν
ὀφθαλμοῖς N2--DPM--- ὀφθαλμός
αὐτῶν RD--GPM--- αὐτός

Est 4:17k
καὶ C--------- καί
Εσθηρ N---NSF--- Εσθηρ
ἡ RA--NSF--- ὁ
βασίλισσα N1A-NSF--- βασίλισσα
κατέφυγεν VBI-AAI3S- φεύγω κατα
ἐπὶ P--------- ἐπί
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
ἐν P--------- ἐν
ἀγῶνι N3W-DSM--- ἀγών
θανάτου N2--GSM--- θάνατος
κατειλημμένη VP--XMPNSF λαμβάνω κατα
καὶ C--------- καί
ἀφελομένη VB--AMPNSF αἱρέω ἀπο
τὰ RA--APN--- ὁ
ἱμάτια N2N-APN--- ἱμάτιον
τῆς RA--GSF--- ὁ
δόξης N1S-GSF--- δόξα
αὐτῆς RD--GSF--- αὐτός
ἐνεδύσατο VAI-AMI3S- δύω ἐν
ἱμάτια N2N-APN--- ἱμάτιον
στενοχωρίας N1A-GSF--- στενοχωρία
καὶ C--------- καί
πένθους N3E-GSN--- πένθος
καὶ C--------- καί
ἀντὶ P--------- ἀντί
τῶν RA--GPM--- ὁ
ὑπερηφάνων N2--GPM--- ὑπερήφανος
ἡδυσμάτων N3M-GPN--- ἥδυσμα
σποδοῦ N2--GSM--- σποδός
καὶ C--------- καί
κοπριῶν N1A-GPF--- κοπρία
ἔπλησεν VAI-AAI3S- πίμπλημι
τὴν RA--ASF--- ὁ
κεφαλὴν N1--ASF--- κεφαλή
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
τὸ RA--ASN--- ὁ
σῶμα N3M-ASN--- σῶμα
αὐτῆς RD--GSF--- αὐτός
ἐταπείνωσεν VAI-AAI3S- ταπεινόω
σφόδρα D--------- σφόδρα
καὶ C--------- καί
πάντα A3--ASM--- πᾶς
τόπον N2--ASM--- τόπος
κόσμου N2--GSM--- κόσμος
ἀγαλλιάματος N3M-GSN--- ἀγαλλίαμα
αὐτῆς RD--GSF--- αὐτός
ἔπλησε VAI-AAI3S- πίμπλημι
στρεπτῶν A1--GPF--- στρεπτός
τριχῶν N3--GPF--- θρίξ
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
ἐδεῖτο V2I-IMI3S- δέω
κυρίου N2--GSM--- κύριος
θεοῦ N2--GSM--- θεός
Ισραηλ N---GSM--- Ἰσραήλ
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον

Est 4:17l
κύριέ N2--VSM--- κύριος
μου RP--GS---- ἐγώ
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
ἡμῶν RP--GP---- ἐγώ
σὺ RP--NS---- σύ
εἶ V9--PAI2S- εἰμί
μόνος A1--NSM--- μόνος
βοήθησόν VA--AAD2S- βοηθέω
μοι RP--DS---- ἐγώ
τῇ RA--DSF--- ὁ
μόνῃ A1--DSF--- μόνος
καὶ C--------- καί
μὴ D--------- μή
ἐχούσῃ V1--PAPDSF ἔχω
βοηθὸν N2--ASM--- βοηθός
εἰ C--------- εἰ
μὴ D--------- μή
σέ RP--AS---- σύ
ὅτι C--------- ὅτι
κίνδυνός N2--NSM--- κίνδυνος
μου RP--GS---- ἐγώ
ἐν P--------- ἐν
χειρί N3--DSF--- χείρ
μου RP--GS---- ἐγώ

Est 4:17m
ἐγὼ RP--NS---- ἐγώ
ἤκουον V1I-IAI1S- ἀκούω
ἐκ P--------- ἐκ
γενετῆς N1--GSF--- γενετή
μου RP--GS---- ἐγώ
ἐν P--------- ἐν
φυλῇ N1--DSF--- φυλή
πατριᾶς N1A-GSF--- πατριά
μου RP--GS---- ἐγώ
ὅτι C--------- ὅτι
σύ RP--NS---- σύ
κύριε N2--VSM--- κύριος
ἔλαβες VBI-AAI2S- λαμβάνω
τὸν RA--ASM--- ὁ
Ισραηλ N2--ASM--- Ἰσραήλ
ἐκ P--------- ἐκ
πάντων A3--GPN--- πᾶς
τῶν RA--GPN--- ὁ
ἐθνῶν N3E-GPN--- ἔθνος
καὶ C--------- καί
τοὺς RA--APM--- ὁ
πατέρας N3--APM--- πατήρ
ἡμῶν RP--GP---- ἐγώ
ἐκ P--------- ἐκ
πάντων A3--GPM--- πᾶς
τῶν RA--GPM--- ὁ
προγόνων N2--GPM--- πρόγονος
αὐτῶν RD--GPM--- αὐτός
εἰς P--------- εἰς
κληρονομίαν N1A-ASF--- κληρονομία
αἰώνιον A1B-ASF--- αἰώνιος
καὶ C--------- καί
ἐποίησας VAI-AAI2S- ποιέω
αὐτοῖς RD--DPN--- αὐτός
ὅσα A1--APN--- ὅσος
ἐλάλησας VAI-AAI2S- λαλέω

Est 4:17n
καὶ C--------- καί
νῦν D--------- νῦν
ἡμάρτομεν VBI-AAI1P- ἁμαρτάνω
ἐνώπιόν P--------- ἐνώπιον
σου RP--GS---- σύ
καὶ C--------- καί
παρέδωκας VAI-AAI2S- δίδωμι παρα
ἡμᾶς RP--AP---- ἐγώ
εἰς P--------- εἰς
χεῖρας N3--APF--- χείρ
τῶν RA--GPM--- ὁ
ἐχθρῶν A1A-GPM--- ἐχθρός
ἡμῶν RP--GP---- ἐγώ
ἀνθ' P--------- ἀντί
ὧν RR--GPM--- ὅς
ἐδοξάσαμεν VAI-AAI1P- δοξάζω
τοὺς RA--APM--- ὁ
θεοὺς N2--APM--- θεός
αὐτῶν RD--GPM--- αὐτός
δίκαιος A1A-NSM--- δίκαιος
εἶ V9--PAI2S- εἰμί
κύριε N2--VSM--- κύριος

Est 4:17o
καὶ C--------- καί
νῦν D--------- νῦν
οὐχ D--------- οὐ
ἱκανώθησαν VC--API3P- ἱκανόομαι
ἐν P--------- ἐν
πικρασμῷ N2--DSM--- πικρασμός
δουλείας N1A-GSF--- δουλεία
ἡμῶν RP--GP---- ἐγώ
ἀλλὰ C--------- ἀλλά
ἔθηκαν VAI-AAI3P- τίθημι
τὰς RA--APF--- ὁ
χεῖρας N3--APF--- χείρ
αὐτῶν RD--GPM--- αὐτός
ἐπὶ P--------- ἐπί
τὰς RA--APF--- ὁ
χεῖρας N3--APF--- χείρ
τῶν RA--GPN--- ὁ
εἰδώλων N2N-GPN--- εἴδωλον
αὐτῶν RD--GPM--- αὐτός
ἐξᾶραι VA--AAN--- αἴρω ἐκ
ὁρισμὸν N2--ASM--- ὁρισμός
στόματός N3M-GSN--- στόμα
σου RP--GS---- σύ
καὶ C--------- καί
ἀφανίσαι VA--AAN--- ἵζω ἀπο ἀνα
κληρονομίαν N1A-ASF--- κληρονομία
σου RP--GS---- σύ
καὶ C--------- καί
ἐμφράξαι VA--AAN--- φράσσω ἐν
στόμα N3M-ASN--- στόμα
αἰνούντων V2--PAPGPM αἰνέω
σοι RP--DS---- σύ
καὶ C--------- καί
σβέσαι VA--AAN--- σβέννυμι
δόξαν N1S-ASF--- δόξα
οἴκου N2--GSM--- οἶκος
σου RP--GS---- σύ
καὶ C--------- καί
θυσιαστήριόν N2N-ASN--- θυσιαστήριον
σου RP--GS---- σύ

Est 4:17p
καὶ C--------- καί
ἀνοῖξαι VA--AAN--- οἴγω ἀνα
στόμα N3M-ASN--- στόμα
ἐθνῶν N3E-GPN--- ἔθνος
εἰς P--------- εἰς
ἀρετὰς N1--APF--- ἀρετή
ματαίων A1A-GPM--- μάταιος
καὶ C--------- καί
θαυμασθῆναι VC--APN--- θαυμάζω
βασιλέα N3V-ASM--- βασιλεύς
σάρκινον A1--ASM--- σάρκινος
εἰς P--------- εἰς
αἰῶνα N3W-ASM--- αἰών

Est 4:17q
μὴ D--------- μή
παραδῷς VO--AAS2S- δίδωμι παρα
κύριε N2--VSM--- κύριος
τὸ RA--ASN--- ὁ
σκῆπτρόν N2N-ASN--- σκῆπτρον
σου RP--GS---- σύ
τοῖς RA--DPM--- ὁ
μὴ D--------- μή
οὖσιν V9--PAPDPM εἰμί
καὶ C--------- καί
