Gen 1:1
πᾶσαι A1S-NPF--- πᾶς
αἱ RA--NPF--- ὁ
ἡμέραι N1A-NPF--- ἡμέρα
Ιαρεδ N---GSM--- Ιαρεδ
ἐννακόσια A1--APN--- ἐννακόσιοι
καὶ C--------- καί
ἑξήκοντα M--------- ἑξήκοντα
δύο M--------- δύο
ἔτη N3E-APN--- ἔτος
καὶ C--------- καί
ἀπέθανεν VBI-AAI3S- θνήσκω ἀπο

Gen 5:21
καὶ C--------- καί
ἔζησεν VAI-AAI3S- ζάω
Ενωχ N---NSM--- Ενωχ
ἑκατὸν M--------- ἑκατόν
καὶ C--------- καί
ἑξήκοντα M--------- ἑξήκοντα
πέντε M--------- πέντε
ἔτη N3E-APN--- ἔτος
καὶ C--------- καί
ἐγέννησεν VAI-AAI3S- γεννάω
τὸν RA--ASM--- ὁ
Μαθουσαλα N---ASM--- Μαθουσαλα

Gen 5:22
εὐηρέστησεν VAI-AAI3S- εὐαρεστέω
δὲ X--------- δέ
Ενωχ N---NSM--- Ενωχ
τῷ RA--DSM--- ὁ
θεῷ N2--DSM--- θεός
μετὰ P--------- μετά
τὸ RA--ASN--- ὁ
γεννῆσαι VA--AAN--- γεννάω
αὐτὸν RD--ASM--- αὐτός
τὸν RA--ASM--- ὁ
Μαθουσαλα N---ASM--- Μαθουσαλα
διακόσια A1A-APN--- διακόσιοι
ἔτη N3E-APN--- ἔτος
καὶ C--------- καί
ἐγέννησεν VAI-AAI3S- γεννάω
υἱοὺς N2--APM--- υἱός
καὶ C--------- καί
θυγατέρας N3--APF--- θυγάτηρ

Gen 5:23
καὶ C--------- καί
ἐγένοντο VBI-AMI3P- γίγνομαι
πᾶσαι A1S-NPF--- πᾶς
αἱ RA--NPF--- ὁ
ἡμέραι N1A-NPF--- ἡμέρα
Ενωχ N---GSM--- Ενωχ
τριακόσια A1A-APN--- τριακόσιοι
ἑξήκοντα M--------- ἑξήκοντα
πέντε M--------- πέντε
ἔτη N3E-APN--- ἔτος

Gen 5:24
καὶ C--------- καί
εὐηρέστησεν VAI-AAI3S- εὐαρεστέω
Ενωχ N---NSM--- Ενωχ
τῷ RA--DSM--- ὁ
θεῷ N2--DSM--- θεός
καὶ C--------- καί
οὐχ D--------- οὐ
ηὑρίσκετο V1I-IMI3S- εὑρίσκω
ὅτι C--------- ὅτι
μετέθηκεν VAI-AAI3S- τίθημι μετα
αὐτὸν RD--ASM--- αὐτός
ὁ RA--NSM--- ὁ
θεός N2--NSM--- θεός

Gen 5:25
καὶ C--------- καί
ἔζησεν VAI-AAI3S- ζάω
Μαθουσαλα N---NSM--- Μαθουσαλα
ἑκατὸν M--------- ἑκατόν
καὶ C--------- καί
ἑξήκοντα M--------- ἑξήκοντα
ἑπτὰ M--------- ἑπτά
ἔτη N3E-APN--- ἔτος
καὶ C--------- καί
ἐγέννησεν VAI-AAI3S- γεννάω
τὸν RA--ASM--- ὁ
Λαμεχ N---ASM--- Λαμεχ

Gen 5:26
καὶ C--------- καί
ἔζησεν VAI-AAI3S- ζάω
Μαθουσαλα N---NSM--- Μαθουσαλα
μετὰ P--------- μετά
τὸ RA--ASN--- ὁ
γεννῆσαι VA--AAN--- γεννάω
αὐτὸν RD--ASM--- αὐτός
τὸν RA--ASM--- ὁ
Λαμεχ N---ASM--- Λαμεχ
ὀκτακόσια A1--APN--- ὀκτακόσιοι
δύο M--------- δύο
ἔτη N3E-APN--- ἔτος
καὶ C--------- καί
ἐγέννησεν VAI-AAI3S- γεννάω
υἱοὺς N2--APM--- υἱός
καὶ C--------- καί
θυγατέρας N3--APF--- θυγάτηρ

Gen 5:27
καὶ C--------- καί
ἐγένοντο VBI-AMI3P- γίγνομαι
πᾶσαι A1S-NPF--- πᾶς
αἱ RA--NPF--- ὁ
ἡμέραι N1A-NPF--- ἡμέρα
Μαθουσαλα N---GSM--- Μαθουσαλα
ἃς RR--APF--- ὅς
ἔζησεν VAI-AAI3S- ζάω
ἐννακόσια A1--APN--- ἐννακόσιοι
καὶ C--------- καί
ἑξήκοντα M--------- ἑξήκοντα
ἐννέα M--------- ἐννέα
ἔτη N3E-APN--- ἔτος
καὶ C--------- καί
ἀπέθανεν VBI-AAI3S- θνήσκω ἀπο

Gen 5:28
καὶ C--------- καί
ἔζησεν VAI-AAI3S- ζάω
Λαμεχ N---NSM--- Λαμεχ
ἑκατὸν M--------- ἑκατόν
ὀγδοήκοντα M--------- ὀγδοήκοντα
ὀκτὼ M--------- ὀκτώ
ἔτη N3E-APN--- ἔτος
καὶ C--------- καί
ἐγέννησεν VAI-AAI3S- γεννάω
υἱὸν N2--ASM--- υἱός

Gen 5:29
καὶ C--------- καί
ἐπωνόμασεν VAI-AAI3S- ὀνομάζω ἐπι
τὸ RA--ASN--- ὁ
ὄνομα N3M-ASN--- ὄνομα
αὐτοῦ RD--GSM--- αὐτός
Νωε N---ASM--- Νωε
λέγων V1--PAPNSM λέγω
οὗτος RD--NSM--- οὗτος
διαναπαύσει VF--FAI3S- παύω δια ἀνα
ἡμᾶς RP--AP---- ἐγώ
ἀπὸ P--------- ἀπό
τῶν RA--GPN--- ὁ
ἔργων N2N-GPN--- ἔργον
ἡμῶν RP--GP---- ἐγώ
καὶ C--------- καί
ἀπὸ P--------- ἀπό
τῶν RA--GPF--- ὁ
λυπῶν N1--GPF--- λύπη
τῶν RA--GPF--- ὁ
χειρῶν N3--GPF--- χείρ
ἡμῶν RP--GP---- ἐγώ
καὶ C--------- καί
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
ἧς RR--GSF--- ὅς
κατηράσατο VAI-AMI3S- ἀράομαι κατα
κύριος N2--NSM--- κύριος
ὁ RA--NSM--- ὁ
θεός N2--NSM--- θεός

Gen 5:30
καὶ C--------- καί
ἔζησεν VAI-AAI3S- ζάω
Λαμεχ N---NSM--- Λαμεχ
μετὰ P--------- μετά
τὸ RA--ASN--- ὁ
γεννῆσαι VA--AAN--- γεννάω
αὐτὸν RD--ASM--- αὐτός
τὸν RA--ASM--- ὁ
Νωε N---ASM--- Νωε
πεντακόσια A1A-APN--- πεντακόσιοι
καὶ C--------- καί
ἑξήκοντα M--------- ἑξήκοντα
πέντε M--------- πέντε
ἔτη N3E-APN--- ἔτος
καὶ C--------- καί
ἐγέννησεν VAI-AAI3S- γεννάω
υἱοὺς N2--APM--- υἱός
καὶ C--------- καί
θυγατέρας N3--APF--- θυγάτηρ

Gen 5:31
καὶ C--------- καί
ἐγένοντο VBI-AMI3P- γίγνομαι
πᾶσαι A1S-NPF--- πᾶς
αἱ RA--NPF--- ὁ
ἡμέραι N1A-NPF--- ἡμέρα
Λαμεχ N---GSM--- Λαμεχ
ἑπτακόσια A1--NPN--- ἑπτακόσιοι
καὶ C--------- καί
πεντήκοντα M--------- πεντήκοντα
τρία A3--NPM--- τρεῖς
ἔτη N3E-NPN--- ἔτος
καὶ C--------- καί
ἀπέθανεν VBI-AAI3S- θνήσκω ἀπο

Gen 5:32
καὶ C--------- καί
ἦν V9--IAI3S- εἰμί
Νωε N---NSM--- Νωε
ἐτῶν N3E-GPN--- ἔτος
πεντακοσίων A1A-GPN--- πεντακόσιοι
καὶ C--------- καί
ἐγέννησεν VAI-AAI3S- γεννάω
Νωε N---NSM--- Νωε
τρεῖς A3--APM--- τρεῖς
υἱούς N2--APM--- υἱός
τὸν RA--ASM--- ὁ
Σημ N---ASM--- Σημ
τὸν RA--ASM--- ὁ
Χαμ N---ASM--- Χαμ
τὸν RA--ASM--- ὁ
Ιαφεθ N---ASM--- Ιαφεθ

Gen 6:1
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
ἡνίκα D--------- ἡνίκα
ἤρξαντο VAI-AMI3P- ἄρχω
οἱ RA--NPM--- ὁ
ἄνθρωποι N2--NPM--- ἄνθρωπος
πολλοὶ A1--NPM--- πολύς
γίνεσθαι V1--PMN--- γίγνομαι
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
καὶ C--------- καί
θυγατέρες N3--NPF--- θυγάτηρ
ἐγενήθησαν VCI-API3P- γίγνομαι
αὐτοῖς RD--DPM--- αὐτός

Gen 6:2
ἰδόντες VB--AAPNPM ὁράω
δὲ X--------- δέ
οἱ RA--NPM--- ὁ
υἱοὶ N2--NPM--- υἱός
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
τὰς RA--APF--- ὁ
θυγατέρας N3--APF--- θυγάτηρ
τῶν RA--GPM--- ὁ
ἀνθρώπων N2--GPM--- ἄνθρωπος
ὅτι C--------- ὅτι
καλαί A1--NPF--- καλός
εἰσιν V9--PAI3P- εἰμί
ἔλαβον VBI-AAI3P- λαμβάνω
ἑαυτοῖς RD--DPM--- ἑαυτοῦ
γυναῖκας N3K-APF--- γυνή
ἀπὸ P--------- ἀπό
πασῶν A1S-GPF--- πᾶς
ὧν RR--GPF--- ὅς
ἐξελέξαντο VAI-AMI3P- λέγω ἐκ

Gen 6:3
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
κύριος N2--NSM--- κύριος
ὁ RA--NSM--- ὁ
θεός N2--NSM--- θεός
οὐ D--------- οὐ
μὴ D--------- μή
καταμείνῃ VA--AAS3S- μένω κατα
τὸ RA--ASN--- ὁ
πνεῦμά N3M-ASN--- πνεῦμα
μου RP--GS---- ἐγώ
ἐν P--------- ἐν
τοῖς RA--DPM--- ὁ
ἀνθρώποις N2--DPM--- ἄνθρωπος
τούτοις RD--DPM--- οὗτος
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
αἰῶνα N3W-ASM--- αἰών
διὰ P--------- διά
τὸ RA--ASN--- ὁ
εἶναι V9--PAN--- εἰμί
αὐτοὺς RD--APM--- αὐτός
σάρκας N3K-APF--- σάρξ
ἔσονται VF--FMI3P- εἰμί
δὲ X--------- δέ
αἱ RA--NPF--- ὁ
ἡμέραι N1A-NPF--- ἡμέρα
αὐτῶν RD--GPM--- αὐτός
ἑκατὸν M--------- ἑκατόν
εἴκοσι M--------- εἴκοσι
ἔτη N3E-APN--- ἔτος

Gen 6:4
οἱ RA--NPM--- ὁ
δὲ X--------- δέ
γίγαντες N3--NPM--- γίγας
ἦσαν V9--IAI3P- εἰμί
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
ἡμέραις N1A-DPF--- ἡμέρα
ἐκείναις RD--DPF--- ἐκεῖνος
καὶ C--------- καί
μετ' P--------- μετά
ἐκεῖνο RD--ASN--- ἐκεῖνος
ὡς C--------- ὡς
ἂν X--------- ἄν
εἰσεπορεύοντο V1I-IMI3P- πορεύομαι εἰς
οἱ RA--NPM--- ὁ
υἱοὶ N2--NPM--- υἱός
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
πρὸς P--------- πρός
τὰς RA--APF--- ὁ
θυγατέρας N3--APF--- θυγάτηρ
τῶν RA--GPM--- ὁ
ἀνθρώπων N2--GPM--- ἄνθρωπος
καὶ C--------- καί
ἐγεννῶσαν VAI-AAI3P- γεννάω
ἑαυτοῖς RD--DPM--- ἑαυτοῦ
ἐκεῖνοι RD--NPM--- ἐκεῖνος
ἦσαν V9--IAI3P- εἰμί
οἱ RA--NPM--- ὁ
γίγαντες N3--NPM--- γίγας
οἱ RA--NPM--- ὁ
ἀπ' P--------- ἀπό
αἰῶνος N3W-GSM--- αἰών
οἱ RA--NPM--- ὁ
ἄνθρωποι N2--NPM--- ἄνθρωπος
οἱ RA--NPM--- ὁ
ὀνομαστοί A1--NPM--- ὀνομαστός

Gen 6:5
ἰδὼν VB--AAPNSM ὁράω
δὲ X--------- δέ
κύριος N2--NSM--- κύριος
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
ὅτι C--------- ὅτι
ἐπληθύνθησαν VCI-API3P- πληθύνω
αἱ RA--NPF--- ὁ
κακίαι N1A-NPF--- κακία
τῶν RA--GPM--- ὁ
ἀνθρώπων N2--GPM--- ἄνθρωπος
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
καὶ C--------- καί
πᾶς A3--NSM--- πᾶς
τις RI--NSM--- τις
διανοεῖται V2--PMI3S- νοέομαι δια
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
καρδίᾳ N1A-DSF--- καρδία
αὐτοῦ RD--GSM--- αὐτός
ἐπιμελῶς D--------- ἐπιμελῶς
ἐπὶ P--------- ἐπί
τὰ RA--APN--- ὁ
πονηρὰ A1A-APN--- πονηρός
πάσας A1S-APF--- πᾶς
τὰς RA--APF--- ὁ
ἡμέρας N1A-APF--- ἡμέρα

Gen 6:6
καὶ C--------- καί
ἐνεθυμήθη VCI-API3S- θυμέομαι ἐν
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
ὅτι C--------- ὅτι
ἐποίησεν VAI-AAI3S- ποιέω
τὸν RA--ASM--- ὁ
ἄνθρωπον N2--ASM--- ἄνθρωπος
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
καὶ C--------- καί
διενοήθη VCI-API3S- νοέομαι δια

Gen 6:7
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ὁ RA--NSM--- ὁ
θεός N2--NSM--- θεός
ἀπαλείψω VF--FAI1S- ἀλείφω ἀπο
τὸν RA--ASM--- ὁ
ἄνθρωπον N2--ASM--- ἄνθρωπος
ὃν RR--ASM--- ὅς
ἐποίησα VAI-AAI1S- ποιέω
ἀπὸ P--------- ἀπό
προσώπου N2N-GSN--- πρόσωπον
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
ἀπὸ P--------- ἀπό
ἀνθρώπου N2--GSM--- ἄνθρωπος
ἕως P--------- ἕως
κτήνους N3E-GSN--- κτῆνος
καὶ C--------- καί
ἀπὸ P--------- ἀπό
ἑρπετῶν N2N-GPN--- ἑρπετόν
ἕως P--------- ἕως
τῶν RA--GPN--- ὁ
πετεινῶν N2N-GPN--- πετεινόν
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
ὅτι C--------- ὅτι
ἐθυμώθην VCI-API1S- θυμόω
ὅτι C--------- ὅτι
ἐποίησα VAI-AAI1S- ποιέω
αὐτούς RD--APM--- αὐτός

Gen 6:8
Νωε N---NSM--- Νωε
δὲ X--------- δέ
εὗρεν VB--AAI3S- εὑρίσκω
χάριν N3--ASF--- χάρις
ἐναντίον P--------- ἐναντίον
κυρίου N2--GSM--- κύριος
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός

Gen 6:9
αὗται RD--NPF--- οὗτος
δὲ X--------- δέ
αἱ RA--NPF--- ὁ
γενέσεις N3I-NPF--- γένεσις
Νωε N---GSM--- Νωε
Νωε N---NSM--- Νωε
ἄνθρωπος N2--NSM--- ἄνθρωπος
δίκαιος A1A-NSM--- δίκαιος
τέλειος A1A-NSM--- τέλειος
ὢν V9--PAPNSM εἰμί
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
γενεᾷ N1A-DSF--- γενεά
αὐτοῦ RD--GSM--- αὐτός
τῷ RA--DSM--- ὁ
θεῷ N2--DSM--- θεός
εὐηρέστησεν VAI-AAI3S- εὐαρεστέω
Νωε N---NSM--- Νωε

Gen 6:10
ἐγέννησεν VAI-AAI3S- γεννάω
δὲ X--------- δέ
Νωε N---NSM--- Νωε
τρεῖς A3--APM--- τρεῖς
υἱούς N2--APM--- υἱός
τὸν RA--ASM--- ὁ
Σημ N---ASM--- Σημ
τὸν RA--ASM--- ὁ
Χαμ N---ASM--- Χαμ
τὸν RA--ASM--- ὁ
Ιαφεθ N---ASM--- Ιαφεθ

Gen 6:11
ἐφθάρη VDI-API3S- φθείρω
δὲ X--------- δέ
ἡ RA--NSF--- ὁ
γῆ N1--NSF--- γῆ
ἐναντίον P--------- ἐναντίον
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
καὶ C--------- καί
ἐπλήσθη VSI-API3S- πίμπλημι
ἡ RA--NSF--- ὁ
γῆ N1--NSF--- γῆ
ἀδικίας N1A-GSF--- ἀδικία

Gen 6:12
καὶ C--------- καί
εἶδεν VBI-AAI3S- ὁράω
κύριος N2--NSM--- κύριος
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
καὶ C--------- καί
ἦν V9--IAI3S- εἰμί
κατεφθαρμένη VM--XMPNSF φθείρω κατα
ὅτι C--------- ὅτι
κατέφθειρεν V1I-IAI3S- φθείρω κατα
πᾶσα A1S-NSF--- πᾶς
σὰρξ N3K-NSF--- σάρξ
τὴν RA--ASF--- ὁ
ὁδὸν N2--ASF--- ὁδός
αὐτοῦ RD--GSM--- αὐτός
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ

Gen 6:13
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
πρὸς P--------- πρός
Νωε N---ASM--- Νωε
καιρὸς N2--NSM--- καιρός
παντὸς A3--GSM--- πᾶς
ἀνθρώπου N2--GSM--- ἄνθρωπος
ἥκει V1--PAI3S- ἥκω
ἐναντίον P--------- ἐναντίον
μου RP--GS---- ἐγώ
ὅτι C--------- ὅτι
ἐπλήσθη VSI-API3S- πίμπλημι
ἡ RA--NSF--- ὁ
γῆ N1--NSF--- γῆ
ἀδικίας N1A-GSF--- ἀδικία
ἀπ' P--------- ἀπό
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ἰδοὺ I--------- ἰδού
ἐγὼ RP--NS---- ἐγώ
καταφθείρω V1--PAI1S- φθείρω κατα
αὐτοὺς RD--APM--- αὐτός
καὶ C--------- καί
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ

Gen 6:14
ποίησον VA--AAD2S- ποιέω
οὖν X--------- οὖν
σεαυτῷ RD--DSM--- σεαυτοῦ
κιβωτὸν N2--ASF--- κιβωτός
ἐκ P--------- ἐκ
ξύλων N2N-GPN--- ξύλον
τετραγώνων A1B-GPN--- τετράγωνος
νοσσιὰς N1--APF--- νοσσιά
ποιήσεις VF--FAI2S- ποιέω
τὴν RA--ASF--- ὁ
κιβωτὸν N2--ASF--- κιβωτός
καὶ C--------- καί
ἀσφαλτώσεις VF--FAI2S- ἀσφαλτόω
αὐτὴν RD--ASF--- αὐτός
ἔσωθεν D--------- ἔσωθεν
καὶ C--------- καί
ἔξωθεν D--------- ἔξωθεν
τῇ RA--DSF--- ὁ
ἀσφάλτῳ N2--DSF--- ἄσφαλτος

Gen 6:15
καὶ C--------- καί
οὕτως D--------- οὕτως
ποιήσεις VF--FAI2S- ποιέω
τὴν RA--ASF--- ὁ
κιβωτόν N2--ASF--- κιβωτός
τριακοσίων A1A-GPM--- τριακόσιοι
πήχεων N3--GPM--- πῆχυς
τὸ RA--ASN--- ὁ
μῆκος N3E-ASN--- μῆκος
τῆς RA--GSF--- ὁ
κιβωτοῦ N2--GSF--- κιβωτός
καὶ C--------- καί
πεντήκοντα M--------- πεντήκοντα
πήχεων N3--GPM--- πῆχυς
τὸ RA--ASN--- ὁ
πλάτος N3E-ASN--- πλάτος
καὶ C--------- καί
τριάκοντα M--------- τριάκοντα
πήχεων N3--GPM--- πῆχυς
τὸ RA--ASN--- ὁ
ὕψος N3E-ASN--- ὕψος
αὐτῆς RD--GSF--- αὐτός

Gen 6:16
ἐπισυνάγων V1--PAPNSM ἄγω ἐπι συν
ποιήσεις VF--FAI2S- ποιέω
τὴν RA--ASF--- ὁ
κιβωτὸν N2--ASF--- κιβωτός
καὶ C--------- καί
εἰς P--------- εἰς
πῆχυν N3--ASM--- πῆχυς
συντελέσεις VF--FAI2S- τελέω συν
αὐτὴν RD--ASF--- αὐτός
ἄνωθεν D--------- ἄνωθεν
τὴν RA--ASF--- ὁ
δὲ X--------- δέ
θύραν N1A-ASF--- θύρα
τῆς RA--GSF--- ὁ
κιβωτοῦ N2--GSF--- κιβωτός
ποιήσεις VF--FAI2S- ποιέω
ἐκ P--------- ἐκ
πλαγίων A1A-GPM--- πλάγιος
κατάγαια A1--APN--- κατάγαιος
διώροφα A1--APN--- διώροφος
καὶ C--------- καί
τριώροφα A1--APN--- τριώροφος
ποιήσεις VF--FAI2S- ποιέω
αὐτήν RD--ASF--- αὐτός

Gen 6:17
ἐγὼ RP--NS---- ἐγώ
δὲ X--------- δέ
ἰδοὺ I--------- ἰδού
ἐπάγω V1--PAI1S- ἄγω ἐπι
τὸν RA--ASM--- ὁ
κατακλυσμὸν N2--ASM--- κατακλυσμός
ὕδωρ N3--ASN--- ὕδωρ
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
καταφθεῖραι VA--AAN--- φθείρω κατα
πᾶσαν A1S-ASF--- πᾶς
σάρκα N3K-ASF--- σάρξ
ἐν P--------- ἐν
ᾗ RR--DSF--- ὅς
ἐστιν V9--PAI3S- εἰμί
πνεῦμα N3M-NSN--- πνεῦμα
ζωῆς N1--GSF--- ζωή
ὑποκάτω P--------- ὑποκάτω
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
καὶ C--------- καί
ὅσα A1--APN--- ὅσος
ἐὰν C--------- ἐάν
ᾖ V9--PAS3S- εἰμί
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
τελευτήσει VF--FAI3S- τελευτάω

Gen 6:18
καὶ C--------- καί
στήσω VF--FAI1S- ἵστημι
τὴν RA--ASF--- ὁ
διαθήκην N1--ASF--- διαθήκη
μου RP--GS---- ἐγώ
πρὸς P--------- πρός
σέ RP--AS---- σύ
εἰσελεύσῃ VF--FMI2S- ἔρχομαι εἰς
δὲ X--------- δέ
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
κιβωτόν N2--ASF--- κιβωτός
σὺ RP--NS---- σύ
καὶ C--------- καί
οἱ RA--NPM--- ὁ
υἱοί N2--NPM--- υἱός
σου RP--GS---- σύ
καὶ C--------- καί
ἡ RA--NSF--- ὁ
γυνή N3K-NSF--- γυνή
σου RP--GS---- σύ
καὶ C--------- καί
αἱ RA--NPF--- ὁ
γυναῖκες N3K-NPF--- γυνή
τῶν RA--GPM--- ὁ
υἱῶν N2--GPM--- υἱός
σου RP--GS---- σύ
μετὰ P--------- μετά
σοῦ RP--GS---- σύ

Gen 6:19
καὶ C--------- καί
ἀπὸ P--------- ἀπό
πάντων A3--GPN--- πᾶς
τῶν RA--GPN--- ὁ
κτηνῶν N3E-GPN--- κτῆνος
καὶ C--------- καί
ἀπὸ P--------- ἀπό
πάντων A3--GPN--- πᾶς
τῶν RA--GPN--- ὁ
ἑρπετῶν N2N-GPN--- ἑρπετόν
καὶ C--------- καί
ἀπὸ P--------- ἀπό
πάντων A3--GPN--- πᾶς
τῶν RA--GPN--- ὁ
θηρίων N2N-GPN--- θηρίον
καὶ C--------- καί
ἀπὸ P--------- ἀπό
πάσης A1S-GSF--- πᾶς
σαρκός N3K-GSF--- σάρξ
δύο M--------- δύο
δύο M--------- δύο
ἀπὸ P--------- ἀπό
πάντων A3--GPM--- πᾶς
εἰσάξεις VF--FAI2S- ἄγω εἰς
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
κιβωτόν N2--ASF--- κιβωτός
ἵνα C--------- ἵνα
τρέφῃς V1--PAS2S- τρέφω
μετὰ P--------- μετά
σεαυτοῦ RD--GSM--- σεαυτοῦ
ἄρσεν A3--NSN--- ἄρσην
καὶ C--------- καί
θῆλυ A3U-NSN--- θῆλυς
ἔσονται VF--FMI3P- εἰμί

Gen 6:20
ἀπὸ P--------- ἀπό
πάντων A3--GPM--- πᾶς
τῶν RA--GPN--- ὁ
ὀρνέων N3I-GPN--- ὄρνεον
τῶν RA--GPN--- ὁ
πετεινῶν N2N-GPN--- πετεινόν
κατὰ P--------- κατά
γένος N3E-ASN--- γένος
καὶ C--------- καί
ἀπὸ P--------- ἀπό
πάντων A3--GPN--- πᾶς
τῶν RA--GPN--- ὁ
κτηνῶν N3E-GPN--- κτῆνος
κατὰ P--------- κατά
γένος N3E-ASN--- γένος
καὶ C--------- καί
ἀπὸ P--------- ἀπό
