Eze 1:1
ἀνθρώπου N2--GSM--- ἄνθρωπος
προφήτευσον VA--AAD2S- προφητεύω
ἐπὶ P--------- ἐπί
τοὺς RA--APM--- ὁ
προφήτας N1M-APM--- προφήτης
τοῦ RA--GSM--- ὁ
Ισραηλ N---GSM--- Ἰσραήλ
καὶ C--------- καί
προφητεύσεις VF--FAI2S- προφητεύω
καὶ C--------- καί
ἐρεῖς VF2-FAI2S- εἶπον
πρὸς P--------- πρός
αὐτούς RD--APM--- αὐτός
ἀκούσατε VA--AAD2P- ἀκούω
λόγον N2--ASM--- λόγος
κυρίου N2--GSM--- κύριος

Eze 13:3
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
οὐαὶ I--------- οὐαί
τοῖς RA--DPM--- ὁ
προφητεύουσιν V1--PAPNPM προφητεύω
ἀπὸ P--------- ἀπό
καρδίας N1A-GSF--- καρδία
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
τὸ RA--ASN--- ὁ
καθόλου D--------- καθόλου
μὴ D--------- μή
βλέπουσιν V1--PAI3P- βλέπω

Eze 13:4
οἱ RA--NPM--- ὁ
προφῆταί N1M-NPM--- προφήτης
σου RP--GS---- σύ
Ισραηλ N---VSM--- Ἰσραήλ
ὡς C--------- ὡς
ἀλώπεκες N3K-NPF--- ἀλώπηξ
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
ἐρήμοις N2--DPF--- ἔρημος

Eze 13:5
οὐκ D--------- οὐ
ἔστησαν VAI-AAI3P- ἵστημι
ἐν P--------- ἐν
στερεώματι N3M-DSN--- στερέωμα
καὶ C--------- καί
συνήγαγον VBI-AAI3P- ἄγω συν
ποίμνια N2N-APN--- ποίμνιον
ἐπὶ P--------- ἐπί
τὸν RA--ASM--- ὁ
οἶκον N2--ASM--- οἶκος
τοῦ RA--GSM--- ὁ
Ισραηλ N---GSM--- Ἰσραήλ
οὐκ D--------- οὐ
ἀνέστησαν VHI-AAI3P- ἵστημι ἀνα
οἱ RA--NPM--- ὁ
λέγοντες V1--PAPNPM λέγω
ἐν P--------- ἐν
ἡμέρᾳ N1A-DSF--- ἡμέρα
κυρίου N2--GSM--- κύριος

Eze 13:6
βλέποντες V1--PAPNPM βλέπω
ψευδῆ A3H-APN--- ψευδής
μαντευόμενοι V1--PMPNPM μαντεύομαι
μάταια A1A-APN--- μάταιος
οἱ RA--NPM--- ὁ
λέγοντες V1--PAPNPM λέγω
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
καὶ C--------- καί
κύριος N2--NSM--- κύριος
οὐκ D--------- οὐ
ἀπέσταλκεν VX--XAI3S- στέλλω ἀπο
αὐτούς RD--APM--- αὐτός
καὶ C--------- καί
ἤρξαντο VAI-AMI3P- ἄρχω
τοῦ RA--GSN--- ὁ
ἀναστῆσαι VA--AAN--- ἵστημι ἀνα
λόγον N2--ASM--- λόγος

Eze 13:7
οὐχ D--------- οὐ
ὅρασιν N3I-ASF--- ὅρασις
ψευδῆ A3H-APN--- ψευδής
ἑωράκατε VX--XAI2P- ὁράω
καὶ C--------- καί
μαντείας N1A-APF--- μαντεία
ματαίας A1A-APF--- μάταιος
εἰρήκατε VX--XAI2P- εἶπον

Eze 13:8
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
εἰπόν VB--AAD2S- εἶπον
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
ἀνθ' P--------- ἀντί
ὧν RR--GPM--- ὅς
οἱ RA--NPM--- ὁ
λόγοι N2--NPM--- λόγος
ὑμῶν RP--GP---- σύ
ψευδεῖς A3H-NPM--- ψευδής
καὶ C--------- καί
αἱ RA--NPF--- ὁ
μαντεῖαι N1A-NPF--- μαντεία
ὑμῶν RP--GP---- σύ
μάταιαι A1A-NPF--- μάταιος
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
ἰδοὺ I--------- ἰδού
ἐγὼ RP--NS---- ἐγώ
ἐφ' P--------- ἐπί
ὑμᾶς RP--AP---- σύ
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος

Eze 13:9
καὶ C--------- καί
ἐκτενῶ VF2-FAI1S- τείνω ἐκ
τὴν RA--ASF--- ὁ
χεῖρά N3--ASF--- χείρ
μου RP--GS---- ἐγώ
ἐπὶ P--------- ἐπί
τοὺς RA--APM--- ὁ
προφήτας N1M-APM--- προφήτης
τοὺς RA--APM--- ὁ
ὁρῶντας V3--PAPAPM ὁράω
ψευδῆ A3H-APN--- ψευδής
καὶ C--------- καί
τοὺς RA--APM--- ὁ
ἀποφθεγγομένους V1--PMPAPM φθέγγομαι ἀπο
μάταια A1A-APN--- μάταιος
ἐν P--------- ἐν
παιδείᾳ N1A-DSF--- παιδεία
τοῦ RA--GSM--- ὁ
λαοῦ N2--GSM--- λαός
μου RP--GS---- ἐγώ
οὐκ D--------- οὐ
ἔσονται VF--FMI3P- εἰμί
οὐδὲ C--------- οὐδέ
ἐν P--------- ἐν
γραφῇ N1--DSF--- γραφή
οἴκου N2--GSM--- οἶκος
Ισραηλ N---GSM--- Ἰσραήλ
οὐ D--------- οὐ
γραφήσονται VD--FPI3P- γράφω
καὶ C--------- καί
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
τοῦ RA--GSM--- ὁ
Ισραηλ N---GSM--- Ἰσραήλ
οὐκ D--------- οὐ
εἰσελεύσονται VF--FMI3P- ἔρχομαι εἰς
καὶ C--------- καί
γνώσονται VF--FMI3P- γιγνώσκω
διότι C--------- διότι
ἐγὼ RP--NS---- ἐγώ
κύριος N2--NSM--- κύριος

Eze 13:10
ἀνθ' P--------- ἀντί
ὧν RR--GPM--- ὅς
τὸν RA--ASM--- ὁ
λαόν N2--ASM--- λαός
μου RP--GS---- ἐγώ
ἐπλάνησαν VAI-AAI3P- πλανάω
λέγοντες V1--PAPNPM λέγω
εἰρήνη N1--NSF--- εἰρήνη
εἰρήνη N1--NSF--- εἰρήνη
καὶ C--------- καί
οὐκ D--------- οὐ
ἦν V9--IAI3S- εἰμί
εἰρήνη N1--NSF--- εἰρήνη
καὶ C--------- καί
οὗτος RD--NSM--- οὗτος
οἰκοδομεῖ V2--PAI3S- οἰκοδομέω
τοῖχον N2--ASM--- τοῖχος
καὶ C--------- καί
αὐτοὶ RD--NPM--- αὐτός
ἀλείφουσιν V1--PAI3P- ἀλείφω
αὐτόν RD--ASM--- αὐτός
εἰ C--------- εἰ
πεσεῖται VF2-FMI3S- πίπτω

Eze 13:11
εἰπὸν VB--AAD2S- εἶπον
πρὸς P--------- πρός
τοὺς RA--APM--- ὁ
ἀλείφοντας V1--PAPAPM ἀλείφω
πεσεῖται VF2-FMI3S- πίπτω
καὶ C--------- καί
ἔσται VF--FMI3S- εἰμί
ὑετὸς N2--NSM--- ὑετός
κατακλύζων V1--PAPNSM κλύζω κατα
καὶ C--------- καί
δώσω VF--FAI1S- δίδωμι
λίθους N2--APM--- λίθος
πετροβόλους A1B-APM--- πετροβόλος
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
ἐνδέσμους N2--APM--- ἔνδεσμος
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
πεσοῦνται VF2-FMI3P- πίπτω
καὶ C--------- καί
πνεῦμα N3M-ASN--- πνεῦμα
ἐξαῖρον V1--PAPASN αἴρω ἐκ
καὶ C--------- καί
ῥαγήσεται VD--FPI3S- ῥηγνύναι

Eze 13:12
καὶ C--------- καί
ἰδοὺ I--------- ἰδού
πέπτωκεν VX--XAI3S- πίπτω
ὁ RA--NSM--- ὁ
τοῖχος N2--NSM--- τοῖχος
καὶ C--------- καί
οὐκ D--------- οὐ
ἐροῦσιν VF2-FAI3P- εἶπον
πρὸς P--------- πρός
ὑμᾶς RP--AP---- σύ
ποῦ D--------- ποῦ
ἐστιν V9--PAI3S- εἰμί
ἡ RA--NSF--- ὁ
ἀλοιφὴ N1--NSF--- ἀλοιφή
ὑμῶν RP--GP---- σύ
ἣν RR--ASF--- ὅς
ἠλείψατε VAI-AAI2P- ἀλείφω

Eze 13:13
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
καὶ C--------- καί
ῥήξω VF--FAI1S- ῥηγνύω
πνοὴν N1--ASF--- πνοή
ἐξαίρουσαν V1--PAPASF αἴρω ἐκ
μετὰ P--------- μετά
θυμοῦ N2--GSM--- θυμός
καὶ C--------- καί
ὑετὸς N2--NSM--- ὑετός
κατακλύζων V1--PAPNSM κλύζω κατα
ἐν P--------- ἐν
ὀργῇ N1--DSF--- ὀργή
μου RP--GS---- ἐγώ
ἔσται VF--FMI3S- εἰμί
καὶ C--------- καί
τοὺς RA--APM--- ὁ
λίθους N2--APM--- λίθος
τοὺς RA--APM--- ὁ
πετροβόλους A1B-APM--- πετροβόλος
ἐν P--------- ἐν
θυμῷ N2--DSM--- θυμός
ἐπάξω VF--FAI1S- ἄγω ἐπι
εἰς P--------- εἰς
συντέλειαν N1A-ASF--- συντέλεια

Eze 13:14
καὶ C--------- καί
κατασκάψω VF--FAI1S- σκάπτω κατα
τὸν RA--ASM--- ὁ
τοῖχον N2--ASM--- τοῖχος
ὃν RR--ASM--- ὅς
ἠλείψατε VAI-AAI2P- ἀλείφω
καὶ C--------- καί
πεσεῖται VF2-FMI3S- πίπτω
καὶ C--------- καί
θήσω VF--FAI1S- τίθημι
αὐτὸν RD--ASM--- αὐτός
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
καὶ C--------- καί
ἀποκαλυφθήσεται VV--FPI3S- καλύπτω ἀπο
τὰ RA--NPN--- ὁ
θεμέλια N2N-NPN--- θεμέλιον
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
πεσεῖται VF2-FMI3S- πίπτω
καὶ C--------- καί
συντελεσθήσεσθε VS--FPI2P- τελέω συν
μετ' P--------- μετά
ἐλέγχων N2--GPM--- ἔλεγχος
καὶ C--------- καί
ἐπιγνώσεσθε VF--FMI2P- γιγνώσκω ἐπι
διότι C--------- διότι
ἐγὼ RP--NS---- ἐγώ
κύριος N2--NSM--- κύριος

Eze 13:15
καὶ C--------- καί
συντελέσω VF--FAI1S- τελέω συν
τὸν RA--ASM--- ὁ
θυμόν N2--ASM--- θυμός
μου RP--GS---- ἐγώ
ἐπὶ P--------- ἐπί
τὸν RA--ASM--- ὁ
τοῖχον N2--ASM--- τοῖχος
καὶ C--------- καί
ἐπὶ P--------- ἐπί
τοὺς RA--APM--- ὁ
ἀλείφοντας V1--PAPAPM ἀλείφω
αὐτόν RD--ASM--- αὐτός
καὶ C--------- καί
πεσεῖται VF2-FMI3S- πίπτω
καὶ C--------- καί
εἶπα VAI-AAI1S- εἶπον
πρὸς P--------- πρός
ὑμᾶς RP--AP---- σύ
οὐκ D--------- οὐ
ἔστιν V9--PAI3S- εἰμί
ὁ RA--NSM--- ὁ
τοῖχος N2--NSM--- τοῖχος
οὐδὲ C--------- οὐδέ
οἱ RA--NPM--- ὁ
ἀλείφοντες V1--PAPNPM ἀλείφω
αὐτὸν RD--ASM--- αὐτός

Eze 13:16
προφῆται N1M-NPM--- προφήτης
τοῦ RA--GSM--- ὁ
Ισραηλ N---GSM--- Ἰσραήλ
οἱ RA--NPM--- ὁ
προφητεύοντες V1--PAPNPM προφητεύω
ἐπὶ P--------- ἐπί
Ιερουσαλημ N---ASF--- Ἰερουσαλήμ
καὶ C--------- καί
οἱ RA--NPM--- ὁ
ὁρῶντες V3--PAPNPM ὁράω
αὐτῇ RD--DSF--- αὐτός
εἰρήνην N1--ASF--- εἰρήνη
καὶ C--------- καί
εἰρήνη N1--NSF--- εἰρήνη
οὐκ D--------- οὐ
ἔστιν V9--PAI3S- εἰμί
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος

Eze 13:17
καὶ C--------- καί
σύ RP--NS---- σύ
υἱὲ N2--VSM--- υἱός
ἀνθρώπου N2--GSM--- ἄνθρωπος
στήρισον VA--AAD2S- στηρίζω
τὸ RA--ASN--- ὁ
πρόσωπόν N2N-ASN--- πρόσωπον
σου RP--GS---- σύ
ἐπὶ P--------- ἐπί
τὰς RA--APF--- ὁ
θυγατέρας N3--APF--- θυγάτηρ
τοῦ RA--GSM--- ὁ
λαοῦ N2--GSM--- λαός
σου RP--GS---- σύ
τὰς RA--APF--- ὁ
προφητευούσας V1--PAPAPF προφητεύω
ἀπὸ P--------- ἀπό
καρδίας N1A-GSF--- καρδία
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
προφήτευσον VA--AAD2S- προφητεύω
ἐπ' P--------- ἐπί
αὐτὰς RD--APF--- αὐτός

Eze 13:18
καὶ C--------- καί
ἐρεῖς VF2-FAI2S- εἶπον
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
οὐαὶ I--------- οὐαί
ταῖς RA--DPF--- ὁ
συρραπτούσαις V1--PAPDPF ῥάπτω συν
προσκεφάλαια N2N-APN--- προσκεφάλαιον
ἐπὶ P--------- ἐπί
πάντα A3--ASM--- πᾶς
ἀγκῶνα N3W-ASM--- ἀγκών
χειρὸς N3--GSF--- χείρ
καὶ C--------- καί
ποιούσαις V2--PAPDPF ποιέω
ἐπιβόλαια N2N-APN--- ἐπιβόλαιον
ἐπὶ P--------- ἐπί
πᾶσαν A1S-ASF--- πᾶς
κεφαλὴν N1--ASF--- κεφαλή
πάσης A1S-GSF--- πᾶς
ἡλικίας N1A-GSF--- ἡλικία
τοῦ RA--GSN--- ὁ
διαστρέφειν V1--PAN--- στρέφω δια
ψυχάς N1--APF--- ψυχή
αἱ RA--NPF--- ὁ
ψυχαὶ N1--NPF--- ψυχή
διεστράφησαν VDI-API3P- στρέφω δια
τοῦ RA--GSM--- ὁ
λαοῦ N2--GSM--- λαός
μου RP--GS---- ἐγώ
καὶ C--------- καί
ψυχὰς N1--APF--- ψυχή
περιεποιοῦντο V2I-IMI3P- ποιέω περι

Eze 13:19
καὶ C--------- καί
ἐβεβήλουν V4I-IAI3P- βεβηλόω
με RP--AS---- ἐγώ
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
λαόν N2--ASM--- λαός
μου RP--GS---- ἐγώ
ἕνεκεν P--------- ἕνεκεν
δρακὸς N3K-GSF--- δράξ
κριθῶν N1--GPF--- κριθή
καὶ C--------- καί
ἕνεκεν P--------- ἕνεκεν
κλασμάτων N3M-GPN--- κλάσμα
ἄρτου N2--GSM--- ἄρτος
τοῦ RA--GSN--- ὁ
ἀποκτεῖναι VA--AAN--- κτείνω ἀπο
ψυχάς N1--APF--- ψυχή
ἃς RR--APF--- ὅς
οὐκ D--------- οὐ
ἔδει VF--FAI3S- ἐσθίω
ἀποθανεῖν VB--AAN--- θνήσκω ἀπο
καὶ C--------- καί
τοῦ RA--GSN--- ὁ
περιποιήσασθαι VA--AMN--- ποιέω περι
ψυχάς N1--APF--- ψυχή
ἃς RR--APF--- ὅς
οὐκ D--------- οὐ
ἔδει VF--FAI3S- ἐσθίω
ζῆσαι VA--AAN--- ζάω
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
ἀποφθέγγεσθαι V1--PMN--- φθέγγομαι ἀπο
ὑμᾶς RP--AP---- σύ
λαῷ N2--DSM--- λαός
εἰσακούοντι V1--PAPDSM ἀκούω εἰς
μάταια A1A-APN--- μάταιος
ἀποφθέγματα N3M-APN--- ἀπόφθεγμα

Eze 13:20
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
κύριος N2--NSM--- κύριος
ἰδοὺ I--------- ἰδού
ἐγὼ RP--NS---- ἐγώ
ἐπὶ P--------- ἐπί
τὰ RA--APN--- ὁ
προσκεφάλαια N2N-APN--- προσκεφάλαιον
ὑμῶν RP--GP---- σύ
ἐφ' P--------- ἐπί
ἃ RR--APN--- ὅς
ὑμεῖς RP--NP---- σύ
συστρέφετε V1--PAI2P- στρέφω συν
ἐκεῖ D--------- ἐκεῖ
ψυχάς N1--APF--- ψυχή
καὶ C--------- καί
διαρρήξω VF--FAI1S- ῥήγνυμι δια
αὐτὰ RD--APN--- αὐτός
ἀπὸ P--------- ἀπό
τῶν RA--GPM--- ὁ
βραχιόνων N3N-GPM--- βραχίων
ὑμῶν RP--GP---- σύ
καὶ C--------- καί
ἐξαποστελῶ VF2-FAI1S- στέλλω ἐκ ἀπο
τὰς RA--APF--- ὁ
ψυχάς N1--APF--- ψυχή
ἃς RR--APF--- ὅς
ὑμεῖς RP--NP---- σύ
ἐκστρέφετε V1--PAI2P- στρέφω ἐκ
τὰς RA--APF--- ὁ
ψυχὰς N1--APF--- ψυχή
αὐτῶν RD--GPM--- αὐτός
εἰς P--------- εἰς
διασκορπισμόν N2--ASM--- διασκορπισμός

Eze 13:21
καὶ C--------- καί
διαρρήξω VF--FAI1S- ῥήγνυμι δια
τὰ RA--APN--- ὁ
ἐπιβόλαια N2N-APN--- ἐπιβόλαιον
ὑμῶν RP--GP---- σύ
καὶ C--------- καί
ῥύσομαι VF--FMI1S- ῥύομαι
τὸν RA--ASM--- ὁ
λαόν N2--ASM--- λαός
μου RP--GS---- ἐγώ
ἐκ P--------- ἐκ
χειρὸς N3--GSF--- χείρ
ὑμῶν RP--GP---- σύ
καὶ C--------- καί
οὐκέτι D--------- οὐκέτι
ἔσονται VF--FMI3P- εἰμί
ἐν P--------- ἐν
χερσὶν N3--DPF--- χείρ
ὑμῶν RP--GP---- σύ
εἰς P--------- εἰς
συστροφήν N1--ASF--- συστροφή
καὶ C--------- καί
ἐπιγνώσεσθε VF--FMI2P- γιγνώσκω ἐπι
διότι C--------- διότι
ἐγὼ RP--NS---- ἐγώ
κύριος N2--NSM--- κύριος

Eze 13:22
ἀνθ' P--------- ἀντί
ὧν RR--GPM--- ὅς
διεστρέφετε V1I-IAI2P- στρέφω δια
καρδίαν N1A-ASF--- καρδία
δικαίου A1A-GSM--- δίκαιος
ἀδίκως D--------- ἀδίκως
καὶ C--------- καί
ἐγὼ RP--NS---- ἐγώ
οὐ D--------- οὐ
διέστρεφον V1I-IAI1S- στρέφω δια
αὐτὸν RD--ASM--- αὐτός
καὶ C--------- καί
τοῦ RA--GSN--- ὁ
κατισχῦσαι VA--AAN--- ἰσχύω κατα
χεῖρας N3--APF--- χείρ
ἀνόμου A1B-GSM--- ἄνομος
τὸ RA--ASN--- ὁ
καθόλου D--------- καθόλου
μὴ D--------- μή
ἀποστρέψαι VA--AAN--- στρέφω ἀπο
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
ὁδοῦ N2--GSF--- ὁδός
αὐτοῦ RD--GSM--- αὐτός
τῆς RA--GSF--- ὁ
πονηρᾶς A1A-GSF--- πονηρός
καὶ C--------- καί
ζῆσαι VA--AAN--- ζάω
αὐτόν RD--ASM--- αὐτός

Eze 13:23
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
ψευδῆ A3H-APN--- ψευδής
οὐ D--------- οὐ
μὴ D--------- μή
ἴδητε VB--AAS2P- ὁράω
καὶ C--------- καί
μαντείας N1A-APF--- μαντεία
οὐ D--------- οὐ
μὴ D--------- μή
μαντεύσησθε VA--AMS2P- μαντεύομαι
ἔτι D--------- ἔτι
καὶ C--------- καί
ῥύσομαι VF--FMI1S- ῥύομαι
τὸν RA--ASM--- ὁ
λαόν N2--ASM--- λαός
μου RP--GS---- ἐγώ
ἐκ P--------- ἐκ
χειρὸς N3--GSF--- χείρ
ὑμῶν RP--GP---- σύ
καὶ C--------- καί
γνώσεσθε VF--FMI2P- γιγνώσκω
ὅτι C--------- ὅτι
ἐγὼ RP--NS---- ἐγώ
κύριος N2--NSM--- κύριος

Eze 14:1
καὶ C--------- καί
ἦλθον VBI-AAI3P- ἔρχομαι
πρός P--------- πρός
με RP--AS---- ἐγώ
ἄνδρες N3--NPM--- ἀνήρ
ἐκ P--------- ἐκ
τῶν RA--GPM--- ὁ
πρεσβυτέρων A1A-GPMC-- πρεσβύτερος
τοῦ RA--GSM--- ὁ
Ισραηλ N---GSM--- Ἰσραήλ
καὶ C--------- καί
ἐκάθισαν VAI-AAI3P- ἵζω κατα
πρὸ P--------- πρό
προσώπου N2N-GSN--- πρόσωπον
μου RP--GS---- ἐγώ

Eze 14:2
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
λόγος N2--NSM--- λόγος
κυρίου N2--GSM--- κύριος
πρός P--------- πρός
με RP--AS---- ἐγώ
λέγων V1--PAPNSM λέγω

Eze 14:3
υἱὲ N2--VSM--- υἱός
ἀνθρώπου N2--GSM--- ἄνθρωπος
οἱ RA--NPM--- ὁ
ἄνδρες N3--NPM--- ἀνήρ
οὗτοι RD--NPM--- οὗτος
ἔθεντο VEI-AMI3P- τίθημι
τὰ RA--APN--- ὁ
διανοήματα N3M-APN--- διανόημα
αὐτῶν RD--GPM--- αὐτός
ἐπὶ P--------- ἐπί
τὰς RA--APF--- ὁ
καρδίας N1A-APF--- καρδία
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
τὴν RA--ASF--- ὁ
κόλασιν N3I-ASF--- κόλασις
τῶν RA--GPF--- ὁ
ἀδικιῶν N1A-GPF--- ἀδικία
αὐτῶν RD--GPM--- αὐτός
ἔθηκαν VAI-AAI3P- τίθημι
πρὸ P--------- πρό
προσώπου N2N-GSN--- πρόσωπον
αὐτῶν RD--GPM--- αὐτός
εἰ C--------- εἰ
ἀποκρινόμενος V1--PPPNSM κρίνω ἀπο
ἀποκριθῶ VC--APS1S- κρίνω ἀπο
αὐτοῖς RD--DPM--- αὐτός

Eze 14:4
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
λάλησον VA--AAD2S- λαλέω
αὐτοῖς RD--DPM--- αὐτός
καὶ C--------- καί
ἐρεῖς VF2-FAI2S- εἶπον
πρὸς P--------- πρός
αὐτούς RD--APM--- αὐτός
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
ἄνθρωπος N2--NSM--- ἄνθρωπος
ἄνθρωπος N2--NSM--- ἄνθρωπος
ἐκ P--------- ἐκ
τοῦ RA--GSM--- ὁ
οἴκου N2--GSM--- οἶκος
Ισραηλ N---GSM--- Ἰσραήλ
ὃς RR--NSM--- ὅς
ἂν X--------- ἄν
θῇ VE--AAS3S- τίθημι
τὰ RA--APN--- ὁ
διανοήματα N3M-APN--- διανόημα
αὐτοῦ RD--GSM--- αὐτός
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
καρδίαν N1A-ASF--- καρδία
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
τὴν RA--ASF--- ὁ
κόλασιν N3I-ASF--- κόλασις
