2Ch 1:1
ἡ RA--NSF--- ὁ
δόξα N1S-NSF--- δόξα
κυρίου N2--GSM--- κύριος
ἐπὶ P--------- ἐπί
τὸν RA--ASM--- ὁ
οἶκον N2--ASM--- οἶκος
καὶ C--------- καί
ἔπεσον VBI-AAI3P- πίπτω
ἐπὶ P--------- ἐπί
πρόσωπον N2N-ASN--- πρόσωπον
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
ἐπὶ P--------- ἐπί
τὸ RA--ASN--- ὁ
λιθόστρωτον A1B-ASN--- λιθόστρωτος
καὶ C--------- καί
προσεκύνησαν VAI-AAI3P- κυνέω προς
καὶ C--------- καί
ᾔνουν V2I-IAI3P- αἰνέω
τῷ RA--DSM--- ὁ
κυρίῳ N2--DSM--- κύριος
ὅτι C--------- ὅτι
ἀγαθόν A1--NSN--- ἀγαθός
ὅτι C--------- ὅτι
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
αἰῶνα N3W-ASM--- αἰών
τὸ RA--NSN--- ὁ
ἔλεος N3E-NSN--- ἔλεος
αὐτοῦ RD--GSM--- αὐτός

2Ch 7:4
καὶ C--------- καί
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
καὶ C--------- καί
πᾶς A3--NSM--- πᾶς
ὁ RA--NSM--- ὁ
λαὸς N2--NSM--- λαός
θύοντες V1--PAPNPM θύω
θύματα N3M-APN--- θῦμα
ἔναντι D--------- ἔναντι
κυρίου N2--GSM--- κύριος

2Ch 7:5
καὶ C--------- καί
ἐθυσίασεν VAI-AAI3S- θυσιάζω
Σαλωμων N---NSM--- Σαλωμών
τὴν RA--ASF--- ὁ
θυσίαν N1A-ASF--- θυσία
μόσχων N2--GPM--- μόσχος
εἴκοσι M--------- εἴκοσι
καὶ C--------- καί
δύο M--------- δύο
χιλιάδας N3D-APF--- χιλίας
καὶ C--------- καί
βοσκημάτων N3M-GPN--- βόσκημα
ἑκατὸν M--------- ἑκατόν
καὶ C--------- καί
εἴκοσι M--------- εἴκοσι
χιλιάδας N3D-APF--- χιλίας
καὶ C--------- καί
ἐνεκαίνισεν VAI-AAI3S- καινίζω ἐν
τὸν RA--ASM--- ὁ
οἶκον N2--ASM--- οἶκος
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
καὶ C--------- καί
πᾶς A3--NSM--- πᾶς
ὁ RA--NSM--- ὁ
λαός N2--NSM--- λαός

2Ch 7:6
καὶ C--------- καί
οἱ RA--NPM--- ὁ
ἱερεῖς N3V-NPM--- ἱερεύς
ἐπὶ P--------- ἐπί
τὰς RA--APF--- ὁ
φυλακὰς N1--APF--- φυλακή
αὐτῶν RD--GPM--- αὐτός
ἑστηκότες VXI-XAPNPM ἵστημι
καὶ C--------- καί
οἱ RA--NPM--- ὁ
Λευῖται N1M-NPM--- Λευείτης
ἐν P--------- ἐν
ὀργάνοις N2N-DPN--- ὄργανον
ᾠδῶν N1--GPF--- ᾠδή
κυρίου N2--GSM--- κύριος
τοῦ RA--GSM--- ὁ
Δαυιδ N---GSM--- Δαυίδ
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
τοῦ RA--GSN--- ὁ
ἐξομολογεῖσθαι V2--PMN--- ὁμολογέω ἐκ
ἔναντι D--------- ἔναντι
κυρίου N2--GSM--- κύριος
ὅτι C--------- ὅτι
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
αἰῶνα N3W-ASM--- αἰών
τὸ RA--NSN--- ὁ
ἔλεος N3E-NSM--- ἔλεος
αὐτοῦ RD--GSM--- αὐτός
ἐν P--------- ἐν
ὕμνοις N2--DPM--- ὕμνος
Δαυιδ N---GSM--- Δαυίδ
διὰ P--------- διά
χειρὸς N3--GSF--- χείρ
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
οἱ RA--NPM--- ὁ
ἱερεῖς N3V-NPM--- ἱερεύς
σαλπίζοντες V1--PAPNPM σαλπίζω
ταῖς RA--DPF--- ὁ
σάλπιγξιν N3G-DPF--- σάλπιγξ
ἐναντίον P--------- ἐναντίον
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
πᾶς A3--NSM--- πᾶς
Ισραηλ N---NSM--- Ἰσραήλ
ἑστηκώς VXI-XAPNSM ἵστημι

2Ch 7:7
καὶ C--------- καί
ἡγίασεν VAI-AAI3S- ἁγιάζω
Σαλωμων N---NSM--- Σαλωμών
τὸ RA--ASN--- ὁ
μέσον A1--ASN--- μέσος
τῆς RA--GSF--- ὁ
αὐλῆς N1--GSF--- αὐλή
τῆς RA--GSF--- ὁ
ἐν P--------- ἐν
οἴκῳ N2--DSM--- οἶκος
κυρίου N2--GSM--- κύριος
ὅτι C--------- ὅτι
ἐποίησεν VAI-AAI3S- ποιέω
ἐκεῖ D--------- ἐκεῖ
τὰ RA--APN--- ὁ
ὁλοκαυτώματα N3M-APN--- ὁλοκαύτωμα
καὶ C--------- καί
τὰ RA--APN--- ὁ
στέατα N3T-APN--- στέαρ
τῶν RA--GPN--- ὁ
σωτηρίων N2N-GPN--- σωτήριον
ὅτι C--------- ὅτι
τὸ RA--ASN--- ὁ
θυσιαστήριον N2N-ASN--- θυσιαστήριον
τὸ RA--ASN--- ὁ
χαλκοῦν A1C-ASM--- χαλκοῦς
ὃ RR--NSM--- ὅς
ἐποίησεν VAI-AAI3S- ποιέω
Σαλωμων N---NSM--- Σαλωμών
οὐκ D--------- οὐ
ἐξεποίει V2I-IAI3S- ποιέω ἐκ
δέξασθαι VA--AMN--- δέχομαι
τὰ RA--APN--- ὁ
ὁλοκαυτώματα N3M-APN--- ὁλοκαύτωμα
καὶ C--------- καί
τὰ RA--APN--- ὁ
μαναα N---APN--- μαναα
καὶ C--------- καί
τὰ RA--APN--- ὁ
στέατα N3T-APN--- στέαρ

2Ch 7:8
καὶ C--------- καί
ἐποίησεν VAI-AAI3S- ποιέω
Σαλωμων N---NSM--- Σαλωμών
τὴν RA--ASF--- ὁ
ἑορτὴν N1--ASF--- ἑορτή
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
καιρῷ N2--DSM--- καιρός
ἐκείνῳ RD--DSM--- ἐκεῖνος
ἑπτὰ M--------- ἑπτά
ἡμέραις N1A-DPF--- ἡμέρα
καὶ C--------- καί
πᾶς A3--NSM--- πᾶς
Ισραηλ N---NSM--- Ἰσραήλ
μετ' P--------- μετά
αὐτοῦ RD--GSM--- αὐτός
ἐκκλησία N1A-NSF--- ἐκκλησία
μεγάλη A1--NSF--- μέγας
σφόδρα D--------- σφόδρα
ἀπὸ P--------- ἀπό
εἰσόδου N2--GSF--- εἴσοδος
Αιμαθ N---GSF--- Αιμαθ
καὶ C--------- καί
ἕως P--------- ἕως
χειμάρρου N2--GSM--- χειμάροος
Αἰγύπτου N2--GSF--- Αἴγυπτος

2Ch 7:9
καὶ C--------- καί
ἐποίησεν VAI-AAI3S- ποιέω
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ἡμέρᾳ N1A-DSF--- ἡμέρα
τῇ RA--DSF--- ὁ
ὀγδόῃ A1--DSF--- ὄγδοος
ἐξόδιον N2N-ASN--- ἐξόδιον
ὅτι C--------- ὅτι
ἐγκαινισμὸν N2--ASM--- ἐγκαινισμός
τοῦ RA--GSN--- ὁ
θυσιαστηρίου N2N-GSN--- θυσιαστήριον
ἐποίησεν VAI-AAI3S- ποιέω
ἑπτὰ M--------- ἑπτά
ἡμέρας N1A-APF--- ἡμέρα
ἑορτήν N1--ASF--- ἑορτή

2Ch 7:10
καὶ C--------- καί
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
τρίτῃ A1--DSF--- τρίτος
καὶ C--------- καί
εἰκοστῇ A1--DSF--- εἰκοστός
τοῦ RA--GSM--- ὁ
μηνὸς N3--GSM--- μήν
τοῦ RA--GSM--- ὁ
ἑβδόμου A1--GSM--- ἕβδομος
ἀπέστειλεν VAI-AAI3S- στέλλω ἀπο
τὸν RA--ASM--- ὁ
λαὸν N2--ASM--- λαός
εἰς P--------- εἰς
τὰ RA--APN--- ὁ
σκηνώματα N3M-APN--- σκήνωμα
αὐτῶν RD--GPM--- αὐτός
εὐφραινομένους V1--PMPAPM εὐφραίνω
καὶ C--------- καί
ἀγαθῇ A1--DSF--- ἀγαθός
καρδίᾳ N1A-DSF--- καρδία
ἐπὶ P--------- ἐπί
τοῖς RA--DPM--- ὁ
ἀγαθοῖς A1--DPM--- ἀγαθός
οἷς RR--DPM--- ὅς
ἐποίησεν VAI-AAI3S- ποιέω
κύριος N2--NSM--- κύριος
τῷ RA--DSM--- ὁ
Δαυιδ N---DSM--- Δαυίδ
καὶ C--------- καί
τῷ RA--DSM--- ὁ
Σαλωμων N---DSM--- Σαλωμών
καὶ C--------- καί
τῷ RA--DSM--- ὁ
Ισραηλ N---DSM--- Ἰσραήλ
λαῷ N2--DSM--- λαός
αὐτοῦ RD--GSM--- αὐτός

2Ch 7:11
καὶ C--------- καί
συνετέλεσεν VAI-AAI3S- τελέω συν
Σαλωμων N---NSM--- Σαλωμών
τὸν RA--ASM--- ὁ
οἶκον N2--ASM--- οἶκος
κυρίου N2--GSM--- κύριος
καὶ C--------- καί
τὸν RA--ASM--- ὁ
οἶκον N2--ASM--- οἶκος
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
καὶ C--------- καί
πάντα A3--APN--- πᾶς
ὅσα A1--APN--- ὅσος
ἠθέλησεν VAI-AAI3S- θέλω
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ψυχῇ N1--DSF--- ψυχή
Σαλωμων N---NSM--- Σαλωμών
τοῦ RA--GSN--- ὁ
ποιῆσαι VA--AAN--- ποιέω
ἐν P--------- ἐν
οἴκῳ N2--DSM--- οἶκος
κυρίου N2--GSM--- κύριος
καὶ C--------- καί
ἐν P--------- ἐν
οἴκῳ N2--DSM--- οἶκος
αὐτοῦ RD--GSM--- αὐτός
εὐοδώθη VC--API3S- εὐοδόω

2Ch 7:12
καὶ C--------- καί
ὤφθη VVI-API3S- ὁράω
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
τῷ RA--DSM--- ὁ
Σαλωμων N---DSM--- Σαλωμών
τὴν RA--ASF--- ὁ
νύκτα N3--ASF--- νύξ
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῷ RD--DSM--- αὐτός
ἤκουσα VAI-AAI1S- ἀκούω
τῆς RA--GSF--- ὁ
προσευχῆς N1--GSF--- προσευχή
σου RP--GS---- σύ
καὶ C--------- καί
ἐξελεξάμην VAI-AMI1S- λέγω ἐκ
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
τόπῳ N2--DSM--- τόπος
τούτῳ RD--DSM--- οὗτος
ἐμαυτῷ RD--DSM--- ἐμαυτοῦ
εἰς P--------- εἰς
οἶκον N2--ASM--- οἶκος
θυσίας N1A-GSF--- θυσία

2Ch 7:13
ἐὰν C--------- ἐάν
συσχῶ VB--AAS1S- ἔχω συν
τὸν RA--ASM--- ὁ
οὐρανὸν N2--ASM--- οὐρανός
καὶ C--------- καί
μὴ D--------- μή
γένηται VB--AMS3S- γίγνομαι
ὑετός N2--NSM--- ὑετός
καὶ C--------- καί
ἐὰν C--------- ἐάν
ἐντείλωμαι VA--AMS1S- τέλλω ἐν
τῇ RA--DSF--- ὁ
ἀκρίδι N3D-DSF--- ἀκρίς
καταφαγεῖν VB--AAN--- ἐσθίω κατα
τὸ RA--ASN--- ὁ
ξύλον N2N-ASN--- ξύλον
καὶ C--------- καί
ἐὰν C--------- ἐάν
ἀποστείλω VA--AAS1S- στέλλω ἀπο
θάνατον N2--ASM--- θάνατος
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
λαῷ N2--DSM--- λαός
μου RP--GS---- ἐγώ

2Ch 7:14
καὶ C--------- καί
ἐὰν C--------- ἐάν
ἐντραπῇ VB--AAS3S- τρέπω ἐν
ὁ RA--NSM--- ὁ
λαός N2--NSM--- λαός
μου RP--GS---- ἐγώ
ἐφ' P--------- ἐπί
οὓς RR--APM--- ὅς
τὸ RA--ASN--- ὁ
ὄνομά N3M-ASN--- ὄνομα
μου RP--GS---- ἐγώ
ἐπικέκληται VM--XMI3S- καλέω ἐπι
ἐπ' P--------- ἐπί
αὐτούς RD--APM--- αὐτός
καὶ C--------- καί
προσεύξωνται VA--AMS3P- εὔχομαι προς
καὶ C--------- καί
ζητήσωσιν VA--AAS3P- ζητέω
τὸ RA--ASN--- ὁ
πρόσωπόν N2N-ASN--- πρόσωπον
μου RP--GS---- ἐγώ
καὶ C--------- καί
ἀποστρέψωσιν VA--AAS3P- στρέφω ἀπο
ἀπὸ P--------- ἀπό
τῶν RA--GPF--- ὁ
ὁδῶν N2--GPF--- ὁδός
αὐτῶν RD--GPM--- αὐτός
τῶν RA--GPF--- ὁ
πονηρῶν A1A-GPF--- πονηρός
καὶ C--------- καί
ἐγὼ RP--NS---- ἐγώ
εἰσακούσομαι VF--FMI1S- ἀκούω εἰς
ἐκ P--------- ἐκ
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
καὶ C--------- καί
ἵλεως A3--NSM--- ἵλεως
ἔσομαι VF--FMI1S- εἰμί
ταῖς RA--DPF--- ὁ
ἁμαρτίαις N1A-DPF--- ἁμαρτία
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ἰάσομαι VF--FAI1S- ἰάομαι
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
αὐτῶν RD--GPM--- αὐτός

2Ch 7:15
νῦν D--------- νῦν
οἱ RA--NPM--- ὁ
ὀφθαλμοί N2--NPM--- ὀφθαλμός
μου RP--GS---- ἐγώ
ἔσονται VF--FMI3P- εἰμί
ἀνεῳγμένοι VK--XMPNPM οἴγω ἀνα
καὶ C--------- καί
τὰ RA--NPN--- ὁ
ὦτά N3T-NPN--- οὖς
μου RP--GS---- ἐγώ
ἐπήκοα A1B-NPN--- ἐπήκοος
τῇ RA--DSF--- ὁ
προσευχῇ N1--DSF--- προσευχή
τοῦ RA--GSM--- ὁ
τόπου N2--GSM--- τόπος
τούτου RD--GSM--- οὗτος

2Ch 7:16
καὶ C--------- καί
νῦν D--------- νῦν
ἐξελεξάμην VAI-AMI1S- λέγω ἐκ
καὶ C--------- καί
ἡγίακα VX--XAI1S- ἁγιάζω
τὸν RA--ASM--- ὁ
οἶκον N2--ASM--- οἶκος
τοῦτον RD--ASM--- οὗτος
τοῦ RA--GSN--- ὁ
εἶναι V9--PAN--- εἰμί
ὄνομά N3M-ASN--- ὄνομα
μου RP--GS---- ἐγώ
ἐκεῖ D--------- ἐκεῖ
ἕως P--------- ἕως
αἰῶνος N3W-GSM--- αἰών
καὶ C--------- καί
ἔσονται VF--FMI3P- εἰμί
οἱ RA--NPM--- ὁ
ὀφθαλμοί N2--NPM--- ὀφθαλμός
μου RP--GS---- ἐγώ
καὶ C--------- καί
ἡ RA--NSF--- ὁ
καρδία N1A-NSF--- καρδία
μου RP--GS---- ἐγώ
ἐκεῖ D--------- ἐκεῖ
πάσας A1S-APF--- πᾶς
τὰς RA--APF--- ὁ
ἡμέρας N1A-APF--- ἡμέρα

2Ch 7:17
καὶ C--------- καί
σὺ RP--NS---- σύ
ἐὰν C--------- ἐάν
πορευθῇς VC--APS2S- πορεύομαι
ἐναντίον P--------- ἐναντίον
μου RP--GS---- ἐγώ
ὡς C--------- ὡς
Δαυιδ N---NSM--- Δαυίδ
ὁ RA--NSM--- ὁ
πατήρ N3--NSM--- πατήρ
σου RP--GS---- σύ
καὶ C--------- καί
ποιήσῃς VA--AAS2S- ποιέω
κατὰ P--------- κατά
πάντα A3--APN--- πᾶς
ἃ RR--APN--- ὅς
ἐνετειλάμην VAI-AMI1S- τέλλω ἐν
σοι RP--DS---- σύ
καὶ C--------- καί
τὰ RA--APN--- ὁ
προστάγματά N3M-APN--- πρόσταγμα
μου RP--GS---- ἐγώ
καὶ C--------- καί
τὰ RA--APN--- ὁ
κρίματά N3M-APN--- κρίμα
μου RP--GS---- ἐγώ
φυλάξῃ VF--FMI2S- φυλάσσω

2Ch 7:18
καὶ C--------- καί
ἀναστήσω VA--AAS1S- ἵστημι ἀνα
τὸν RA--ASM--- ὁ
θρόνον N2--ASM--- θρόνος
τῆς RA--GSF--- ὁ
βασιλείας N1A-GSF--- βασιλεία
σου RP--GS---- σύ
ὡς C--------- ὡς
διεθέμην VEI-AMI1S- τίθημι δια
Δαυιδ N---DSM--- Δαυίδ
τῷ RA--DSM--- ὁ
πατρί N3--DSM--- πατήρ
σου RP--GS---- σύ
λέγων V1--PAPNSM λέγω
οὐκ D--------- οὐ
ἐξαρθήσεταί VC--FPI3S- αἴρω ἐκ
σοι RP--DS---- σύ
ἀνὴρ N3--NSM--- ἀνήρ
ἡγούμενος V2--PMPNSM ἡγέομαι
ἐν P--------- ἐν
Ισραηλ N---DSM--- Ἰσραήλ

2Ch 7:19
καὶ C--------- καί
ἐὰν C--------- ἐάν
ἀποστρέψητε VA--AAS2P- στρέφω ἀπο
ὑμεῖς RP--NP---- σύ
καὶ C--------- καί
ἐγκαταλίπητε VB--AAS2P- λείπω ἐν κατα
τὰ RA--APN--- ὁ
προστάγματά N3M-APN--- πρόσταγμα
μου RP--GS---- ἐγώ
καὶ C--------- καί
τὰς RA--APF--- ὁ
ἐντολάς N1--APF--- ἐντολή
μου RP--GS---- ἐγώ
ἃς RR--APF--- ὅς
ἔδωκα VAI-AAI1S- δίδωμι
ἐναντίον P--------- ἐναντίον
ὑμῶν RP--GP---- σύ
καὶ C--------- καί
πορευθῆτε VC--APS2P- πορεύομαι
καὶ C--------- καί
λατρεύσητε VA--AAS2P- λατρεύω
θεοῖς N2--DPM--- θεός
ἑτέροις A1A-DPM--- ἕτερος
καὶ C--------- καί
προσκυνήσητε VA--AAS2P- κυνέω προς
αὐτοῖς RD--DPM--- αὐτός

2Ch 7:20
καὶ C--------- καί
ἐξαρῶ VF2-FAI1S- αἴρω ἐκ
ὑμᾶς RP--AP---- σύ
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
ἧς RR--GSF--- ὅς
ἔδωκα VAI-AAI1S- δίδωμι
αὐτοῖς RD--DPM--- αὐτός
καὶ C--------- καί
τὸν RA--ASM--- ὁ
οἶκον N2--ASM--- οἶκος
τοῦτον RD--ASM--- οὗτος
ὃν RR--ASM--- ὅς
ἡγίασα VAI-AAI1S- ἁγιάζω
τῷ RA--DSN--- ὁ
ὀνόματί N3M-DSN--- ὄνομα
μου RP--GS---- ἐγώ
ἀποστρέψω VF--FAI1S- στρέφω ἀπο
ἐκ P--------- ἐκ
προσώπου N2N-GSN--- πρόσωπον
μου RP--GS---- ἐγώ
καὶ C--------- καί
δώσω VF--FAI1S- δίδωμι
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
παραβολὴν N1--ASF--- παραβολή
καὶ C--------- καί
εἰς P--------- εἰς
διήγημα N3M-ASN--- διήγημα
ἐν P--------- ἐν
πᾶσιν A3--DPN--- πᾶς
τοῖς RA--DPN--- ὁ
ἔθνεσιν N3E-DPN--- ἔθνος

2Ch 7:21
καὶ C--------- καί
ὁ RA--NSM--- ὁ
οἶκος N2--NSM--- οἶκος
οὗτος RD--NSM--- οὗτος
ὁ RA--NSM--- ὁ
ὑψηλός A1--NSM--- ὑψηλός
πᾶς A3--NSM--- πᾶς
ὁ RA--NSM--- ὁ
διαπορευόμενος V1--PMPNSM πορεύομαι δια
αὐτὸν RD--ASM--- αὐτός
ἐκστήσεται VF--FMI3S- ἵστημι ἐκ
καὶ C--------- καί
ἐρεῖ VF2-FAI3S- εἶπον
χάριν N3--ASF--- χάρις
τίνος RI--GSN--- τίς
ἐποίησεν VAI-AAI3S- ποιέω
κύριος N2--NSM--- κύριος
τῇ RA--DSF--- ὁ
γῇ N1--DSF--- γῆ
ταύτῃ RD--DSF--- οὗτος
καὶ C--------- καί
τῷ RA--DSM--- ὁ
οἴκῳ N2--DSM--- οἶκος
τούτῳ RD--DSM--- οὗτος

2Ch 7:22
καὶ C--------- καί
ἐροῦσιν VF2-FAI3P- εἶπον
διότι D--------- διότι
ἐγκατέλιπον VBI-AAI3P- λείπω ἐν κατα
κύριον N2--ASM--- κύριος
τὸν RA--ASM--- ὁ
θεὸν N2--ASM--- θεός
τῶν RA--GPM--- ὁ
πατέρων N3--GPM--- πατήρ
αὐτῶν RD--GPM--- αὐτός
τὸν RA--ASM--- ὁ
ἐξαγαγόντα VB--AAPASM ἄγω ἐκ
αὐτοὺς RD--APM--- αὐτός
ἐκ P--------- ἐκ
γῆς N1--GSF--- γῆ
Αἰγύπτου N2--GSF--- Αἴγυπτος
καὶ C--------- καί
ἀντελάβοντο VBI-AMI3P- λαμβάνω ἀντι
θεῶν N2--GPM--- θεός
ἑτέρων A1A-GPM--- ἕτερος
καὶ C--------- καί
προσεκύνησαν VAI-AAI3P- κυνέω προς
αὐτοῖς RD--DPM--- αὐτός
καὶ C--------- καί
ἐδούλευσαν VAI-AAI3P- δουλεύω
αὐτοῖς RD--DPM--- αὐτός
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
ἐπήγαγεν VBI-AAI3S- ἄγω ἐπι
ἐπ' P--------- ἐπί
αὐτοὺς RD--APM--- αὐτός
πᾶσαν A1S-ASF--- πᾶς
τὴν RA--ASF--- ὁ
κακίαν N1A-ASF--- κακία
ταύτην RD--ASF--- οὗτος

2Ch 8:1
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
μετὰ P--------- μετά
εἴκοσι M--------- εἴκοσι
ἔτη N3E-APN--- ἔτος
ἐν P--------- ἐν
οἷς RR--DPM--- ὅς
ᾠκοδόμησεν VAI-AAI3S- οἰκοδομέω
Σαλωμων N---NSM--- Σαλωμών
τὸν RA--ASM--- ὁ
οἶκον N2--ASM--- οἶκος
κυρίου N2--GSM--- κύριος
καὶ C--------- καί
τὸν RA--ASM--- ὁ
οἶκον N2--ASM--- οἶκος
ἑαυτοῦ RD--GSM--- ἑαυτοῦ

2Ch 8:2
καὶ C--------- καί
τὰς RA--APF--- ὁ
πόλεις N3I-APF--- πόλις
ἃς RR--APF--- ὅς
ἔδωκεν VAI-AAI3S- δίδωμι
Χιραμ N---NSM--- Χιραμ
τῷ RA--DSM--- ὁ
Σαλωμων N---DSM--- Σαλωμών
ᾠκοδόμησεν VAI-AAI3S- οἰκοδομέω
αὐτὰς RD--APF--- αὐτός
Σαλωμων N---NSM--- Σαλωμών
καὶ C--------- καί
κατῴκισεν VAI-AAI3S- οἰκίζω κατα
ἐκεῖ D--------- ἐκεῖ
τοὺς RA--APM--- ὁ
υἱοὺς N2--APM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ

2Ch 8:3
καὶ C--------- καί
ἦλθεν VBI-AAI3S- ἔρχομαι
Σαλωμων N---NSM--- Σαλωμών
εἰς P--------- εἰς
Αιμαθ N---ASF--- Αιμαθ
Σωβα N---ASF--- Σωβα
καὶ C--------- καί
κατίσχυσεν VAI-AAI3S- ἰσχύω κατα
αὐτήν RD--ASF--- αὐτός

2Ch 8:4
καὶ C--------- καί
ᾠκοδόμησεν VAI-AAI3S- οἰκοδομέω
τὴν RA--ASF--- ὁ
Θεδμορ N---ASF--- Θεδμορ
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ἐρήμῳ N2--DSF--- ἐρῆμος
καὶ C--------- καί
πάσας A1S-APF--- πᾶς
τὰς RA--APF--- ὁ
πόλεις N3I-APF--- πόλις
τὰς RA--APF--- ὁ
ὀχυράς A1A-APF--- ὀχυρός
ἃς RR--APF--- ὅς
ᾠκοδόμησεν VAI-AAI3S- οἰκοδομέω
ἐν P--------- ἐν
Ημαθ N---DSF--- Ημαθ

2Ch 8:5
καὶ C--------- καί
ᾠκοδόμησεν VAI-AAI3S- οἰκοδομέω
τὴν RA--ASF--- ὁ
Βαιθωρων N---ASF--- Βαιθωρων
τὴν RA--ASF--- ὁ
ἄνω D--------- ἄνω
καὶ C--------- καί
τὴν RA--ASF--- ὁ
Βαιθωρων N---ASF--- Βαιθωρων
