Job 1:1
εἰς P--------- εἰς
σφαγήν N1--ASF--- σφαγή
πάλιν D--------- πάλιν
δὲ X--------- δέ
μεταβαλὼν VB--AAPNSM βάλλω μετα
δεινῶς D--------- δεινῶς
με RP--AS---- ἐγώ
ὀλέκεις V1--PAI2S- ὀλέκω

Job 10:17
ἐπανακαινίζων V1--PAPNSM καινίζω ἐπι ἀνα
ἐπ' P--------- ἐπί
ἐμὲ RP--AS---- ἐγώ
τὴν RA--ASF--- ὁ
ἔτασίν N3I-ASF--- ἔτασις
μου RP--GS---- ἐγώ
ὀργῇ N1--DSF--- ὀργή
δὲ X--------- δέ
μεγάλῃ A1--DSF--- μέγας
μοι RP--DS---- ἐγώ
ἐχρήσω VAI-AMI2S- χράω
ἐπήγαγες VBI-AAI2S- ἄγω ἐπι
δὲ X--------- δέ
ἐπ' P--------- ἐπί
ἐμὲ RP--AS---- ἐγώ
πειρατήρια N2N-APN--- πειρατήριον

Job 10:18
ἵνα C--------- ἵνα
τί RI--NSN--- τίς
οὖν X--------- οὖν
ἐκ P--------- ἐκ
κοιλίας N1A-GSF--- κοιλία
με RP--AS---- ἐγώ
ἐξήγαγες VBI-AAI2S- ἄγω ἐκ
καὶ C--------- καί
οὐκ D--------- οὐ
ἀπέθανον VBI-AAI1S- θνήσκω ἀπο
ὀφθαλμὸς N2--NSM--- ὀφθαλμός
δέ X--------- δέ
με RP--AS---- ἐγώ
οὐκ D--------- οὐ
εἶδεν VBI-AAI3S- ὁράω

Job 10:19
καὶ C--------- καί
ὥσπερ D--------- ὥσπερ
οὐκ D--------- οὐ
ὢν V9--PAPNSM εἰμί
ἐγενόμην VBI-AMI1S- γίγνομαι
διὰ P--------- διά
τί RI--ASN--- τίς
γὰρ X--------- γάρ
ἐκ P--------- ἐκ
γαστρὸς N3--GSF--- γαστήρ
εἰς P--------- εἰς
μνῆμα N3M-ASN--- μνῆμα
οὐκ D--------- οὐ
ἀπηλλάγην VCI-API1S- ἀλλάσσω ἀπο

Job 10:20
ἦ D--------- ἦ
οὐκ D--------- οὐ
ὀλίγος A1--NSM--- ὀλίγος
ἐστὶν V9--PAI3S- εἰμί
ὁ RA--NSM--- ὁ
χρόνος N2--NSM--- χρόνος
τοῦ RA--GSM--- ὁ
βίου N2--GSM--- βίος
μου RP--GS---- ἐγώ
ἔασόν VA--AAD2S- ἐάω
με RP--AS---- ἐγώ
ἀναπαύσασθαι VA--AMN--- παύω ἀνα
μικρὸν A1A-ASN--- μικρός

Job 10:21
πρὸ P--------- πρό
τοῦ RA--GSN--- ὁ
με RP--AS---- ἐγώ
πορευθῆναι VC--APN--- πορεύομαι
ὅθεν D--------- ὅθεν
οὐκ D--------- οὐ
ἀναστρέψω VF--FAI1S- στρέφω ἀνα
εἰς P--------- εἰς
γῆν N1--ASF--- γῆ
σκοτεινὴν A1--ASF--- σκοτεινός
καὶ C--------- καί
γνοφεράν A1A-ASF--- γνοφερός

Job 10:22
εἰς P--------- εἰς
γῆν N1--ASF--- γῆ
σκότους N3E-GSN--- σκότος
αἰωνίου A1B-GSN--- αἰώνιος
οὗ RR--GSM--- ὅς
οὐκ D--------- οὐ
ἔστιν V9--PAI3S- εἰμί
φέγγος N3E-NSN--- φέγγος
οὐδὲ C--------- οὐδέ
ὁρᾶν V3--PAN--- ὁράω
ζωὴν N1--ASF--- ζωή
βροτῶν N2--GPM--- βροτός

Job 11:1
ὑπολαβὼν VB--AAPNSM λαμβάνω ὑπο
δὲ X--------- δέ
Σωφαρ N---NSM--- Σωφαρ
ὁ RA--NSM--- ὁ
Μιναῖος N2--NSM--- Μιναῖος
λέγει V1--PAI3S- λέγω

Job 11:2
ὁ RA--NSM--- ὁ
τὰ RA--APN--- ὁ
πολλὰ A1--APN--- πολύς
λέγων V1--PAPNSM λέγω
καὶ C--------- καί
ἀντακούσεται VF--FMI3S- ἀκούω ἀντι
ἢ C--------- ἤ
καὶ C--------- καί
ὁ RA--NSM--- ὁ
εὔλαλος A1B-NSM--- εὔλαλος
οἴεται V1--PMI3S- οἴομαι
εἶναι V9--PAN--- εἰμί
δίκαιος A1A-NSM--- δίκαιος
εὐλογημένος VM--XPPNSM εὐλογέω
γεννητὸς A1--NSM--- γεννητός
γυναικὸς N3K-GSF--- γυνή
ὀλιγόβιος A1B-NSM--- ὀλιγόβιος

Job 11:3
μὴ D--------- μή
πολὺς A3U-NSM--- πολύς
ἐν P--------- ἐν
ῥήμασιν N3M-DPN--- ῥῆμα
γίνου V1--PMD2S- γίγνομαι
οὐ D--------- οὐ
γάρ X--------- γάρ
ἐστιν V9--PAI3S- εἰμί
ὁ RA--NSM--- ὁ
ἀντικρινόμενός V1--PMPNSM κρίνω ἀντι
σοι RP--DS---- σύ

Job 11:4
μὴ D--------- μή
γὰρ X--------- γάρ
λέγε V1--PAD2S- λέγω
ὅτι C--------- ὅτι
καθαρός A1A-NSM--- καθαρός
εἰμι V9--PAI1S- εἰμί
τοῖς RA--DPN--- ὁ
ἔργοις N2N-DPN--- ἔργον
καὶ C--------- καί
ἄμεμπτος A1B-NSM--- ἄμεμπτος
ἐναντίον P--------- ἐναντίον
αὐτοῦ RD--GSM--- αὐτός

Job 11:5
ἀλλὰ C--------- ἀλλά
πῶς D--------- πῶς
ἂν X--------- ἄν
ὁ RA--NSM--- ὁ
κύριος N2--NSM--- κύριος
λαλήσαι VA--AAN--- λαλέω
πρὸς P--------- πρός
σέ RP--AS---- σύ
καὶ C--------- καί
ἀνοίξει VF--FAI3S- οἴγω ἀνα
χείλη N3E-APN--- χεῖλος
αὐτοῦ RD--GSM--- αὐτός
μετὰ P--------- μετά
σοῦ RP--GS---- σύ

Job 11:6
εἶτα D--------- εἶτα
ἀναγγελεῖ VF2-FAI3S- ἀγγέλλω ἀνα
σοι RP--DS---- σύ
δύναμιν N3I-ASF--- δύναμις
σοφίας N1A-GSF--- σοφία
ὅτι C--------- ὅτι
διπλοῦς A1C-NSM--- διπλοῦς
ἔσται VF--FMI3S- εἰμί
τῶν RA--GPN--- ὁ
κατὰ P--------- κατά
σέ RP--AS---- σύ
καὶ C--------- καί
τότε D--------- τότε
γνώσῃ VF--FMI2S- γιγνώσκω
ὅτι C--------- ὅτι
ἄξιά A1A-NPN--- ἄξιος
σοι RP--DS---- σύ
ἀπέβη VZI-AAI3S- βαίνω ἀπο
ἀπὸ P--------- ἀπό
κυρίου N2--GSM--- κύριος
ὧν RR--GPN--- ὅς
ἡμάρτηκας VX--XAI2S- ἁμαρτάνω

Job 11:7
ἦ D--------- ἦ
ἴχνος N3E-ASN--- ἴχνος
κυρίου N2--GSM--- κύριος
εὑρήσεις VF--FAI2S- εὑρίσκω
ἢ C--------- ἤ
εἰς P--------- εἰς
τὰ RA--APN--- ὁ
ἔσχατα A1--APN--- ἔσχατος
ἀφίκου VB--AMI2S- ἱκνέομαι ἀπο
ἃ RR--APN--- ὅς
ἐποίησεν VAI-AAI3S- ποιέω
ὁ RA--NSM--- ὁ
παντοκράτωρ N3R-NSM--- παντοκράτωρ

Job 11:8
ὑψηλὸς A1--NSM--- ὑψηλός
ὁ RA--NSM--- ὁ
οὐρανός N2--NSM--- οὐρανός
καὶ C--------- καί
τί RI--ASN--- τίς
ποιήσεις VF--FAI2S- ποιέω
βαθύτερα A1A-APNC-- βαθύς
δὲ X--------- δέ
τῶν RA--GPM--- ὁ
ἐν P--------- ἐν
ᾅδου N1M-GSM--- ἅδης
τί RI--ASN--- τίς
οἶδας VX--XAI2S- οἶδα

Job 11:9
ἢ C--------- ἤ
μακρότερα A1A-APNC-- μακρός
μέτρου N2N-GSN--- μέτρον
γῆς N1--GSF--- γῆ
ἢ C--------- ἤ
εὔρους N3E-GSN--- εὖρος
θαλάσσης N1S-GSF--- θάλασσα

Job 11:10
ἐὰν C--------- ἐάν
δὲ X--------- δέ
καταστρέψῃ VF--FMI2S- στρέφω κατα
τὰ RA--APN--- ὁ
πάντα A3--APN--- πᾶς
τίς RI--NSM--- τίς
ἐρεῖ VF2-FAI3S- εἶπον
αὐτῷ RD--DSM--- αὐτός
τί RI--ASN--- τίς
ἐποίησας VAI-AAI2S- ποιέω

Job 11:11
αὐτὸς RD--NSM--- αὐτός
γὰρ X--------- γάρ
οἶδεν VX--XAI3S- οἶδα
ἔργα N2N-APN--- ἔργον
ἀνόμων A1B-GPM--- ἄνομος
ἰδὼν VB--AAPNSM ὁράω
δὲ X--------- δέ
ἄτοπα A1B-APN--- ἄτοπος
οὐ D--------- οὐ
παρόψεται VF--FMI3S- ὁράω παρα

Job 11:12
ἄνθρωπος N2--NSM--- ἄνθρωπος
δὲ X--------- δέ
ἄλλως D--------- ἄλλως
νήχεται V1--PMI3S- νήχω
λόγοις N2--DPM--- λόγος
βροτὸς N2--NSM--- βροτός
δὲ X--------- δέ
γεννητὸς A1--NSM--- γεννητός
γυναικὸς N3K-GSF--- γυνή
ἴσα D--------- ἴσος
ὄνῳ N2--DSM--- ὄνος
ἐρημίτῃ N1M-DSM--- ἐρημίτης

Job 11:13
εἰ C--------- εἰ
γὰρ X--------- γάρ
σὺ RP--NS---- σύ
καθαρὰν A1A-ASF--- καθαρός
ἔθου VEI-AMI2S- τίθημι
τὴν RA--ASF--- ὁ
καρδίαν N1A-ASF--- καρδία
σου RP--GS---- σύ
ὑπτιάζεις V1--PAI2S- τιάζω ὑπο
δὲ X--------- δέ
χεῖρας N3--APF--- χείρ
πρὸς P--------- πρός
αὐτόν RD--ASM--- αὐτός

Job 11:14
εἰ C--------- εἰ
ἄνομόν A1B-NSN--- ἄνομος
τί RI--NSN--- τις
ἐστιν V9--PAI3S- εἰμί
ἐν P--------- ἐν
χερσίν N3--DPF--- χείρ
σου RP--GS---- σύ
πόρρω D--------- πόρρω
ποίησον VA--AAD2S- ποιέω
αὐτὸ RD--ASN--- αὐτός
ἀπὸ P--------- ἀπό
σοῦ RP--GS---- σύ
ἀδικία N1A-NSF--- ἀδικία
δὲ X--------- δέ
ἐν P--------- ἐν
διαίτῃ N1S-DSF--- δίαιτα
σου RP--GS---- σύ
μὴ D--------- μή
αὐλισθήτω VS--APD3S- αὐλίζω

Job 11:15
οὕτως D--------- οὕτως
γὰρ X--------- γάρ
ἀναλάμψει VF--FMI2S- λάμπω ἀνα
σου RP--GS---- σύ
τὸ RA--ASN--- ὁ
πρόσωπον N2N-ASN--- πρόσωπον
ὥσπερ D--------- ὥσπερ
ὕδωρ N3--NSN--- ὕδωρ
καθαρόν A1A-NSN--- καθαρός
ἐκδύσῃ VF--FMI2S- δύω ἐκ
δὲ X--------- δέ
ῥύπον N2--ASN--- ῥύπος
καὶ C--------- καί
οὐ D--------- οὐ
μὴ D--------- μή
φοβηθῇς VC--APS2S- φοβέω

Job 11:16
καὶ C--------- καί
τὸν RA--ASM--- ὁ
κόπον N2--ASM--- κόπος
ἐπιλήσῃ VF--FMI2S- λανθάνω ἐπι
ὥσπερ D--------- ὥσπερ
κῦμα N3M-ASN--- κῦμα
παρελθὸν VB--AAPASN ἔρχομαι παρα
καὶ C--------- καί
οὐ D--------- οὐ
πτοηθήσῃ VC--FPI2S- πτοέω

Job 11:17
ἡ RA--NSF--- ὁ
δὲ X--------- δέ
εὐχή N1--NSF--- εὐχή
σου RP--GS---- σύ
ὥσπερ D--------- ὥσπερ
ἑωσφόρος N2--NSM--- ἑωσφόρος
ἐκ P--------- ἐκ
δὲ X--------- δέ
μεσημβρίας N1A-GSF--- μεσημβρία
ἀνατελεῖ VF2-FAI3S- τέλλω ἀνα
σοι RP--DS---- σύ
ζωή N1--NSF--- ζωή

Job 11:18
πεποιθώς VX--XAPNSM πείθω
τε X--------- τε
ἔσῃ VF--FMI2S- εἰμί
ὅτι C--------- ὅτι
ἔστιν V9--PAI3S- εἰμί
σοι RP--DS---- σύ
ἐλπίς N3D-NSF--- ἐλπίς
ἐκ P--------- ἐκ
δὲ X--------- δέ
μερίμνης N1S-GSF--- μέριμνα
καὶ C--------- καί
φροντίδος N3D-GSF--- φροντίς
ἀναφανεῖταί VF2-FMI3S- φαίνω ἀνα
σοι RP--DS---- σύ
εἰρήνη N1--NSF--- εἰρήνη

Job 11:19
ἡσυχάσεις VF--FAI2S- ἡσυχάζω
γάρ X--------- γάρ
καὶ C--------- καί
οὐκ D--------- οὐ
ἔσται VF--FMI3S- εἰμί
ὁ RA--NSM--- ὁ
πολεμῶν V2--PAPNSM πολεμέω
σε RP--AS---- σύ
μεταβαλόμενοι VB--AMPNPM βάλλω μετα
δὲ X--------- δέ
πολλοί A1--NPM--- πολύς
σου RP--GS---- σύ
δεηθήσονται VC--FPI3P- δέω

Job 11:20
σωτηρία N1A-NSF--- σωτηρία
δὲ X--------- δέ
αὐτοὺς RD--APM--- αὐτός
ἀπολείψει VF--FAI3S- λείπω ἀπο
ἡ RA--NSF--- ὁ
γὰρ X--------- γάρ
ἐλπὶς N3D-NSF--- ἐλπίς
αὐτῶν RD--GPM--- αὐτός
ἀπώλεια N1A-NSF--- ἀπώλεια
ὀφθαλμοὶ N2--NPM--- ὀφθαλμός
δὲ X--------- δέ
ἀσεβῶν A3H-GPM--- ἀσεβής
τακήσονται VD--FPI3P- τήκω

Job 12:1
ὑπολαβὼν VB--AAPNSM λαμβάνω ὑπο
δὲ X--------- δέ
Ιωβ N---NSM--- Ιωβ
λέγει V1--PAI3S- λέγω

Job 12:2
εἶτα D--------- εἶτα
ὑμεῖς RP--NP---- σύ
ἐστε V9--PAI2P- εἰμί
ἄνθρωποι N2--NPM--- ἄνθρωπος
ἦ D--------- ἦ
μεθ' P--------- μετά
ὑμῶν RP--GP---- σύ
τελευτήσει VF--FAI3S- τελευτάω
σοφία N1A-NSF--- σοφία

Job 12:3
κἀμοὶ C+RPDS---- καί+ἐμός
μὲν X--------- μέν
καρδία N1A-NSF--- καρδία
καθ' P--------- κατά
ὑμᾶς RP--AP---- σύ
ἐστιν V9--PAI3S- εἰμί

Job 12:4
δίκαιος A1A-NSM--- δίκαιος
γὰρ X--------- γάρ
ἀνὴρ N3--NSM--- ἀνήρ
καὶ C--------- καί
ἄμεμπτος A1B-NSM--- ἄμεμπτος
ἐγενήθη VCI-API3S- γίγνομαι
εἰς P--------- εἰς
χλεύασμα N3M-ASN--- χλεύασμα

Job 12:5
εἰς P--------- εἰς
χρόνον N2--ASM--- χρόνος
γὰρ X--------- γάρ
τακτὸν A1--ASM--- τακτός
ἡτοίμαστο VA--IMI3S- ἑτοιμάζω
πεσεῖν VB--AAN--- πίπτω
ὑπὸ P--------- ὑπό
ἄλλους RD--APM--- ἄλλος
οἴκους N2--APM--- οἶκος
τε X--------- τε
αὐτοῦ RD--GSM--- αὐτός
ἐκπορθεῖσθαι V2--PPN--- πορθέω ἐκ
ὑπὸ P--------- ὑπό
ἀνόμων A1B-GPM--- ἄνομος

Job 12:6
οὐ D--------- οὐ
μὴν X--------- μήν
δὲ X--------- δέ
ἀλλὰ C--------- ἀλλά
μηδεὶς A3P-NSM--- μηδείς
πεποιθέτω VX--XAD3S- πείθω
πονηρὸς A1A-NSM--- πονηρός
ὢν V9--PAPNSM εἰμί
ἀθῷος A1--NSM--- ἀθῷος
ἔσεσθαι VF--FMN--- εἰμί
ὅσοι A1--NPM--- ὅσος
παροργίζουσιν V1--PAI3P- ὀργίζω παρα
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
ὡς C--------- ὡς
οὐχὶ D--------- οὐ
καὶ D--------- καί
ἔτασις N3I-NSF--- ἔτασις
αὐτῶν RD--GPM--- αὐτός
ἔσται VF--FMI3S- εἰμί

Job 12:7
ἀλλὰ C--------- ἀλλά
δὴ X--------- δή
ἐπερώτησον VA--AAD2S- ἐρωτάω ἐπι
τετράποδα A1B-APN--- τετράποδος
ἐάν C--------- ἐάν
σοι RP--DS---- σύ
εἴπωσιν VB--AAS3P- εἶπον
πετεινὰ A1--APN--- πετεινός
δὲ X--------- δέ
οὐρανοῦ N2--GSM--- οὐρανός
ἐάν C--------- ἐάν
σοι RP--DS---- σύ
ἀπαγγείλωσιν VA--AAS3P- ἀγγέλλω ἀπο

Job 12:8
ἐκδιήγησαι VA--AMD2S- ἡγέομαι ἐκ δια
δὲ X--------- δέ
γῇ N1--DSF--- γῆ
ἐάν C--------- ἐάν
σοι RP--DS---- σύ
φράσῃ VA--AAS3S- φράζω
καὶ C--------- καί
ἐξηγήσονταί VF--FMI3P- ἡγέομαι ἐκ
σοι RP--DS---- σύ
οἱ RA--NPM--- ὁ
ἰχθύες N3U-NPM--- ἰχθύς
τῆς RA--GSF--- ὁ
θαλάσσης N1S-GSF--- θάλασσα

Job 12:9
τίς RI--NSM--- τίς
οὐκ D--------- οὐ
ἔγνω VZI-AAI3S- γιγνώσκω
ἐν P--------- ἐν
πᾶσι A3--DPM--- πᾶς
τούτοις RD--DPM--- οὗτος
ὅτι C--------- ὅτι
χεὶρ N3--NSF--- χείρ
κυρίου N2--GSM--- κύριος
ἐποίησεν VAI-AAI3S- ποιέω
ταῦτα RD--APN--- οὗτος

Job 12:10
εἰ C--------- εἰ
μὴ D--------- μή
ἐν P--------- ἐν
χειρὶ N3--DSF--- χείρ
αὐτοῦ RD--GSM--- αὐτός
ψυχὴ N1--NSF--- ψυχή
πάντων A3--GPM--- πᾶς
τῶν RA--GPM--- ὁ
ζώντων V3--PAPGPM ζάω
καὶ C--------- καί
πνεῦμα N3M-NSN--- πνεῦμα
παντὸς A3--GSM--- πᾶς
ἀνθρώπου N2--GSM--- ἄνθρωπος

Job 12:11
οὖς N3T-NSN--- οὖς
μὲν X--------- μέν
γὰρ X--------- γάρ
ῥήματα N3M-APN--- ῥῆμα
διακρίνει V1--PAI3S- κρίνω δια
λάρυγξ N3G-NSM--- λάρυγξ
δὲ X--------- δέ
σῖτα N2--APN--- σῖτος
γεύεται V1--PMI3S- γεύω

Job 12:12
ἐν P--------- ἐν
πολλῷ A1--DSM--- πολύς
χρόνῳ N2--DSM--- χρόνος
σοφία N1A-NSF--- σοφία
ἐν P--------- ἐν
δὲ X--------- δέ
πολλῷ A1--DSM--- πολύς
βίῳ N2--DSM--- βίος
ἐπιστήμη N1--NSF--- ἐπιστήμη

Job 12:13
παρ' P--------- παρά
αὐτῷ RD--DSM--- αὐτός
σοφία N1A-NSF--- σοφία
καὶ C--------- καί
δύναμις N3I-NSF--- δύναμις
αὐτῷ RD--DSM--- αὐτός
βουλὴ N1--NSF--- βουλή
καὶ C--------- καί
σύνεσις N3I-NSF--- σύνεσις

Job 12:14
ἐὰν C--------- ἐάν
καταβάλῃ VB--AAS3S- βάλλω κατα
τίς RI--NSM--- τίς
οἰκοδομήσει VF--FAI3S- οἰκοδομέω
ἐὰν C--------- ἐάν
κλείσῃ VA--AAS3S- κλείω
κατὰ P--------- κατά
ἀνθρώπων N2--GPM--- ἄνθρωπος
τίς RI--NSM--- τίς
ἀνοίξει VF--FAI3S- οἴγω ἀνα

Job 12:15
ἐὰν C--------- ἐάν
κωλύσῃ VA--AAS3S- κωλύω
τὸ RA--ASN--- ὁ
ὥδωρ N3T-ASN--- ὥδωρ
ξηρανεῖ VF2-FAI3S- ξηραίνω
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
ἐὰν C--------- ἐάν
δὲ X--------- δέ
ἐπαφῇ VH--AAS3S- ἀφίημι ἐπι
ἀπώλεσεν VAI-AAI3S- ὀλλύω ἀπο
αὐτὴν RD--ASF--- αὐτός
καταστρέψας VA--AAPNSM στρέφω κατα

Job 12:16
παρ' P--------- παρά
αὐτῷ RD--DSM--- αὐτός
κράτος N3E-NSN--- κράτος
καὶ C--------- καί
ἰσχύς N3U-NSF--- ἰσχύς
αὐτῷ RD--DSM--- αὐτός
ἐπιστήμη N1--NSF--- ἐπιστήμη
καὶ C--------- καί
σύνεσις N3I-NSF--- σύνεσις

Job 12:17
διάγων V1--PAPNSM ἄγω δια
βουλευτὰς N1M-APM--- βουλευτής
αἰχμαλώτους A1B-APM--- αἰχμάλωτος
κριτὰς N1M-APM--- κριτής
δὲ X--------- δέ
γῆς N1--GSF--- γῆ
ἐξέστησεν VHI-AAI3S- ἵστημι ἐκ

Job 12:18
καθιζάνων V1--PAPNSM καθιζάνω
βασιλεῖς N3V-APM--- βασιλεύς
ἐπὶ P--------- ἐπί
θρόνους N2--APM--- θρόνος
καὶ C--------- καί
περιέδησεν VAI-AAI3S- δέω περι
ζώνῃ N1--DSF--- ζωνή
ὀσφύας N3--APF--- ὀσφύς
αὐτῶν RD--GPM--- αὐτός

Job 12:19
ἐξαποστέλλων V1--PAPNSM στέλλω ἐκ ἀπο
ἱερεῖς N3V-APM--- ἱερεύς
αἰχμαλώτους A1B-APM--- αἰχμάλωτος
δυνάστας N1M-APM--- δυνάστης
δὲ X--------- δέ
γῆς N1--GSF--- γῆ
κατέστρεψεν VAI-AAI3S- στρέφω κατα

Job 12:20
διαλλάσσων V1--PAPNSM ἀλλάσσω δια
χείλη N3E-APN--- χεῖλος
πιστῶν A1--GPM--- πιστός
σύνεσιν N3I-ASF--- σύνεσις
δὲ X--------- δέ
πρεσβυτέρων A1A-GPM--- πρεσβύτερος
ἔγνω VZI-AAI3S- γιγνώσκω

Job 12:21
ἐκχέων V2--PAPNSM χέω ἐκ
ἀτιμίαν N1A-ASF--- ἀτιμία
ἐπ' P--------- ἐπί
ἄρχοντας N3--APM--- ἄρχων
ταπεινοὺς A1--APM--- ταπεινός
δὲ X--------- δέ
ἰάσατο VAI-AMI3S- ἰάομαι

Job 12:22
ἀνακαλύπτων V1--PAPNSM καλύπτω ἀνα
βαθέα A3U-APN--- βαθύς
ἐκ P--------- ἐκ
σκότους N3E-GSN--- σκότος
ἐξήγαγεν VBI-AAI3S- ἄγω ἐκ
δὲ X--------- δέ
εἰς P--------- εἰς
φῶς N3T-ASN--- φῶς
σκιὰν N1A-ASF--- σκιά
θανάτου N2--GSM--- θάνατος

Job 12:23
πλανῶν V3--PAPNSM πλανάω
ἔθνη N3E-APN--- ἔθνος
καὶ C--------- καί
ἀπολλύων V5--PAPNSM ὀλλύω ἀπο
αὐτά RD--APN--- αὐτός
καταστρωννύων V1--PAPNSM στρωννύω κατα
ἔθνη N3E-APN--- ἔθνος
καὶ C--------- καί
καθοδηγῶν V2--PAPNSM ὁδηγέω κατα
αὐτά RD--APN--- αὐτός

Job 12:24
διαλλάσσων V1--PAPNSM ἀλλάσσω δια
καρδίας N1A-APF--- καρδία
ἀρχόντων N3--GPM--- ἄρχων
γῆς N1--GSF--- γῆ
ἐπλάνησεν VAI-AAI3S- πλανάω
δὲ X--------- δέ
αὐτοὺς RD--APM--- αὐτός
ὁδῷ N2--DSF--- ὁδός
ᾗ RR--DSF--- ὅς
οὐκ D--------- οὐ
ᾔδεισαν VXI-YAI3P- οἶδα

Job 12:25
ψηλαφήσαισαν VA--AAO3P- ψηλαφάω
σκότος N3E-ASN--- σκότος
καὶ C--------- καί
μὴ D--------- μή
φῶς N3T-ASN--- φῶς
πλανηθείησαν VC--APO3P- πλανάω
δὲ X--------- δέ
ὥσπερ D--------- ὥσπερ
ὁ RA--NSM--- ὁ
μεθύων V1--PAPNSM μεθύω

Job 13:1
ἰδοὺ I--------- ἰδού
ταῦτα RD--APN--- οὗτος
ἑώρακέν VX--XAI3S- ὁράω
μου RP--GS---- ἐγώ
ὁ RA--NSM--- ὁ
ὀφθαλμὸς N2--NSM--- ὀφθαλμός
καὶ C--------- καί
ἀκήκοέν VX--XAI3S- ἀκούω
μου RP--GS---- ἐγώ
τὸ RA--NSN--- ὁ
οὖς N3T-NSN--- οὖς

Job 13:2
καὶ C--------- καί
οἶδα VX--XAI1S- οἶδα
ὅσα A1--APN--- ὅσος
καὶ D--------- καί
ὑμεῖς RP--NP---- σύ
ἐπίστασθε V6--PMI2P- ἐπίσταμαι
καὶ C--------- καί
οὐκ D--------- οὐ
ἀσυνετώτερός A1B-NSMC-- ἀσύνετος
