Dan 1:1
ὀσμὴ N1--NSF--- ὀσμή
τοῦ RA--GSN--- ὁ
πυρὸς N3--GSN--- πῦρ
ἦν V9I-IAI3S- εἰμί
ἐν P--------- ἐν
αὐτοῖς RD--DPM--- αὐτός

Dan 3:95
ὑπολαβὼν VB--AAPNSM λαμβάνω ὑπο
δὲ X--------- δέ
Ναβουχοδονοσορ N---NSM--- Ναβουχοδονοσορ
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
εἶπεν VBI-AAI3S- εἶπον
εὐλογητὸς A1--NSM--- εὐλογητός
κύριος N2--NSM--- κύριος
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
τοῦ RA--GSM--- ὁ
Σεδραχ N---GSM--- Σεδραχ
Μισαχ N---GSM--- Μισαχ
Αβδεναγω N---GSM--- Αβδεναγω
ὃς RR--NSM--- ὅς
ἀπέστειλε VAI-AAI3S- στέλλω ἀπο
τὸν RA--ASM--- ὁ
ἄγγελον N2--ASM--- ἄγγελος
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἔσωσε VAI-AAI3S- σώζω
τοὺς RA--APM--- ὁ
παῖδας N3D-APM--- παῖς
αὐτοῦ RD--GSM--- αὐτός
τοὺς RA--APM--- ὁ
ἐλπίσαντας VA--AAPAPM ἐλπίζω
ἐπ' P--------- ἐπί
αὐτόν RD--ASM--- αὐτός
τὴν RA--ASF--- ὁ
γὰρ X--------- γάρ
προσταγὴν N1--ASF--- προσταγή
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
ἠθέτησαν VAI-AAI3P- ἀθετέω
καὶ C--------- καί
παρέδωκαν VAI-AAI3P- δίδωμι παρα
τὰ RA--APN--- ὁ
σώματα N3M-APN--- σῶμα
αὐτῶν RD--GPM--- αὐτός
εἰς P--------- εἰς
ἐμπυρισμόν N2--ASM--- ἐμπυρισμός
ἵνα C--------- ἵνα
μὴ D--------- μή
λατρεύσωσι VA--AAS3P- λατρεύω
μηδὲ C--------- μηδέ
προσκυνήσωσι VA--AAS3P- κυνέω προς
θεῷ N2--DSM--- θεός
ἑτέρῳ A1A-DSM--- ἕτερος
ἀλλ' C--------- ἀλλά
ἢ C--------- ἤ
τῷ RA--DSM--- ὁ
θεῷ N2--DSM--- θεός
αὐτῶν RD--GPM--- αὐτός

Dan 3:96
καὶ C--------- καί
νῦν D--------- νῦν
ἐγὼ RP--NS---- ἐγώ
κρίνω V1--PAI1S- κρίνω
ἵνα C--------- ἵνα
πᾶν A3--NSN--- πᾶς
ἔθνος N3E-NSN--- ἔθνος
καὶ C--------- καί
πᾶσαι A1S-NPF--- πᾶς
φυλαὶ N1--NPF--- φυλή
καὶ C--------- καί
πᾶσαι A1S-NPF--- πᾶς
γλῶσσαι N1S-NPF--- γλῶσσα
ὃς RR--NSM--- ὅς
ἂν X--------- ἄν
βλασφημήσῃ VA--AAS3S- βλασφημέω
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
τὸν RA--ASM--- ὁ
θεὸν N2--ASM--- θεός
Σεδραχ N---GSM--- Σεδραχ
Μισαχ N---GSM--- Μισαχ
Αβδεναγω N---GSM--- Αβδεναγω
διαμελισθήσεται VS--FPI3S- μελίζω δια
καὶ C--------- καί
ἡ RA--NSF--- ὁ
οἰκία N1A-NSF--- οἰκία
αὐτοῦ RD--GSM--- αὐτός
δημευθήσεται VC--FPI3S- δημεύω
διότι C--------- διότι
οὐκ D--------- οὐ
ἔστιν V9--PAI3S- εἰμί
θεὸς N2--NSM--- θεός
ἕτερος A1A-NSM--- ἕτερος
ὃς RR--NSM--- ὅς
δυνήσεται VF--FMI3S- δύναμαι
ἐξελέσθαι VB--AMN--- αἱρέω ἐκ
οὕτως D--------- οὕτως

Dan 3:97
οὕτως D--------- οὕτως
οὖν X--------- οὖν
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
τῷ RA--DSM--- ὁ
Σεδραχ N---DSM--- Σεδραχ
Μισαχ N---DSM--- Μισαχ
Αβδεναγω N---DSM--- Αβδεναγω
ἐξουσίαν N1A-ASF--- ἐξουσία
δοὺς VO--AAPNSM δίδωμι
ἐφ' P--------- ἐπί
ὅλης A1--GSF--- ὅλος
τῆς RA--GSF--- ὁ
χώρας N1A-GSF--- χώρα
κατέστησεν VHI-AAI3S- ἵστημι κατα
αὐτοὺς RD--APM--- αὐτός
ἄρχοντας N3--APM--- ἄρχων

Dan 4:4
ἔτους N3E-GSN--- ἔτος
ὀκτωκαιδεκάτου A1--GSN--- ὀκτωκαιδέκατος
τῆς RA--GSF--- ὁ
βασιλείας N1A-GSF--- βασιλεία
Ναβουχοδονοσορ N---GSM--- Ναβουχοδονοσορ
εἶπεν VBI-AAI3S- εἶπον
εἰρηνεύων V1--PAPNSM εἰρηνεύω
ἤμην V9I-IMI1S- εἰμί
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
οἴκῳ N2--DSM--- οἶκος
μου RP--GS---- ἐγώ
καὶ C--------- καί
εὐθηνῶν V2--PAPNSM εὐθηνέω
ἐπὶ P--------- ἐπί
τοῦ RA--GSM--- ὁ
θρόνου N2--GSM--- θρόνος
μου RP--GS---- ἐγώ

Dan 4:5
ἐνύπνιον N2N-ASN--- ἐνύπνιον
εἶδον VBI-AAI1S- ὁράω
καὶ C--------- καί
εὐλαβήθην VC--API1S- εὐλαβέομαι
καὶ C--------- καί
φόβος N2--NSM--- φόβος
μοι RP--DS---- ἐγώ
ἐπέπεσεν VAI-AAI3S- πίπτω ἐπι

Dan 4:10
ἐκάθευδον V1I-IAI1S- εὕδω κατα
καὶ C--------- καί
ἰδοὺ I--------- ἰδού
δένδρον N2N-ASN--- δένδρον
ὑψηλὸν A1--ASN--- ὑψηλός
φυόμενον V1--PMPASN φύω
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
ἡ RA--NSF--- ὁ
ὅρασις N3I-NSF--- ὅρασις
αὐτοῦ RD--GSN--- αὐτός
μεγάλη A1--NSF--- μέγας
καὶ C--------- καί
οὐκ D--------- οὐ
ἦν V9I-IAI3S- εἰμί
ἄλλο RD--NSN--- ἄλλος
ὅμοιον A1A-NSN--- ὅμοιος
αὐτῷ RD--DSN--- αὐτός

Dan 4:12
οἱ RA--NPM--- ὁ
κλάδοι N2--NPM--- κλάδος
αὐτοῦ RD--GSN--- αὐτός
τῷ RA--DSN--- ὁ
μήκει N3E-DSN--- μῆκος
ὡς C--------- ὡς
σταδίων N2N-GPN--- στάδιον
τριάκοντα M--------- τριάκοντα
καὶ C--------- καί
ὑποκάτω P--------- ὑποκάτω
αὐτοῦ RD--GSN--- αὐτός
ἐσκίαζον V1I-IAI3P- σκιάζω
πάντα A3--NPN--- πᾶς
τὰ RA--NPN--- ὁ
θηρία N2N-NPN--- θηρίον
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
καὶ C--------- καί
ἐν P--------- ἐν
αὐτῷ RD--DSN--- αὐτός
τὰ RA--NPN--- ὁ
πετεινὰ A1--NPN--- πετεινός
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
ἐνόσσευον V1I-IAI3P- νοσσεύω
ὁ RA--NSM--- ὁ
καρπὸς N2--NSM--- καρπός
αὐτοῦ RD--GSN--- αὐτός
πολὺς A1P-NSM--- πολύς
καὶ C--------- καί
ἀγαθὸς A1--NSM--- ἀγαθός
καὶ C--------- καί
ἐχορήγει V2I-IAI3S- χορηγέω
πᾶσι A3--DPN--- πᾶς
τοῖς RA--DPN--- ὁ
ζῴοις N2--DPN--- ζῷον

Dan 4:11
καὶ C--------- καί
ἡ RA--NSF--- ὁ
ὅρασις N3I-NSF--- ὅρασις
αὐτοῦ RD--GSN--- αὐτός
μεγάλη A1--NSF--- μέγας
ἡ RA--NSF--- ὁ
κορυφὴ N1--NSF--- κορυφή
αὐτοῦ RD--GSN--- αὐτός
ἤγγιζεν V1I-IAI3S- ἐγγίζω
ἕως P--------- ἕως
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
καὶ C--------- καί
τὸ RA--NSN--- ὁ
κύτος N3E-NSN--- κύτος
αὐτοῦ RD--GSN--- αὐτός
ἕως P--------- ἕως
τῶν RA--GPF--- ὁ
νεφελῶν N1--GPF--- νεφέλη
πληροῦν V4--PAN--- πληρόω
τὰ RA--APN--- ὁ
ὑποκάτω P--------- ὑποκάτω
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
ὁ RA--NSM--- ὁ
ἥλιος N2--NSM--- ἥλιος
καὶ C--------- καί
ἡ RA--NSF--- ὁ
σελήνη N1--NSF--- σελήνη
ἐν P--------- ἐν
αὐτῷ RD--DSN--- αὐτός
ᾤκουν V2I-IAI3P- οἰκέω
καὶ C--------- καί
ἐφώτιζον V1I-IAI3P- φωτίζω
πᾶσαν A1S-ASF--- πᾶς
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ

Dan 4:13
ἐθεώρουν V2I-IAI3P- θεωρέω
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
ὕπνῳ N2--DSM--- ὕπνος
μου RP--GS---- ἐγώ
καὶ C--------- καί
ἰδοὺ I--------- ἰδού
ἄγγελος N2--NSM--- ἄγγελος
ἀπεστάλη VDI-API3S- στέλλω ἀπο
ἐν P--------- ἐν
ἰσχύι N3U-DSF--- ἰσχύς
ἐκ P--------- ἐκ
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός

Dan 4:14
καὶ C--------- καί
ἐφώνησε VAI-AAI3S- φωνέω
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῷ RD--DSM--- αὐτός
ἐκκόψατε VA--AAD2P- κόπτω ἐκ
αὐτὸ RD--ASN--- αὐτός
καὶ C--------- καί
καταφθείρατε VA--AAD2P- φθείρω κατα
αὐτό RD--ASN--- αὐτός
προστέτακται VK--XMI3S- τάσσω προς
γὰρ X--------- γάρ
ἀπὸ P--------- ἀπό
τοῦ RA--GSM--- ὁ
ὑψίστου A1--GSM--- ὕψιστος
ἐκριζῶσαι VA--AAN--- ῥιζόω ἐκ
καὶ C--------- καί
ἀχρειῶσαι VA--AAN--- ἀχρειόω
αὐτό RD--ASN--- αὐτός

Dan 4:15
καὶ C--------- καί
οὕτως D--------- οὕτως
εἶπε VBI-AAI3S- εἶπον
ῥίζαν N1S-ASF--- ῥίζα
μίαν A1A-ASF--- εἷς
ἄφετε VB--AAD2P- ἵημι ἀπο
αὐτοῦ RD--GSN--- αὐτός
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
γῇ N1--DSF--- γῆ
ὅπως C--------- ὅπως
μετὰ P--------- μετά
τῶν RA--GPN--- ὁ
θηρίων N2N-GPN--- θηρίον
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
ἐν P--------- ἐν
τοῖς RA--DPN--- ὁ
ὄρεσι N3E-DPN--- ὄρος
χόρτον N2--ASM--- χόρτος
ὡς C--------- ὡς
βοῦς N3--NSM--- βοῦς
νέμηται V1--PMS3S- νέμω

Dan 4:16
καὶ C--------- καί
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
δρόσου N2--GSF--- δρόσος
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
τὸ RA--NSN--- ὁ
σῶμα N3M-NSN--- σῶμα
αὐτοῦ RD--GSM--- αὐτός
ἀλλοιωθῇ VC--APS3S- ἀλλοιόω
καὶ C--------- καί
ἑπτὰ M--------- ἑπτά
ἔτη N3E-NPN--- ἔτος
βοσκηθῇ VC--APS3S- βόσκω
σὺν P--------- σύν
αὐτοῖς RD--DPM--- αὐτός

Dan 4:17
ἕως C--------- ἕως
ἂν X--------- ἄν
γνῷ VZ--AAS3S- γιγνώσκω
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
ἐξουσίαν N1A-ASF--- ἐξουσία
ἔχειν V1--PAN--- ἔχω
πάντων A3--GPM--- πᾶς
τῶν RA--GPM--- ὁ
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
οὐρανῷ N2--DSM--- οὐρανός
καὶ C--------- καί
τῶν RA--GPM--- ὁ
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
καὶ C--------- καί
ὅσα A1--APN--- ὅσος
ἂν X--------- ἄν
θέλῃ V1--PAS3S- θέλω
ποιεῖ V2--PAI3S- ποιέω
ἐν P--------- ἐν
αὐτοῖς RD--DPM--- αὐτός

Dan 4:17a
ἐνώπιόν P--------- ἐνώπιον
μου RP--GS---- ἐγώ
ἐξεκόπη VDI-API3S- κόπτω ἐκ
ἐν P--------- ἐν
ἡμέρᾳ N1A-DSF--- ἡμέρα
μιᾷ A1A-DSF--- εἷς
καὶ C--------- καί
ἡ RA--NSF--- ὁ
καταφθορὰ N1A-NSF--- καταφθορά
αὐτοῦ RD--GSN--- αὐτός
ἐν P--------- ἐν
ὥρᾳ N1A-DSF--- ὥρα
μιᾷ A1A-DSF--- εἷς
τῆς RA--GSF--- ὁ
ἡμέρας N1A-GSF--- ἡμέρα
καὶ C--------- καί
οἱ RA--NPM--- ὁ
κλάδοι N2--NPM--- κλάδος
αὐτοῦ RD--GSN--- αὐτός
ἐδόθησαν VCI-API3P- δίδωμι
εἰς P--------- εἰς
πάντα A3--ASM--- πᾶς
ἄνεμον N2--ASM--- ἄνεμος
καὶ C--------- καί
εἱλκύσθη VCI-API3S- ἕλκω
καὶ C--------- καί
ἐρρίφη VDI-API3S- ῥίπτω
καὶ C--------- καί
τὸν RA--ASM--- ὁ
χόρτον N2--ASM--- χόρτος
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
μετὰ P--------- μετά
τῶν RA--GPN--- ὁ
θηρίων N2N-GPN--- θηρίον
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
ἤσθιε V1I-IAI3S- ἐσθίω
καὶ C--------- καί
εἰς P--------- εἰς
φυλακὴν N1--ASF--- φυλακή
παρεδόθη VCI-API3S- δίδωμι παρα
καὶ C--------- καί
ἐν P--------- ἐν
πέδαις N1--DPF--- πέδη
καὶ C--------- καί
ἐν P--------- ἐν
χειροπέδαις N1--DPF--- χειροπέδη
χαλκαῖς A1C-DPF--- χαλκοῦς
ἐδέθη VCI-API3S- δέω
ὑπ' P--------- ὑπό
αὐτῶν RD--GPN--- αὐτός
σφόδρα D--------- σφόδρα
ἐθαύμασα VAI-AAI1S- θαυμάζω
ἐπὶ P--------- ἐπί
πᾶσι A3--DPN--- πᾶς
τούτοις RD--DPN--- οὗτος
καὶ C--------- καί
ὁ RA--NSM--- ὁ
ὕπνος N2--NSM--- ὕπνος
μου RP--GS---- ἐγώ
ἀπέστη VHI-AAI3S- ἵστημι ἀπο
ἀπὸ P--------- ἀπό
τῶν RA--GPM--- ὁ
ὀφθαλμῶν N2--GPM--- ὀφθαλμός
μου RP--GS---- ἐγώ

Dan 4:18
καὶ C--------- καί
ἀναστὰς VH--AAPNSM ἵστημι ἀνα
τὸ RA--ASN--- ὁ
πρωὶ D--------- πρωΐ
ἐκ P--------- ἐκ
τῆς RA--GSF--- ὁ
κοίτης N1--GSF--- κοίτη
μου RP--GS---- ἐγώ
ἐκάλεσα VAI-AAI1S- καλέω
τὸν RA--ASM--- ὁ
Δανιηλ N---ASM--- Δανιηλ
τὸν RA--ASM--- ὁ
ἄρχοντα N3--ASM--- ἄρχων
τῶν RA--GPM--- ὁ
σοφιστῶν N1M-GPM--- σοφιστής
καὶ C--------- καί
τὸν RA--ASM--- ὁ
ἡγούμενον V2--PMPASM ἡγέομαι
τῶν RA--GPM--- ὁ
κρινόντων V1--PAPGPM κρίνω
τὰ RA--APN--- ὁ
ἐνύπνια N2N-APN--- ἐνύπνιον
καὶ C--------- καί
διηγησάμην VAI-AMI1S- ἡγέομαι δια
αὐτῷ RD--DSM--- αὐτός
τὸ RA--ASN--- ὁ
ἐνύπνιον N2N-ASN--- ἐνύπνιον
καὶ C--------- καί
ὑπέδειξέ VAI-AAI3S- δεικνύω ὑπο
μοι RP--DS---- ἐγώ
πᾶσαν A1S-ASF--- πᾶς
τὴν RA--ASF--- ὁ
σύγκρισιν N3I-ASF--- σύγκρισις
αὐτοῦ RD--GSM--- αὐτός

Dan 4:19
μεγάλως D--------- μεγάλως
δὲ X--------- δέ
ἐθαύμασεν VAI-AAI3S- θαυμάζω
ὁ RA--NSM--- ὁ
Δανιηλ N---NSM--- Δανιηλ
καὶ C--------- καί
ὑπόνοια N1A-NSF--- ὑπόνοια
κατέσπευδεν V1I-IAI3S- σπεύδω κατα
αὐτόν RD--ASM--- αὐτός
καὶ C--------- καί
φοβηθεὶς VC--APPNSM φοβέω
τρόμου N2--GSM--- τρόμος
λαβόντος VB--AAPGSM λαμβάνω
αὐτὸν RD--ASM--- αὐτός
καὶ C--------- καί
ἀλλοιωθείσης VC--APPGSF ἀλλοιόω
τῆς RA--GSF--- ὁ
ὁράσεως N3I-GSF--- ὅρασις
αὐτοῦ RD--GSM--- αὐτός
κινήσας VA--AAPNSM κινέω
τὴν RA--ASF--- ὁ
κεφαλὴν N1--ASF--- κεφαλή
ὥραν N1A-ASF--- ὥρα
μίαν A1A-ASF--- εἷς
ἀποθαυμάσας VA--AAPNSM θαυμάζω ἀπο
ἀπεκρίθη VCI-API3S- κρίνω ἀπο
μοι RP--DS---- ἐγώ
φωνῇ N1--DSF--- φωνή
πραείᾳ A3U-DSF--- πραΰς
βασιλεῦ N3V-VSM--- βασιλεύς
τὸ RA--NSN--- ὁ
ἐνύπνιον N2N-NSN--- ἐνύπνιον
τοῦτο RD--NSN--- οὗτος
τοῖς RA--DPM--- ὁ
μισοῦσί V2--PAPDPM μισέω
σε RP--AS---- σύ
καὶ C--------- καί
ἡ RA--NSF--- ὁ
σύγκρισις N3I-NSF--- σύγκρισις
αὐτοῦ RD--GSN--- αὐτός
τοῖς RA--DPM--- ὁ
ἐχθροῖς N2--DPM--- ἐχθρός
σου RP--GS---- σύ
ἐπέλθοι VB--AAO3S- ἔρχομαι ἐπι

Dan 4:20
τὸ RA--NSN--- ὁ
δένδρον N2N-NSN--- δένδρον
τὸ RA--NSN--- ὁ
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
γῇ N1--DSF--- γῆ
πεφυτευμένον VM--XMPNSM φυτεύω
οὗ RR--GSN--- ὅς
ἡ RA--NSF--- ὁ
ὅρασις N3I-NSF--- ὅρασις
μεγάλη A1--NSF--- μέγας
σὺ RP--NS---- σύ
εἶ V9--PAI2S- εἰμί
βασιλεῦ N3V-VSM--- βασιλεύς

Dan 4:21
καὶ C--------- καί
πάντα A3--APN--- πᾶς
τὰ RA--APN--- ὁ
πετεινὰ A1--APN--- πετεινός
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
τὰ RA--APN--- ὁ
νοσσεύοντα V1--PAPAPN νοσσεύω
ἐν P--------- ἐν
αὐτῷ RD--DSN--- αὐτός
ἡ RA--NSF--- ὁ
ἰσχὺς N3--NSF--- ἰσχύς
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
καὶ C--------- καί
τῶν RA--GPN--- ὁ
ἐθνῶν N3E-GPN--- ἔθνος
καὶ C--------- καί
τῶν RA--GPF--- ὁ
γλωσσῶν N1S-GPF--- γλῶσσα
πασῶν A1S-GPF--- πᾶς
ἕως P--------- ἕως
τῶν RA--GPN--- ὁ
περάτων N3T-GPN--- πέρας
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
καὶ C--------- καί
πᾶσαι A1S-NPF--- πᾶς
αἱ RA--NPF--- ὁ
χῶραι N1A-NPF--- χώρα
σοὶ RP--DS---- σύ
δουλεύουσι V1--PAI3P- δουλεύω

Dan 4:22
τὸ RA--ASN--- ὁ
δὲ X--------- δέ
ἀνυψωθῆναι VC--APN--- ὑψόω ἀνα
τὸ RA--ASN--- ὁ
δένδρον N2N-ASN--- δένδρον
ἐκεῖνο RD--ASN--- ἐκεῖνος
καὶ C--------- καί
ἐγγίσαι VA--AAN--- ἐγγίζω
τῷ RA--DSM--- ὁ
οὐρανῷ N2--DSM--- οὐρανός
καὶ C--------- καί
τὸ RA--ASN--- ὁ
κύτος N3E-ASN--- κύτος
αὐτοῦ RD--GSN--- αὐτός
ἅψασθαι VA--AMN--- ἅπτομαι
τῶν RA--GPF--- ὁ
νεφελῶν N1--GPF--- νεφέλη
σύ RP--NS---- σύ
βασιλεῦ N3V-VSM--- βασιλεύς
ὑψώθης VCI-API2S- ὑψόω
ὑπὲρ P--------- ὑπέρ
πάντας A3--APM--- πᾶς
τοὺς RA--APM--- ὁ
ἀνθρώπους N2--APM--- ἄνθρωπος
τοὺς RA--APM--- ὁ
ὄντας V9--PAPAPM εἰμί
ἐπὶ P--------- ἐπί
προσώπου N2N-GSN--- πρόσωπον
πάσης A1S-GSF--- πᾶς
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
ὑψώθη VCI-API3S- ὑψόω
σου RP--GS---- σύ
ἡ RA--NSF--- ὁ
καρδία N1A-NSF--- καρδία
ὑπερηφανίᾳ N1A-DSF--- ὑπερηφανία
καὶ C--------- καί
ἰσχύι N3U-DSF--- ἰσχύς
τὰ RA--APN--- ὁ
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
ἅγιον A1A-ASM--- ἅγιος
καὶ C--------- καί
τοὺς RA--APM--- ὁ
ἀγγέλους N2--APM--- ἄγγελος
αὐτοῦ RD--GSM--- αὐτός
τὰ RA--NPN--- ὁ
ἔργα N2N-NPN--- ἔργον
σου RP--GS---- σύ
ὤφθη VVI-API3S- ὁράω
καθότι D--------- καθότι
ἐξερήμωσας VA--AAPNSM ἐρημόω ἐκ
τὸν RA--ASM--- ὁ
οἶκον N2--ASM--- οἶκος
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
τοῦ RA--GSM--- ὁ
ζῶντος V3--PAPGSM ζάω
ἐπὶ P--------- ἐπί
ταῖς RA--DPF--- ὁ
ἁμαρτίαις N1A-DPF--- ἁμαρτία
τοῦ RA--GSM--- ὁ
λαοῦ N2--GSM--- λαός
τοῦ RA--GSM--- ὁ
ἡγιασμένου VT--XMPGSM ἁγιάζω

Dan 4:23
καὶ C--------- καί
ἡ RA--NSF--- ὁ
ὅρασις N3I-NSF--- ὅρασις
ἣν RR--ASF--- ὅς
εἶδες VBI-AAI2S- ὁράω
ὅτι C--------- ὅτι
ἄγγελος N2--NSM--- ἄγγελος
ἐν P--------- ἐν
ἰσχύι N3U-DSF--- ἰσχύς
ἀπεστάλη VDI-API3S- στέλλω ἀπο
παρὰ P--------- παρά
τοῦ RA--GSM--- ὁ
κυρίου N2--GSM--- κύριος
καὶ C--------- καί
ὅτι C--------- ὅτι
εἶπεν VBI-AAI3S- εἶπον
ἐξᾶραι VA--AAN--- αἴρω ἐκ
τὸ RA--ASN--- ὁ
δένδρον N2N-ASN--- δένδρον
καὶ C--------- καί
ἐκκόψαι VA--AAN--- κόπτω ἐκ
ἡ RA--NSF--- ὁ
κρίσις N3I-NSF--- κρίσις
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
τοῦ RA--GSM--- ὁ
μεγάλου A1--GSM--- μέγας
ἥξει VF--FAI3S- ἥκω
ἐπὶ P--------- ἐπί
σέ RP--AS---- σύ

Dan 4:24
καὶ C--------- καί
ὁ RA--NSM--- ὁ
ὕψιστος A1--NSM--- ὕψιστος
καὶ C--------- καί
οἱ RA--NPM--- ὁ
ἄγγελοι N2--NPM--- ἄγγελος
αὐτοῦ RD--GSM--- αὐτός
ἐπὶ P--------- ἐπί
σὲ RP--AS---- σύ
κατατρέχουσιν V1--PAI3P- τρέχω κατα

Dan 4:25
εἰς P--------- εἰς
φυλακὴν N1--ASF--- φυλακή
ἀπάξουσί VF--FAI3P- ἄγω ἀπο
σε RP--AS---- σύ
καὶ C--------- καί
εἰς P--------- εἰς
τόπον N2--ASM--- τόπος
ἔρημον A1B-ASM--- ἔρημος
ἀποστελοῦσί VF--FAI3P- στέλλω ἀπο
σε RP--AS---- σύ

Dan 4:26
καὶ C--------- καί
ἡ RA--NSF--- ὁ
ῥίζα N1A-NSF--- ῥίζα
τοῦ RA--GSN--- ὁ
δένδρου N2N-GSN--- δένδρον
ἡ RA--NSF--- ὁ
ἀφεθεῖσα VC--APPNSF ἵημι ἀπο
ἐπεὶ C--------- ἐπεί
οὐκ D--------- οὐ
ἐξερριζώθη VCI-API3S- ῥιζόω ἐκ
ὁ RA--NSM--- ὁ
τόπος N2--NSM--- τόπος
τοῦ RA--GSM--- ὁ
