Hos 1:1
ἐκ P--------- ἐκ
γῆς N1--GSF--- γῆ
Αἰγύπτου N2--GSF--- Αἴγυπτος
καὶ C--------- καί
θεὸν N2--ASM--- θεός
πλὴν P--------- πλήν
ἐμοῦ RP--GS---- ἐγώ
οὐ D--------- οὐ
γνώσῃ VF--FMI2S- γιγνώσκω
καὶ C--------- καί
σῴζων V1--PAPNSM σώζω
οὐκ D--------- οὐ
ἔστιν V9--PAI3S- εἰμί
πάρεξ P--------- πάρεξ
ἐμοῦ RP--GS---- ἐγώ

Hos 13:5
ἐγὼ RP--NS---- ἐγώ
ἐποίμαινόν V1I-IAI1S- ποιμαίνω
σε RP--AS---- σύ
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ἐρήμῳ N2--DSF--- ἔρημος
ἐν P--------- ἐν
γῇ N1--DSF--- γῆ
ἀοικήτῳ A1B-DSF--- ἀοίκητος

Hos 13:6
κατὰ P--------- κατά
τὰς RA--APF--- ὁ
νομὰς N1--APF--- νομή
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ἐνεπλήσθησαν VSI-API3P- πίμπλημι ἐν
εἰς P--------- εἰς
πλησμονήν N1--ASF--- πλησμονή
καὶ C--------- καί
ὑψώθησαν VCI-API3P- ὑψόω
αἱ RA--NPF--- ὁ
καρδίαι N1A-NPF--- καρδία
αὐτῶν RD--GPM--- αὐτός
ἕνεκα P--------- ἕνεκα
τούτου RD--GSM--- οὗτος
ἐπελάθοντό VBI-AMI3P- λανθάνω ἐπι
μου RP--GS---- ἐγώ

Hos 13:7
καὶ C--------- καί
ἔσομαι VF--FMI1S- εἰμί
αὐτοῖς RD--DPM--- αὐτός
ὡς C--------- ὡς
πανθὴρ N3--NSM--- πανθήρ
καὶ C--------- καί
ὡς C--------- ὡς
πάρδαλις N3I-NSM--- πάρδαλις
κατὰ P--------- κατά
τὴν RA--ASF--- ὁ
ὁδὸν N2--ASF--- ὁδός
Ἀσσυρίων N2--GPM--- Ἀσσύριος

Hos 13:8
ἀπαντήσομαι VF--FMI1S- ἀντάω ἀπο
αὐτοῖς RD--DPM--- αὐτός
ὡς C--------- ὡς
ἄρκος N2--NSF--- ἄρκος
ἀπορουμένη V2--PMPNSF ἀπορέω
καὶ C--------- καί
διαρρήξω VF--FAI1S- ῥήγνυμι δια
συγκλεισμὸν N2--ASM--- συγκλεισμός
καρδίας N1A-GSF--- καρδία
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
καταφάγονται VF--FMI3P- ἐσθίω κατα
αὐτοὺς RD--APM--- αὐτός
ἐκεῖ D--------- ἐκεῖ
σκύμνοι N2--NPM--- σκύμνος
δρυμοῦ N2--GSM--- δρυμός
θηρία N2N-NPN--- θηρίον
ἀγροῦ N2--GSM--- ἀγρός
διασπάσει VF--FAI3S- σπάω δια
αὐτούς RD--APM--- αὐτός

Hos 13:9
τῇ RA--DSF--- ὁ
διαφθορᾷ N1A-DSF--- διαφθορά
σου RP--GS---- σύ
Ισραηλ N---VSM--- Ἰσραήλ
τίς RI--NSM--- τίς
βοηθήσει VF--FAI3S- βοηθέω

Hos 13:10
ποῦ D--------- ποῦ
ὁ RA--NSM--- ὁ
βασιλεύς N3V-NSM--- βασιλεύς
σου RP--GS---- σύ
οὗτος RD--NSM--- οὗτος
καὶ C--------- καί
διασωσάτω VA--AAD3S- σώζω δια
σε RP--AS---- σύ
ἐν P--------- ἐν
πάσαις A1S-DPF--- πᾶς
ταῖς RA--DPF--- ὁ
πόλεσίν N3I-DPF--- πόλις
σου RP--GS---- σύ
κρινάτω VA--AAD3S- κρίνω
σε RP--AS---- σύ
ὃν RR--ASM--- ὅς
εἶπας VAI-AAI2S- εἶπον
δός VO--AAD2S- δίδωμι
μοι RP--DS---- ἐγώ
βασιλέα N3V-ASM--- βασιλεύς
καὶ C--------- καί
ἄρχοντα N3--ASM--- ἄρχων

Hos 13:11
καὶ C--------- καί
ἔδωκά VAI-AAI1S- δίδωμι
σοι RP--DS---- σύ
βασιλέα N3V-ASM--- βασιλεύς
ἐν P--------- ἐν
ὀργῇ N1--DSF--- ὀργή
μου RP--GS---- ἐγώ
καὶ C--------- καί
ἔσχον VBI-AAI1S- ἔχω
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
θυμῷ N2--DSM--- θυμός
μου RP--GS---- ἐγώ

Hos 13:12
συστροφὴν N1--ASF--- συστροφή
ἀδικίας N1A-GSF--- ἀδικία
Εφραιμ N---NSM--- Ἐφράιμ
ἐγκεκρυμμένη VP--XMPNSF κρύπτω ἐν
ἡ RA--NSF--- ὁ
ἁμαρτία N1A-NSF--- ἁμαρτία
αὐτοῦ RD--GSM--- αὐτός

Hos 13:13
ὠδῖνες N3--NPF--- ὠδίν
ὡς C--------- ὡς
τικτούσης V1--PAPGSF τίκτω
ἥξουσιν VF--FAI3P- ἥκω
αὐτῷ RD--DSM--- αὐτός
οὗτος RD--NSM--- οὗτος
ὁ RA--NSM--- ὁ
υἱός N2--NSM--- υἱός
σου RP--GS---- σύ
οὐ D--------- οὐ
φρόνιμος A1B-NSM--- φρόνιμος
διότι C--------- διότι
οὐ D--------- οὐ
μὴ D--------- μή
ὑποστῇ VH--AAS3S- ἵστημι ὑπο
ἐν P--------- ἐν
συντριβῇ N1--DSF--- συντριβή
τέκνων N2N-GPN--- τέκνον

Hos 13:14
ἐκ P--------- ἐκ
χειρὸς N3--GSF--- χείρ
ᾅδου N1M-GSM--- ᾅδης
ῥύσομαι VF--FMI1S- ῥύομαι
αὐτοὺς RD--APM--- αὐτός
καὶ C--------- καί
ἐκ P--------- ἐκ
θανάτου N2--GSM--- θάνατος
λυτρώσομαι VF--FMI1S- λυτρόω
αὐτούς RD--APM--- αὐτός
ποῦ D--------- ποῦ
ἡ RA--NSF--- ὁ
δίκη N1--NSF--- δίκη
σου RP--GS---- σύ
θάνατε N2--VSM--- θάνατος
ποῦ D--------- ποῦ
τὸ RA--NSN--- ὁ
κέντρον N2N-NSN--- κέντρον
σου RP--GS---- σύ
ᾅδη N1M-VSM--- ᾅδης
παράκλησις N3I-NSF--- παράκλησις
κέκρυπται VP--XMI3S- κρύπτω
ἀπὸ P--------- ἀπό
ὀφθαλμῶν N2--GPM--- ὀφθαλμός
μου RP--GS---- ἐγώ

Hos 13:15
διότι C--------- διότι
οὗτος RD--NSM--- οὗτος
ἀνὰ P--------- ἀνά
μέσον A1--ASN--- μέσος
ἀδελφῶν N2--GPM--- ἀδελφός
διαστελεῖ VF2-FAI3S- στέλλω δια
ἐπάξει VF--FAI3S- ἄγω ἐπι
ἄνεμον N2--ASM--- ἄνεμος
καύσωνα N3W-ASM--- καύσων
κύριος N2--NSM--- κύριος
ἐκ P--------- ἐκ
τῆς RA--GSF--- ὁ
ἐρήμου N2--GSF--- ἔρημος
ἐπ' P--------- ἐπί
αὐτόν RD--ASM--- αὐτός
καὶ C--------- καί
ἀναξηρανεῖ VF2-FAI3S- ξηραίνω ἀνα
τὰς RA--APF--- ὁ
φλέβας N3--APF--- φλέψ
αὐτοῦ RD--GSM--- αὐτός
ἐξερημώσει VF--FAI3S- ἐρημόω ἐκ
τὰς RA--APF--- ὁ
πηγὰς N1--APF--- πηγή
αὐτοῦ RD--GSM--- αὐτός
αὐτὸς RD--NSM--- αὐτός
καταξηρανεῖ VF2-FAI3S- ξηραίνω κατα
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
πάντα A3--APN--- πᾶς
τὰ RA--APN--- ὁ
σκεύη N3E-APN--- σκεῦος
τὰ RA--APN--- ὁ
ἐπιθυμητὰ A1--APN--- ἐπιθυμητός
αὐτοῦ RD--GSM--- αὐτός

Hos 14:1
ἀφανισθήσεται VS--FPI3S- ἵζω ἀπο ἀνα
Σαμάρεια N1A-NSF--- Σαμαρία
ὅτι C--------- ὅτι
ἀντέστη VHI-AAI3S- ἵστημι ἀντι
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
θεὸν N2--ASM--- θεός
αὐτῆς RD--GSF--- αὐτός
ἐν P--------- ἐν
ῥομφαίᾳ N1A-DSF--- ῥομφαία
πεσοῦνται VF2-FMI3P- πίπτω
αὐτοί RD--NPM--- αὐτός
καὶ C--------- καί
τὰ RA--NPN--- ὁ
ὑποτίτθια N2N-NPN--- ὑποτίτθια
αὐτῶν RD--GPM--- αὐτός
ἐδαφισθήσονται VS--FPI3P- ἐδαφίζω
καὶ C--------- καί
αἱ RA--NPF--- ὁ
ἐν P--------- ἐν
γαστρὶ N3--DSF--- γαστήρ
ἔχουσαι V1--PAPNPF ἔχω
αὐτῶν RD--GPM--- αὐτός
διαρραγήσονται VD--FPI3P- ῥήγνυμι δια

Hos 14:2
ἐπιστράφητι VD--APD2S- στρέφω ἐπι
Ισραηλ N---VSM--- Ἰσραήλ
πρὸς P--------- πρός
κύριον N2--ASM--- κύριος
τὸν RA--ASM--- ὁ
θεόν N2--ASM--- θεός
σου RP--GS---- σύ
διότι C--------- διότι
ἠσθένησας VAI-AAI2S- ἀσθενέω
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
ἀδικίαις N1A-DPF--- ἀδικία
σου RP--GS---- σύ

Hos 14:3
λάβετε VB--AAD2P- λαμβάνω
μεθ' P--------- μετά
ἑαυτῶν RD--GPM--- ἑαυτοῦ
λόγους N2--APM--- λόγος
καὶ C--------- καί
ἐπιστράφητε VD--APD2P- στρέφω ἐπι
πρὸς P--------- πρός
κύριον N2--ASM--- κύριος
τὸν RA--ASM--- ὁ
θεὸν N2--ASM--- θεός
ὑμῶν RP--GP---- σύ
εἴπατε VAI-AAD2P- εἶπον
αὐτῷ RD--DSM--- αὐτός
ὅπως C--------- ὅπως
μὴ D--------- μή
λάβητε VB--AAS2P- λαμβάνω
ἀδικίαν N1A-ASF--- ἀδικία
καὶ C--------- καί
λάβητε VB--AAS2P- λαμβάνω
ἀγαθά A1--APN--- ἀγαθός
καὶ C--------- καί
ἀνταποδώσομεν VF--FAI1P- δίδωμι ἀντι ἀπο
καρπὸν N2--ASM--- καρπός
χειλέων N3E-GPN--- χεῖλος
ἡμῶν RP--GP---- ἐγώ

Hos 14:4
Ασσουρ N---NSM--- Ασσουρ
οὐ D--------- οὐ
μὴ D--------- μή
σώσῃ VA--AAS3S- σώζω
ἡμᾶς RP--AP---- ἐγώ
ἐφ' P--------- ἐπί
ἵππον N2--ASM--- ἵππος
οὐκ D--------- οὐ
ἀναβησόμεθα VF--FMI1P- βαίνω ἀνα
οὐκέτι D--------- οὐκέτι
μὴ D--------- μή
εἴπωμεν VB--AAS1P- εἶπον
θεοὶ N2--VPM--- θεός
ἡμῶν RP--GP---- ἐγώ
τοῖς RA--DPN--- ὁ
ἔργοις N2N-DPN--- ἔργον
τῶν RA--GPF--- ὁ
χειρῶν N3--GPF--- χείρ
ἡμῶν RP--GP---- ἐγώ
ὁ RA--NSM--- ὁ
ἐν P--------- ἐν
σοὶ RP--DS---- σύ
ἐλεήσει VF--FAI3S- ἐλεέω
ὀρφανόν A1--NSN--- ὀρφανός

Hos 14:5
ἰάσομαι VF--FMI1S- ἰάομαι
τὰς RA--APF--- ὁ
κατοικίας N1A-APF--- κατοικία
αὐτῶν RD--GPM--- αὐτός
ἀγαπήσω VF--FAI1S- ἀγαπάω
αὐτοὺς RD--APM--- αὐτός
ὁμολόγως D--------- ὁμολόγως
ὅτι C--------- ὅτι
ἀπέστρεψεν VAI-AAI3S- στρέφω ἀπο
ἡ RA--NSF--- ὁ
ὀργή N1--NSF--- ὀργή
μου RP--GS---- ἐγώ
ἀπ' P--------- ἀπό
αὐτῶν RD--GPM--- αὐτός

Hos 14:6
ἔσομαι VF--FMI1S- εἰμί
ὡς C--------- ὡς
δρόσος N2--NSF--- δρόσος
τῷ RA--DSM--- ὁ
Ισραηλ N---DSM--- Ἰσραήλ
ἀνθήσει VF--FAI3S- ἀνθέω
ὡς C--------- ὡς
κρίνον N2N-NSN--- κρίνον
καὶ C--------- καί
βαλεῖ VF2-FAI3S- βάλλω
τὰς RA--APF--- ὁ
ῥίζας N1S-APF--- ῥίζα
αὐτοῦ RD--GSM--- αὐτός
ὡς C--------- ὡς
ὁ RA--NSM--- ὁ
Λίβανος N2--NSM--- Λίβανος

Hos 14:7
πορεύσονται VF--FMI3P- πορεύομαι
οἱ RA--NPM--- ὁ
κλάδοι N2--NPM--- κλάδος
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἔσται V9--FMI3S- εἰμί
ὡς C--------- ὡς
ἐλαία N1A-NSF--- ἐλαία
κατάκαρπος A1B-NSF--- κατάκαρπος
καὶ C--------- καί
ἡ RA--NSF--- ὁ
ὀσφρασία N1A-NSF--- ὀσφρασία
αὐτοῦ RD--GSM--- αὐτός
ὡς C--------- ὡς
Λιβάνου N2--GSM--- Λίβανος

Hos 14:8
ἐπιστρέψουσιν VF--FAI3P- στρέφω ἐπι
καὶ C--------- καί
καθιοῦνται VF2-FMI3P- ἵζω κατα
ὑπὸ P--------- ὑπό
τὴν RA--ASF--- ὁ
σκέπην N1--ASF--- σκέπη
αὐτοῦ RD--GSM--- αὐτός
ζήσονται VF--FMI3P- ζάω
καὶ C--------- καί
μεθυσθήσονται VS--FPI3P- μεθύω
σίτῳ N2--DSM--- σῖτος
καὶ C--------- καί
ἐξανθήσει VF--FAI3S- ἀνθέω ἐκ
ὡς C--------- ὡς
ἄμπελος N2--NSF--- ἄμπελος
τὸ RA--NSN--- ὁ
μνημόσυνον N2N-NSN--- μνημόσυνον
αὐτοῦ RD--GSM--- αὐτός
ὡς C--------- ὡς
οἶνος N2--NSM--- οἶνος
Λιβάνου N2--GSM--- Λίβανος

Hos 14:9
τῷ RA--DSM--- ὁ
Εφραιμ N---DSM--- Ἐφράιμ
τί RI--NSN--- τίς
αὐτῷ RD--DSM--- αὐτός
ἔτι D--------- ἔτι
καὶ C--------- καί
εἰδώλοις N2N-DPN--- εἴδωλον
ἐγὼ RP--NS---- ἐγώ
ἐταπείνωσα VAI-AAI1S- ταπεινόω
αὐτόν RD--ASM--- αὐτός
καὶ C--------- καί
ἐγὼ RP--NS---- ἐγώ
κατισχύσω VF--FAI1S- ἰσχύω κατα
αὐτόν RD--ASM--- αὐτός
ἐγὼ RP--NS---- ἐγώ
ὡς C--------- ὡς
ἄρκευθος N2--NSF--- ἄρκευθος
πυκάζουσα V1--PAPNSF πυκάζω
ἐξ P--------- ἐκ
ἐμοῦ RP--GS---- ἐγώ
ὁ RA--NSM--- ὁ
καρπός N2--NSM--- καρπός
σου RP--GS---- σύ
εὕρηται VM--XPI3S- εὑρίσκω

Hos 14:10
τίς RI--NSM--- τίς
σοφὸς A1--NSM--- σοφός
καὶ C--------- καί
συνήσει VF--FAI3S- ἵημι συν
ταῦτα RD--APN--- οὗτος
ἢ C--------- ἤ
συνετὸς A1--NSM--- συνετός
καὶ C--------- καί
ἐπιγνώσεται VF--FMI3S- γιγνώσκω ἐπι
αὐτά RD--APN--- αὐτός
διότι C--------- διότι
εὐθεῖαι A3U-NPF--- εὐθύς
αἱ RA--NPF--- ὁ
ὁδοὶ N2--NPF--- ὁδός
τοῦ RA--GSM--- ὁ
κυρίου N2--GSM--- κύριος
καὶ C--------- καί
δίκαιοι A1A-NPM--- δίκαιος
πορεύσονται VF--FMI3P- πορεύομαι
ἐν P--------- ἐν
αὐταῖς RD--DPF--- αὐτός
οἱ RA--NPM--- ὁ
δὲ X--------- δέ
ἀσεβεῖς A3H-NPM--- ἀσεβής
ἀσθενήσουσιν VF--FAI3P- ἀσθενέω
ἐν P--------- ἐν
αὐταῖς RD--DPF--- αὐτός

