Wis 1:1
συνοικοῦντα V2--PAPASM οἰκέω συν

Wis 7:29
ἔστιν V9--PAI3S- εἰμί
γὰρ X--------- γάρ
αὕτη RD--NSF--- οὗτος
εὐπρεπεστέρα A3H-NSFC-- εὐπρεπής
ἡλίου N2--GSM--- ἥλιος
καὶ C--------- καί
ὑπὲρ P--------- ὑπέρ
πᾶσαν A1S-ASF--- πᾶς
ἄστρων N2N-GPN--- ἄστρον
θέσιν N3I-ASF--- θέσις
φωτὶ N3T-DSN--- φῶς
συγκρινομένη V1--PMPNSF κρίνω συν
εὑρίσκεται V1--PMI3S- εὑρίσκω
προτέρα A1A-NSFC-- πρῶτος

Wis 7:30
τοῦτο RD--ASN--- οὗτος
μὲν X--------- μέν
γὰρ X--------- γάρ
διαδέχεται V1--PMI3S- δέχομαι δια
νύξ N3--NSF--- νύξ
σοφίας N1A-GSF--- σοφία
δὲ X--------- δέ
οὐ D--------- οὐ
κατισχύει V1--PAI3S- ἰσχύω κατα
κακία N1A-NSF--- κακία

Wis 8:1
διατείνει V1--PAI3S- τείνω δια
δὲ X--------- δέ
ἀπὸ P--------- ἀπό
πέρατος N3T-GSN--- πέρας
ἐπὶ P--------- ἐπί
πέρας N3T-NSN--- πέρας
εὐρώστως D--------- εὐρώστως
καὶ C--------- καί
διοικεῖ V2--PAI3S- οἰκέω δια
τὰ RA--APN--- ὁ
πάντα A3--APN--- πᾶς
χρηστῶς D--------- χρηστῶς

Wis 8:2
ταύτην RD--ASF--- οὗτος
ἐφίλησα VAI-AAI1S- φιλέω
καὶ C--------- καί
ἐξεζήτησα VAI-AAI1S- ζητέω ἐκ
ἐκ P--------- ἐκ
νεότητός N3T-GSF--- νεότης
μου RP--GS---- ἐγώ
καὶ C--------- καί
ἐζήτησα VAI-AAI1S- ζητέω
νύμφην N1--ASF--- νύμφη
ἀγαγέσθαι VB--AMN--- ἄγω
ἐμαυτῷ RD--DSM--- ἐμαυτοῦ
καὶ C--------- καί
ἐραστὴς N1M-NSM--- ἐραστής
ἐγενόμην VBI-AMI1S- γίγνομαι
τοῦ RA--GSN--- ὁ
κάλλους N3E-GSN--- κάλλος
αὐτῆς RD--GSF--- αὐτός

Wis 8:3
εὐγένειαν N1A-ASF--- εὐγένεια
δοξάζει V1--PAI3S- δοξάζω
συμβίωσιν N3I-ASF--- συμβίωσις
θεοῦ N2--GSM--- θεός
ἔχουσα V1--PAPNSF ἔχω
καὶ C--------- καί
ὁ RA--NSM--- ὁ
πάντων A3--GPM--- πᾶς
δεσπότης N1M-NSM--- δεσπότης
ἠγάπησεν VAI-AAI3S- ἀγαπάω
αὐτήν RD--ASF--- αὐτός

Wis 8:4
μύστις N3D-NSF--- μύστις
γάρ X--------- γάρ
ἐστιν V9--PAI3S- εἰμί
τῆς RA--GSF--- ὁ
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
ἐπιστήμης N1--GSF--- ἐπιστήμη
καὶ C--------- καί
αἱρετὶς N3D-NSF--- αἱρετίς
τῶν RA--GPN--- ὁ
ἔργων N2N-GPN--- ἔργον
αὐτοῦ RD--GSM--- αὐτός

Wis 8:5
εἰ C--------- εἰ
δὲ X--------- δέ
πλοῦτός N2--NSM--- πλοῦτος
ἐστιν V9--PAI3S- εἰμί
ἐπιθυμητὸν A1B-NSN--- ἐπιθυμητός
κτῆμα N3M-NSN--- κτῆμα
ἐν P--------- ἐν
βίῳ N2--DSM--- βίος
τί RI--NSN--- τίς
σοφίας N1A-GSF--- σοφία
πλουσιώτερον A1A-NSNC-- πλούσιος
τῆς RA--GSF--- ὁ
τὰ RA--APN--- ὁ
πάντα A3--APN--- πᾶς
ἐργαζομένης V1--PMPGSF ἐργάζομαι

Wis 8:6
εἰ C--------- εἰ
δὲ X--------- δέ
φρόνησις N3I-NSF--- φρόνησις
ἐργάζεται V1--PMI3S- ἐργάζομαι
τίς RI--NSM--- τίς
αὐτῆς RD--GSF--- αὐτός
τῶν RA--GPN--- ὁ
ὄντων V9--PAPGPN εἰμί
μᾶλλόν D--------- μᾶλλον
ἐστιν V9--PAI3S- εἰμί
τεχνῖτις N3--NSF--- τεχνῖτις

Wis 8:7
καὶ C--------- καί
εἰ C--------- εἰ
δικαιοσύνην N1--ASF--- δικαιοσύνη
ἀγαπᾷ V3--PAI3S- ἀγαπάω
τις RI--NSM--- τις
οἱ RA--NPM--- ὁ
πόνοι N2--NPM--- πόνος
ταύτης RD--GSF--- οὗτος
εἰσὶν V9--PAI3P- εἰμί
ἀρεταί N1--NPF--- ἀρετή
σωφροσύνην N1--ASF--- σωφροσύνη
γὰρ X--------- γάρ
καὶ C--------- καί
φρόνησιν N3I-ASF--- φρόνησις
ἐκδιδάσκει V1--PAI3S- διδάσκω ἐκ
δικαιοσύνην N1--ASF--- δικαιοσύνη
καὶ C--------- καί
ἀνδρείαν A1A-ASF--- ἀνδρεῖος
ὧν RR--GPN--- ὅς
χρησιμώτερον A1--ASNC-- χρήσιμος
οὐδέν A3--ASN--- οὐδείς
ἐστιν V9--PAI3S- εἰμί
ἐν P--------- ἐν
βίῳ N2--DSM--- βίος
ἀνθρώποις N2--DPM--- ἄνθρωπος

Wis 8:8
εἰ C--------- εἰ
δὲ X--------- δέ
καὶ C--------- καί
πολυπειρίαν N1A-ASF--- πολυπειρία
ποθεῖ V2--PAI3S- ποθέω
τις RI--NSM--- τις
οἶδεν VX--XAI3S- οἶδα
τὰ RA--APN--- ὁ
ἀρχαῖα A1A-APN--- ἀρχαῖος
καὶ C--------- καί
τὰ RA--APN--- ὁ
μέλλοντα V1--PAPAPN μέλλω
εἰκάζει V1--PAI3S- εἰκάζω
ἐπίσταται V6--PMI3S- ἐπίσταμαι
στροφὰς N1--APF--- στροφή
λόγων N2--GPM--- λόγος
καὶ C--------- καί
λύσεις N3I-APF--- λύσις
αἰνιγμάτων N3M-GPN--- αἴνιγμα
σημεῖα N2N-APN--- σημεῖον
καὶ C--------- καί
τέρατα N3T-ASN--- τέρας
προγινώσκει V1--PAI3S- γιγνώσκω προ
καὶ C--------- καί
ἐκβάσεις N3I-APF--- ἔκβασις
καιρῶν N2--GPM--- καιρός
καὶ C--------- καί
χρόνων N2--GPM--- χρόνος

Wis 8:9
ἔκρινα VAI-AAI3S- κρίνω
τοίνυν X--------- τοίνυν
ταύτην RD--ASF--- οὗτος
ἀγαγέσθαι VB--AMN--- ἄγω
πρὸς P--------- πρός
συμβίωσιν V4--PAS3P- βιόω συν
εἰδὼς VX--XAPNSM οἶδα
ὅτι C--------- ὅτι
ἔσται VF--FMI3S- εἰμί
μοι RP--DS---- ἐγώ
σύμβουλος N2--NSM--- σύμβουλος
ἀγαθῶν A1--GPN--- ἀγαθός
καὶ C--------- καί
παραίνεσις N3I-NSF--- παραίνεσις
φροντίδων N3D-GPF--- φροντίς
καὶ C--------- καί
λύπης N1--GSF--- λύπη

Wis 8:10
ἕξω VF--FAI1S- ἔχω
δι' P--------- διά
αὐτὴν RD--ASF--- αὐτός
δόξαν N1S-ASF--- δόξα
ἐν P--------- ἐν
ὄχλοις N2--DPM--- ὄχλος
καὶ C--------- καί
τιμὴν N1--ASF--- τιμή
παρὰ P--------- παρά
πρεσβυτέροις N2--DPM--- πρεσβύτερος
ὁ RA--NSM--- ὁ
νέος A1A-NSM--- νέος

Wis 8:11
ὀξὺς A3U-NSM--- ὀξύς
εὑρεθήσομαι VC--FPI1S- εὑρίσκω
ἐν P--------- ἐν
κρίσει N3I-DSF--- κρίσις
καὶ C--------- καί
ἐν P--------- ἐν
ὄψει N3I-DSF--- ὄψις
δυναστῶν N1M-GPM--- δυνάστης
θαυμασθήσομαι VC--FPI1S- θαυμάζω

Wis 8:12
σιγῶντά V3--PAPASM σιγάω
με RP--AS---- ἐγώ
περιμενοῦσιν VF2-FAI3P- μένω περι
καὶ C--------- καί
φθεγγομένῳ V1--PMPDSM φθέγγομαι
προσέξουσιν VF--FAI3P- ἔχω προς
καὶ C--------- καί
λαλοῦντος V2--PAPGSM λαλέω
ἐπὶ P--------- ἐπί
πλεῖον A3C-ASF--- πολύς
χεῖρα N3--ASF--- χείρ
ἐπιθήσουσιν VF--FAI3P- τίθημι ἐπι
ἐπὶ P--------- ἐπί
στόμα N3M-ASN--- στόμα
αὐτῶν RD--GPM--- αὐτός

Wis 8:13
ἕξω VF--FAI1S- ἔχω
δι' P--------- διά
αὐτὴν RD--ASF--- αὐτός
ἀθανασίαν N1A-ASF--- ἀθανασία
καὶ C--------- καί
μνήμην N1--ASF--- μνήμη
αἰώνιον A1B-ASF--- αἰώνιος
τοῖς RA--DPM--- ὁ
μετ' P--------- μετά
ἐμὲ RP--AS---- ἐγώ
ἀπολείψω VF--FAI1S- λείπω ἀπο

Wis 8:14
διοικήσω VF--FAI1S- οἰκέω δια
λαούς N2--APM--- λαός
καὶ C--------- καί
ἔθνη N3E-APN--- ἔθνος
ὑποταγήσεταί VD--FPI3S- τάσσω ὑπο
μοι RP--DS---- ἐγώ

Wis 8:15
φοβηθήσονταί VC--FPI3P- φοβέω
με RP--AS---- ἐγώ
ἀκούσαντες VA--AAPNPM ἀκούω
τύραννοι N2--NPM--- τύραννος
φρικτοί A1--NPM--- φρικτός
ἐν P--------- ἐν
πλήθει N3E-DSN--- πλῆθος
φανοῦμαι VF2-FMI1S- φαίνω
ἀγαθὸς A1--NSM--- ἀγαθός
καὶ C--------- καί
ἐν P--------- ἐν
πολέμῳ N2--DSM--- πόλεμος
ἀνδρεῖος A1A-NSM--- ἀνδρεῖος

Wis 8:16
εἰσελθὼν VB--AAPNSM ἔρχομαι εἰς
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
οἶκόν N2--ASM--- οἶκος
μου RP--GS---- ἐγώ
προσαναπαύσομαι VF--FMI1S- παύω προς ἀνα
αὐτῇ RD--DSF--- αὐτός
οὐ D--------- οὐ
γὰρ X--------- γάρ
ἔχει V1--PAI3S- ἔχω
πικρίαν N1A-ASF--- πικρία
ἡ RA--NSF--- ὁ
συναναστροφὴ N1--NSF--- συναναστροφή
αὐτῆς RD--GSF--- αὐτός
οὐδὲ C--------- οὐδέ
ὀδύνην N1--ASF--- ὀδύνη
ἡ RA--NSF--- ὁ
συμβίωσις N3I-NSF--- συμβίωσις
αὐτῆς RD--GSF--- αὐτός
ἀλλὰ C--------- ἀλλά
εὐφροσύνην N1--ASF--- εὐφροσύνη
καὶ C--------- καί
χαράν N1A-ASF--- χαρά

Wis 8:17
ταῦτα RD--APN--- οὗτος
λογισάμενος VA--AMPNSM λογίζομαι
ἐν P--------- ἐν
ἐμαυτῷ RD--DSM--- ἐμαυτοῦ
καὶ C--------- καί
φροντίσας VA--AAPNSM φροντίζω
ἐν P--------- ἐν
καρδίᾳ N1A-DSF--- καρδία
μου RP--GS---- ἐγώ
ὅτι C--------- ὅτι
ἀθανασία N1A-NSF--- ἀθανασία
ἐστὶν V9--PAI3S- εἰμί
ἐν P--------- ἐν
συγγενείᾳ N1A-DSF--- συγγένεια
σοφίας N1A-GSF--- σοφία

Wis 8:18
καὶ C--------- καί
ἐν P--------- ἐν
φιλίᾳ N1A-DSF--- φιλία
αὐτῆς RD--GSF--- αὐτός
τέρψις N3I-NSF--- τέρψις
ἀγαθὴ A1--NSF--- ἀγαθός
καὶ C--------- καί
ἐν P--------- ἐν
πόνοις N2--DPM--- πόνος
χειρῶν N3--GPF--- χείρ
αὐτῆς RD--GSF--- αὐτός
πλοῦτος N2--NSM--- πλοῦτος
ἀνεκλιπὴς A3H-NSM--- ἀνεκλιπής
καὶ C--------- καί
ἐν P--------- ἐν
συγγυμνασίᾳ N1A-DSF--- συγγυμνασία
ὁμιλίας N1A-GSF--- ὁμιλία
αὐτῆς RD--GSF--- αὐτός
φρόνησις N3I-NSF--- φρόνησις
καὶ C--------- καί
εὔκλεια N1A-NSF--- εὔκλεια
ἐν P--------- ἐν
κοινωνίᾳ N1A-DSF--- κοινωνία
λόγων N2--GPM--- λόγος
αὐτῆς RD--GSF--- αὐτός
περιῄειν V7--IAI1S- ἵημι περι
ζητῶν V2--PAPNSM ζητέω
ὅπως C--------- ὅπως
λάβω VB--AAS1S- λαμβάνω
αὐτὴν RD--ASF--- αὐτός
εἰς P--------- εἰς
ἐμαυτόν RD--ASM--- ἐμαυτοῦ

Wis 8:19
παῖς N3D-NSM--- παῖς
δὲ X--------- δέ
ἤμην V9--IAI1S- εἰμί
εὐφυὴς A3H-NSM--- εὐφυής
ψυχῆς N1--GSF--- ψυχή
τε X--------- τε
ἔλαχον VBI-AAI1S- λαγχάνω
ἀγαθῆς A1--GSF--- ἀγαθός

Wis 8:20
μᾶλλον D--------- μᾶλλον
δὲ X--------- δέ
ἀγαθὸς A1--NSM--- ἀγαθός
ὢν V9--PAPNSM εἰμί
ἦλθον VBI-AAI3P- ἔρχομαι
εἰς P--------- εἰς
σῶμα N3M-ASN--- σῶμα
ἀμίαντον A1B-ASN--- ἀμίαντος

Wis 8:21
γνοὺς VZ--AAPNSM γιγνώσκω
δὲ X--------- δέ
ὅτι C--------- ὅτι
οὐκ D--------- οὐ
ἄλλως D--------- ἄλλως
ἔσομαι VF--FMI1S- εἰμί
ἐγκρατής A3H-NSM--- ἐγκρατής
ἐὰν C--------- ἐάν
μὴ D--------- μή
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
δῷ VO--AAS3S- δίδωμι
καὶ C--------- καί
τοῦτο RD--NSN--- οὗτος
δ' X--------- δέ
ἦν V9--IAI3S- εἰμί
φρονήσεως N3I-GSF--- φρόνησις
τὸ RA--ASN--- ὁ
εἰδέναι VX--XAN--- οἶδα
τίνος RI--GSN--- τίς
ἡ RA--NSF--- ὁ
χάρις N3--NSF--- χάρις
ἐνέτυχον VBI-AAI1S- τυγχάνω ἐν
τῷ RA--DSM--- ὁ
κυρίῳ N2--DSM--- κύριος
καὶ C--------- καί
ἐδεήθην VCI-API1S- δέω
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
εἶπον VBI-AAI1S- εἶπον
ἐξ P--------- ἐκ
ὅλης A1--GSF--- ὅλος
τῆς RA--GSF--- ὁ
καρδίας N1A-GSF--- καρδία
μου RP--GS---- ἐγώ

Wis 9:1
θεὲ N2--VSM--- θεός
πατέρων N3--GPM--- πατήρ
καὶ C--------- καί
κύριε N2--VSM--- κύριος
τοῦ RA--GSN--- ὁ
ἐλέους N3E-GSN--- ἔλεος
ὁ RA--NSM--- ὁ
ποιήσας VA--AAPNSM ποιέω
τὰ RA--APN--- ὁ
πάντα A3--APN--- πᾶς
ἐν P--------- ἐν
λόγῳ N2--DSM--- λόγος
σου RP--GS---- σύ

Wis 9:2
καὶ C--------- καί
τῇ RA--DSF--- ὁ
σοφίᾳ N1A-DSF--- σοφία
σου RP--GS---- σύ
κατασκευάσας VA--AAPNSM σκευάζω κατα
ἄνθρωπον N2--ASM--- ἄνθρωπος
ἵνα C--------- ἵνα
δεσπόζῃ V1--PAS3S- δεσπόζω
τῶν RA--GPN--- ὁ
ὑπὸ P--------- ὑπό
σοῦ RP--GS---- σύ
γενομένων VB--AMPGPN γίγνομαι
κτισμάτων N3M-GPN--- κτίσμα

Wis 9:3
καὶ C--------- καί
διέπῃ V1--PAS3S- ἕπω δια
τὸν RA--ASM--- ὁ
κόσμον N2--ASM--- κόσμος
ἐν P--------- ἐν
ὁσιότητι N3T-DSF--- ὁσιότης
καὶ C--------- καί
δικαιοσύνῃ N1--DSF--- δικαιοσύνη
καὶ C--------- καί
ἐν P--------- ἐν
εὐθύτητι N3T-DSF--- εὐθύτης
ψυχῆς N1--GSF--- ψυχή
κρίσιν N3I-ASF--- κρίσις
κρίνῃ V1--PAS3S- κρίνω

Wis 9:4
δός VO--AAD2S- δίδωμι
μοι RP--DS---- ἐγώ
τὴν RA--ASF--- ὁ
τῶν RA--GPM--- ὁ
σῶν A1--GPM--- σός
θρόνων N2--GPM--- θρόνος
πάρεδρον N2--ASM--- πάρεδρος
σοφίαν N1A-ASF--- σοφία
καὶ C--------- καί
μή D--------- μή
με RP--AS---- ἐγώ
ἀποδοκιμάσῃς VA--AAS2S- δοκιμάζω ἀπο
ἐκ P--------- ἐκ
παίδων N3D-GPM--- παῖς
σου RP--GS---- σύ

Wis 9:5
ὅτι C--------- ὅτι
ἐγὼ RP--NS---- ἐγώ
δοῦλος N2--NSM--- δοῦλος
σὸς A1--NSM--- σός
καὶ C--------- καί
υἱὸς N2--NSM--- υἱός
τῆς RA--GSF--- ὁ
παιδίσκης N1--GSF--- παιδίσκη
σου RP--GS---- σύ
ἄνθρωπος N2--NSM--- ἄνθρωπος
ἀσθενὴς A3H-NSM--- ἀσθενής
καὶ C--------- καί
ὀλιγοχρόνιος A1A-NSM--- ὀλιγοχρόνιος
καὶ C--------- καί
ἐλάσσων A3C-NSM--- ἐλαχύς
ἐν P--------- ἐν
συνέσει N3I-DSF--- σύνεσις
κρίσεως N3I-GSF--- κρίσις
καὶ C--------- καί
νόμων N2--GPM--- νόμος

Wis 9:6
κἂν C+X------- καί+ἄν
γάρ X--------- γάρ
τις RI--NSM--- τις
ᾖ V9--PAS3S- εἰμί
τέλειος A1A-NSM--- τέλειος
ἐν P--------- ἐν
υἱοῖς N2--DPM--- υἱός
ἀνθρώπων N2--GPM--- ἄνθρωπος
τῆς RA--GSF--- ὁ
ἀπὸ P--------- ἀπό
σοῦ RP--GS---- σύ
σοφίας N1A-GSF--- σοφία
ἀπούσης V9--PAPGSF εἰμί ἀπο
εἰς P--------- εἰς
οὐδὲν A3--ASN--- οὐδείς
λογισθήσεται VS--FPI3S- λογίζομαι

Wis 9:7
σύ RP--NS---- σύ
με RP--AS---- ἐγώ
προείλω VAI-AMI2S- αἱρέω προ
βασιλέα N3V-ASM--- βασιλεύς
λαοῦ N2--GSM--- λαός
σου RP--GS---- σύ
καὶ C--------- καί
δικαστὴν N1M-ASM--- δικαστής
υἱῶν N2--GPM--- υἱός
σου RP--GS---- σύ
καὶ C--------- καί
θυγατέρων N3--GPF--- θυγάτηρ

Wis 9:8
εἶπας VAI-AAI2S- εἶπον
οἰκοδομῆσαι VA--AAN--- οἰκοδομέω
ναὸν N2--ASM--- ναός
ἐν P--------- ἐν
ὄρει N3E-DSN--- ὄρος
ἁγίῳ A1A-DSN--- ἅγιος
σου RP--GS---- σύ
καὶ C--------- καί
ἐν P--------- ἐν
πόλει N3I-DSF--- πόλις
κατασκηνώσεώς N3I-GSF--- κατασκήνωσις
σου RP--GS---- σύ
θυσιαστήριον N2N-ASN--- θυσιαστήριον
μίμημα N3M-ASN--- μίμημα
σκηνῆς N1--GSF--- σκηνή
ἁγίας A1A-GSF--- ἅγιος
ἣν RR--ASF--- ὅς
προητοίμασας VAI-AAI2S- ἑτοιμάζω προ
ἀπ' P--------- ἀπό
ἀρχῆς N1--GSF--- ἀρχή

Wis 9:9
καὶ C--------- καί
μετὰ P--------- μετά
σοῦ RP--GS---- σύ
ἡ RA--NSF--- ὁ
σοφία N1A-NSF--- σοφία
ἡ RA--NSF--- ὁ
εἰδυῖα VX--XAPNSF οἶδα
τὰ RA--APN--- ὁ
ἔργα N2N-APN--- ἔργον
σου RP--GS---- σύ
καὶ C--------- καί
παροῦσα V9--PAPNSF εἰμί παρα
ὅτε D--------- ὅτε
ἐποίεις V2I-IAI2S- ποιέω
τὸν RA--ASM--- ὁ
κόσμον N2--ASM--- κόσμος
καὶ C--------- καί
ἐπισταμένη V6--PMPNSF ἐπίσταμαι
τί RI--ASN--- τίς
ἀρεστὸν A1--ASN--- ἀρεστός
ἐν P--------- ἐν
ὀφθαλμοῖς N2--DPM--- ὀφθαλμός
σου RP--GS---- σύ
καὶ C--------- καί
τί RI--ASN--- τίς
εὐθὲς A3H-ASN--- εὐθής
ἐν P--------- ἐν
ἐντολαῖς N1--DPF--- ἐντολή
σου RP--GS---- σύ

Wis 9:10
ἐξαπόστειλον VA--AAD2S- στέλλω ἐκ ἀπο
αὐτὴν RD--ASF--- αὐτός
ἐξ P--------- ἐκ
ἁγίων A1A-GPM--- ἅγιος
οὐρανῶν N2--GPM--- οὐρανός
καὶ C--------- καί
ἀπὸ P--------- ἀπό
θρόνου N2--GSM--- θρόνος
δόξης N1S-GSF--- δόξα
σου RP--GS---- σύ
πέμψον VA--AAD2S- πέμπω
αὐτήν RD--ASF--- αὐτός
ἵνα C--------- ἵνα
συμπαροῦσά V9--PAPNSF εἰμί συν παρα
μοι RP--DS---- ἐγώ
κοπιάσῃ VA--AAS3S- κοπιάω
καὶ C--------- καί
γνῶ VZ--AAS1S- γιγνώσκω
τί RI--NSN--- τίς
εὐάρεστόν A1B-NSN--- εὐάρεστος
ἐστιν V9--PAI3S- εἰμί
παρὰ P--------- παρά
σοί RP--DS---- σύ

Wis 9:11
οἶδε VX--XAI3S- οἶδα
γὰρ X--------- γάρ
ἐκείνη RD--NSF--- ἐκεῖνος
πάντα A3--APN--- πᾶς
καὶ C--------- καί
συνίει V7--PAI3S- ἵημι συν
καὶ C--------- καί
ὁδηγήσει VF--FAI3S- ὁδηγέω
με RP--AS---- ἐγώ
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
πράξεσί N3I-DPF--- πρᾶξις
μου RP--GS---- ἐγώ
σωφρόνως D--------- σωφρόνως
καὶ C--------- καί
φυλάξει VF--FAI3S- φυλάσσω
με RP--AS---- ἐγώ
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
δόξῃ N1S-DSF--- δόξα
αὐτῆς RD--GSF--- αὐτός

Wis 9:12
καὶ C--------- καί
ἔσται VF--FMI3S- εἰμί
προσδεκτὰ A1--NPN--- προσδεκτός
τὰ RA--NPN--- ὁ
ἔργα N2N-NPN--- ἔργον
μου RP--GS---- ἐγώ
καὶ C--------- καί
διακρινῶ VF2-FAI1S- κρίνω δια
τὸν RA--ASM--- ὁ
λαόν N2--ASM--- λαός
σου RP--GS---- σύ
δικαίως D--------- δικαίως
καὶ C--------- καί
ἔσομαι VF--FMI1S- εἰμί
ἄξιος A1A-NSM--- ἄξιος
θρόνων N2--GPM--- θρόνος
πατρός N3--GSM--- πατήρ
μου RP--GS---- ἐγώ

Wis 9:13
τίς RI--NSM--- τίς
γὰρ X--------- γάρ
ἄνθρωπος N2--NSM--- ἄνθρωπος
γνώσεται VF--FMI3S- γιγνώσκω
βουλὴν N1--ASF--- βουλή
θεοῦ N2--GSM--- θεός
ἢ C--------- ἤ
τίς RI--NSM--- τίς
ἐνθυμηθήσεται VC--FPI3S- θυμέομαι ἐν
τί RI--ASN--- τίς
θέλει V1--PAI3S- θέλω
ὁ RA--NSM--- ὁ
κύριος N2--NSM--- κύριος

Wis 9:14
λογισμοὶ N2--NPM--- λογισμός
