Jdt 1:1
Jdt 6:16
καὶ C--------- καί
συνεκάλεσαν VAI-AAI3P- καλέω συν
πάντας A3--APM--- πᾶς
τοὺς RA--APM--- ὁ
πρεσβυτέρους A1A-APMC-- πρεσβύτερος
τῆς RA--GSF--- ὁ
πόλεως N3I-GSF--- πόλις
καὶ C--------- καί
συνέδραμον VBI-AAI3P- τρέχω συν
πᾶς A3--NSM--- πᾶς
νεανίσκος N2--NSM--- νεανίσκος
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
αἱ RA--NPF--- ὁ
γυναῖκες N3K-NPF--- γυνή
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
ἐκκλησίαν N1A-ASF--- ἐκκλησία
καὶ C--------- καί
ἔστησαν VHI-AAI3P- ἵστημι
τὸν RA--ASM--- ὁ
Αχιωρ N---ASM--- Αχιωρ
ἐν P--------- ἐν
μέσῳ A1--DSN--- μέσος
παντὸς A3--GSM--- πᾶς
τοῦ RA--GSM--- ὁ
λαοῦ N2--GSM--- λαός
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ἐπηρώτησεν VAI-AAI3S- ἐρωτάω ἐπι
αὐτὸν RD--ASM--- αὐτός
Οζιας N---NSM--- Οζιας
τὸ RA--ASN--- ὁ
συμβεβηκός VX--XAPASN βαίνω συν

Jdt 6:17
καὶ C--------- καί
ἀποκριθεὶς VC--APPNSM κρίνω ἀπο
ἀπήγγειλεν VAI-AAI3S- ἀγγέλλω ἀπο
αὐτοῖς RD--DPM--- αὐτός
τὰ RA--APN--- ὁ
ῥήματα N3M-APN--- ῥῆμα
τῆς RA--GSF--- ὁ
συνεδρίας N1A-GSF--- συνεδρία
Ολοφέρνου N1M-GSM--- Ολοφέρνης
καὶ C--------- καί
πάντα A3--APN--- πᾶς
τὰ RA--APN--- ὁ
ῥήματα N3M-APN--- ῥῆμα
ὅσα A1--APN--- ὅσος
ἐλάλησεν VAI-AAI3S- λαλέω
ἐν P--------- ἐν
μέσῳ A1--DSN--- μέσος
τῶν RA--GPM--- ὁ
ἀρχόντων N3--GPM--- ἄρχων
υἱῶν N2--GPM--- υἱός
Ασσουρ N---GSM--- Ασσουρ
καὶ C--------- καί
ὅσα A1--APN--- ὅσος
ἐμεγαλορρημόνησεν VAI-AAI3S- μεγαλορρημονέω
Ολοφέρνης N1M-NSM--- Ολοφέρνης
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
οἶκον N2--ASM--- οἶκος
Ισραηλ N---GSM--- Ἰσραήλ

Jdt 6:18
καὶ C--------- καί
πεσόντες VF--FAPNPM πίπτω
ὁ RA--NSM--- ὁ
λαὸς N2--NSM--- λαός
προσεκύνησαν VAI-AAI3P- κυνέω προς
τῷ RA--DSM--- ὁ
θεῷ N2--DSM--- θεός
καὶ C--------- καί
ἐβόησαν VAI-AAI3P- βοάω
λέγοντες V1--PAPNPM λέγω

Jdt 6:19
κύριε N2--VSM--- κύριος
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
κάτιδε VB--AAD2S- ὁράω κατα
ἐπὶ P--------- ἐπί
τὰς RA--APF--- ὁ
ὑπερηφανίας N1A-APF--- ὑπερηφανία
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ἐλέησον VA--AAD2S- ἐλεέω
τὴν RA--ASF--- ὁ
ταπείνωσιν N3I-ASF--- ταπείνωσις
τοῦ RA--GSN--- ὁ
γένους N3E-GSN--- γένος
ἡμῶν RP--GP---- ἐγώ
καὶ C--------- καί
ἐπίβλεψον VA--AAD2S- βλέπω ἐπι
ἐπὶ P--------- ἐπί
τὸ RA--ASN--- ὁ
πρόσωπον N2N-ASN--- πρόσωπον
τῶν RA--GPM--- ὁ
ἡγιασμένων VT--XMPGPM ἁγιάζω
σοι RP--DS---- σύ
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ἡμέρᾳ N1A-DSF--- ἡμέρα
ταύτῃ RD--DSF--- οὗτος

Jdt 6:20
καὶ C--------- καί
παρεκάλεσαν VAI-AAI3P- καλέω παρα
τὸν RA--ASM--- ὁ
Αχιωρ N---ASM--- Αχιωρ
καὶ C--------- καί
ἐπῄνεσαν VAI-AAI3P- αἰνέω ἐπι
αὐτὸν RD--ASM--- αὐτός
σφόδρα D--------- σφόδρα

Jdt 6:21
καὶ C--------- καί
παρέλαβεν VBI-AAI3S- λαμβάνω παρα
αὐτὸν RD--ASM--- αὐτός
Οζιας N---NSM--- Οζιας
ἐκ P--------- ἐκ
τῆς RA--GSF--- ὁ
ἐκκλησίας N1A-GSF--- ἐκκλησία
εἰς P--------- εἰς
οἶκον N2--ASM--- οἶκος
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἐποίησεν VAI-AAI3S- ποιέω
πότον N2--ASN--- πότος
τοῖς RA--DPM--- ὁ
πρεσβυτέροις A1A-DPMC-- πρεσβύτερος
καὶ C--------- καί
ἐπεκαλέσαντο VAI-AMI3P- καλέω ἐπι
τὸν RA--ASM--- ὁ
θεὸν N2--ASM--- θεός
Ισραηλ N---GSM--- Ἰσραήλ
εἰς P--------- εἰς
βοήθειαν N1A-ASF--- βοήθεια
ὅλην A1--ASF--- ὅλος
τὴν RA--ASF--- ὁ
νύκτα N3--ASF--- νύξ
ἐκείνην RD--ASF--- ἐκεῖνος

Jdt 7:1
τῇ RA--DSF--- ὁ
δὲ X--------- δέ
ἐπαύριον D--------- ἐπαύριον
παρήγγειλεν VAI-AAI3S- ἀγγέλλω παρα
Ολοφέρνης N1M-NSM--- Ολοφέρνης
πάσῃ A1S-DSF--- πᾶς
τῇ RA--DSF--- ὁ
στρατιᾷ N1A-DSF--- στρατιά
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
παντὶ A3--DSM--- πᾶς
τῷ RA--DSM--- ὁ
λαῷ N2--DSM--- λαός
αὐτοῦ RD--GSM--- αὐτός
οἳ RR--NPM--- ὅς
παρεγένοντο VBI-AMI3P- γίγνομαι παρα
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
συμμαχίαν N1A-ASF--- συμμαχία
αὐτοῦ RD--GSM--- αὐτός
ἀναζευγνύειν V1--PAN--- ζευγνύω ἀνα
ἐπὶ P--------- ἐπί
Βαιτυλουα N---ASF--- Βαιτυλουα
καὶ C--------- καί
τὰς RA--APF--- ὁ
ἀναβάσεις N3I-APF--- ἀνάβασις
τῆς RA--GSF--- ὁ
ὀρεινῆς N1--GSF--- ὀρεινή
προκαταλαμβάνεσθαι V1--PMN--- λαμβάνω προ κατα
καὶ C--------- καί
ποιεῖν V2--PAN--- ποιέω
πόλεμον N2--ASM--- πόλεμος
πρὸς P--------- πρός
τοὺς RA--APM--- ὁ
υἱοὺς N2--APM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ

Jdt 7:2
καὶ C--------- καί
ἀνέζευξεν VAI-AAI3S- ζευγνύω ἀνα
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ἡμέρᾳ N1A-DSF--- ἡμέρα
ἐκείνῃ RD--DSF--- ἐκεῖνος
πᾶς A3--NSM--- πᾶς
ἀνὴρ N3--NSM--- ἀνήρ
δυνατὸς A1--NSM--- δυνατός
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ἡ RA--NSF--- ὁ
δύναμις N3I-NSF--- δύναμις
αὐτῶν RD--GPM--- αὐτός
ἀνδρῶν N3--GPM--- ἀνήρ
πολεμιστῶν N1--GPM--- πολεμιστής
χιλιάδες N3D-NPF--- χιλίας
πεζῶν A1--GPM--- πεζός
ἑκατὸν M--------- ἑκατόν
ἑβδομήκοντα M--------- ἑβδομήκοντα
καὶ C--------- καί
ἱππέων N3V-GPM--- ἱππεύς
χιλιάδες N3D-NPF--- χιλίας
δέκα M--------- δέκα
δύο M--------- δύο
χωρὶς P--------- χωρίς
τῆς RA--GSF--- ὁ
ἀποσκευῆς N1--GSF--- ἀποσκευή
καὶ C--------- καί
τῶν RA--GPM--- ὁ
ἀνδρῶν N3--GPM--- ἀνήρ
οἳ RR--NPM--- ὅς
ἦσαν V9--IAI3P- εἰμί
πεζοὶ A1--NPM--- πεζός
ἐν P--------- ἐν
αὐτοῖς RD--DPM--- αὐτός
πλῆθος N3E-NSN--- πλῆθος
πολὺ A1P-NSN--- πολύς
σφόδρα D--------- σφόδρα

Jdt 7:3
καὶ C--------- καί
παρενέβαλον VBI-AAI3P- βάλλω παρα ἐν
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
αὐλῶνι N3N-DSM--- αὐλών
πλησίον P--------- πλησίον
Βαιτυλουα N---GSF--- Βαιτυλουα
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
πηγῆς N1--GSF--- πηγή
καὶ C--------- καί
παρέτειναν VAI-AAI3P- τείνω παρα
εἰς P--------- εἰς
εὖρος N3E-ASN--- εὖρος
ἐπὶ P--------- ἐπί
Δωθαϊμ N---GS---- Δωθαϊμ
ἕως P--------- ἕως
Βελβαιμ N---GS---- Βελβαιμ
καὶ C--------- καί
εἰς P--------- εἰς
μῆκος N3E-ASN--- μῆκος
ἀπὸ P--------- ἀπό
Βαιτυλουα N---GSF--- Βαιτυλουα
ἕως P--------- ἕως
Κυαμωνος N---GS---- Κυαμών
ἥ RR--NSF--- ὅς
ἐστιν V9--PAI3S- εἰμί
ἀπέναντι P--------- ἀπέναντι
τοῦ RA--GSM--- ὁ
Εσδρηλων N---GSM--- Εσδρηλων

Jdt 7:4
οἱ RA--NPM--- ὁ
δὲ X--------- δέ
υἱοὶ N2--NPM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ
ὡς C--------- ὡς
εἶδον VBI-AAI3P- ὁράω
αὐτῶν RD--GPM--- αὐτός
τὸ RA--ASN--- ὁ
πλῆθος N3E-ASN--- πλῆθος
ἐταράχθησαν VQI-API3P- ταράσσω
σφόδρα D--------- σφόδρα
καὶ C--------- καί
εἶπαν VAI-AAI3P- εἶπον
ἕκαστος A1--NSM--- ἕκαστος
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
πλησίον D--------- πλησίον
αὐτοῦ RD--GSM--- αὐτός
νῦν D--------- νῦν
ἐκλείξουσιν VF--FAI3P- λείχω ἐκ
οὗτοι RD--NPM--- οὗτος
τὸ RA--ASN--- ὁ
πρόσωπον N2N-ASN--- πρόσωπον
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
πάσης A1S-GSF--- πᾶς
καὶ C--------- καί
οὔτε C--------- οὔτε
τὰ RA--NPN--- ὁ
ὄρη N3E-NPN--- ὄρος
τὰ RA--NPN--- ὁ
ὑψηλὰ A1--NPN--- ὑψηλός
οὔτε C--------- οὔτε
αἱ RA--NPF--- ὁ
φάραγγες N3G-NPF--- φάραγξ
οὔτε C--------- οὔτε
οἱ RA--NPM--- ὁ
βουνοὶ N2--NPM--- βουνός
ὑποστήσονται VF--FMI3P- ἵστημι ὑπο
τὸ RA--ASN--- ὁ
βάρος N3E-ASN--- βάρος
αὐτῶν RD--GPM--- αὐτός

Jdt 7:5
καὶ C--------- καί
ἀναλαβόντες VB--AAPNPM λαμβάνω ἀνα
ἕκαστος A1--NSM--- ἕκαστος
τὰ RA--APN--- ὁ
σκεύη N3--APN--- σκεῦος
τὰ RA--APN--- ὁ
πολεμικὰ A1--APN--- πολεμικός
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ἀνακαύσαντες VA--AAPNPM καίω ἀνα
πυρὰς N3R-APF--- πῦρ
ἐπὶ P--------- ἐπί
τοὺς RA--APM--- ὁ
πύργους N2--APM--- πύργος
αὐτῶν RD--GPM--- αὐτός
ἔμενον V1I-IAI3P- μένω
φυλάσσοντες V1--PAPNPM φυλάσσω
ὅλην A1--ASF--- ὅλος
τὴν RA--ASF--- ὁ
νύκτα N3--ASF--- νύξ
ἐκείνην RD--ASF--- ἐκεῖνος

Jdt 7:6
τῇ RA--DSF--- ὁ
δὲ X--------- δέ
ἡμέρᾳ N1A-DSF--- ἡμέρα
τῇ RA--DSF--- ὁ
δευτέρᾳ A1A-DSF--- δεύτερος
ἐξήγαγεν VBI-AAI3S- ἄγω ἐκ
Ολοφέρνης N1M-NSM--- Ολοφέρνης
πᾶσαν A1S-ASF--- πᾶς
τὴν RA--ASF--- ὁ
ἵππον N2--ASF--- ἵππος
αὐτοῦ RD--GSM--- αὐτός
κατὰ P--------- κατά
πρόσωπον N2N-ASN--- πρόσωπον
τῶν RA--GPM--- ὁ
υἱῶν N2--GPM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ
οἳ RR--NPM--- ὅς
ἦσαν V9--IAI3P- εἰμί
ἐν P--------- ἐν
Βαιτυλουα N---DSF--- Βαιτυλουα

Jdt 7:7
καὶ C--------- καί
ἐπεσκέψατο VAI-AMI3S- σκέπτομαι ἐπι
τὰς RA--APF--- ὁ
ἀναβάσεις N3I-APF--- ἀνάβασις
τῆς RA--GSF--- ὁ
πόλεως N3I-GSF--- πόλις
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
τὰς RA--APF--- ὁ
πηγὰς N1--APF--- πηγή
τῶν RA--GPN--- ὁ
ὑδάτων N3T-GPN--- ὕδωρ
ἐφώδευσεν VAI-AAI3S- ὁδεύω ἐπι
καὶ C--------- καί
προκατελάβετο VBI-AMI3S- λαμβάνω προ κατα
αὐτὰς RD--APF--- αὐτός
καὶ C--------- καί
ἐπέστησεν VHI-AAI3S- ἵστημι ἐπι
αὐταῖς RD--DPF--- αὐτός
παρεμβολὰς N1--APF--- παρεμβολή
ἀνδρῶν N3--GPM--- ἀνήρ
πολεμιστῶν N1--GPM--- πολεμιστής
καὶ C--------- καί
αὐτὸς RD--NSM--- αὐτός
ἀνέζευξεν VAI-AAI3S- ζευγνύω ἀνα
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
λαὸν N2--ASM--- λαός
αὐτοῦ RD--GSM--- αὐτός

Jdt 7:8
καὶ C--------- καί
προσελθόντες VB--AAPNPM ἔρχομαι προς
αὐτῷ RD--DSM--- αὐτός
πάντες A3--NPM--- πᾶς
ἄρχοντες N3--NPM--- ἄρχων
υἱῶν N2--GPM--- υἱός
Ησαυ N---GSM--- Ησαυ
καὶ C--------- καί
πάντες A3--NPM--- πᾶς
οἱ RA--NPM--- ὁ
ἡγούμενοι V2--PMPNPM ἡγέομαι
τοῦ RA--GSM--- ὁ
λαοῦ N2--GSM--- λαός
Μωαβ N---GSF--- Μωαβ
καὶ C--------- καί
οἱ RA--NPM--- ὁ
στρατηγοὶ N2--NPM--- στρατηγός
τῆς RA--GSF--- ὁ
παραλίας A1A-GSF--- παράλιος
εἶπαν VAI-AAI3P- εἶπον

Jdt 7:9
ἀκουσάτω VA--AAD3S- ἀκούω
δὴ X--------- δή
λόγον N2--ASM--- λόγος
ὁ RA--NSM--- ὁ
δεσπότης N1M-NSM--- δεσπότης
ἡμῶν RP--GP---- ἐγώ
ἵνα C--------- ἵνα
μὴ D--------- μή
γένηται VB--AMS3S- γίγνομαι
θραῦσμα N3M-NSN--- θραῦσμα
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
δυνάμει N3I-DSF--- δύναμις
σου RP--GS---- σύ

Jdt 7:10
ὁ RA--NSM--- ὁ
γὰρ X--------- γάρ
λαὸς N2--NSM--- λαός
οὗτος RD--NSM--- οὗτος
τῶν RA--GPM--- ὁ
υἱῶν N2--GPM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ
οὐ D--------- οὐ
πέποιθαν VX--XAI3P- πείθω
ἐπὶ P--------- ἐπί
τοῖς RA--DPN--- ὁ
δόρασιν N3--DPN--- δόρυ
αὐτῶν RD--GPM--- αὐτός
ἀλλ' C--------- ἀλλά
ἐπὶ P--------- ἐπί
τοῖς RA--DPN--- ὁ
ὕψεσι N3E-DPN--- ὕψος
τῶν RA--GPN--- ὁ
ὀρέων N3E-GPN--- ὄρος
ἐν P--------- ἐν
οἷς RR--DPN--- ὅς
αὐτοὶ RD--NPM--- αὐτός
ἐνοικοῦσιν V2--PAI3P- οἰκέω ἐν
ἐν P--------- ἐν
αὐτοῖς RD--DPN--- αὐτός
οὐ D--------- οὐ
γάρ X--------- γάρ
ἐστιν V9--PAI3S- εἰμί
εὐχερὲς A3H-NSN--- εὐχερής
προσβῆναι VZ--AAN--- βαίνω προς
ταῖς RA--DPF--- ὁ
κορυφαῖς N1--DPF--- κορυφή
τῶν RA--GPN--- ὁ
ὀρέων N3E-GPN--- ὄρος
αὐτῶν RD--GPM--- αὐτός

Jdt 7:11
καὶ C--------- καί
νῦν D--------- νῦν
δέσποτα N1M-VSM--- δεσπότης
μὴ D--------- μή
πολέμει V2--PAD2S- πολεμέω
πρὸς P--------- πρός
αὐτοὺς RD--APM--- αὐτός
καθὼς C--------- καθώς
γίνεται V1--PMI3S- γίγνομαι
πόλεμος N2--NSM--- πόλεμος
παρατάξεως N3I-GSF--- παράταξις
καὶ C--------- καί
οὐ D--------- οὐ
πεσεῖται VF2-FMI3S- πίπτω
ἐκ P--------- ἐκ
τοῦ RA--GSM--- ὁ
λαοῦ N2--GSM--- λαός
σου RP--GS---- σύ
ἀνὴρ N3--NSM--- ἀνήρ
εἷς N3N-NSM--- εἷς

Jdt 7:12
ἀνάμεινον VA--AAD2S- μένω ἀνα
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
παρεμβολῆς N1--GSF--- παρεμβολή
σου RP--GS---- σύ
διαφυλάσσων V1--PAPNSM φυλάσσω δια
πάντα A3--ASM--- πᾶς
ἄνδρα N3--ASM--- ἀνήρ
ἐκ P--------- ἐκ
τῆς RA--GSF--- ὁ
δυνάμεώς N3I-GSF--- δύναμις
σου RP--GS---- σύ
καὶ C--------- καί
ἐπικρατησάτωσαν VA--AAD3P- κρατέω ἐπι
οἱ RA--NPM--- ὁ
παῖδές N3D-NPM--- παῖς
σου RP--GS---- σύ
τῆς RA--GSF--- ὁ
πηγῆς N1--GSF--- πηγή
τοῦ RA--GSN--- ὁ
ὕδατος N3T-GSN--- ὕδωρ
ἣ RR--NSF--- ὅς
ἐκπορεύεται V1--PMI3S- πορεύομαι ἐκ
ἐκ P--------- ἐκ
τῆς RA--GSF--- ὁ
ῥίζης N1A-GSF--- ῥίζα
τοῦ RA--GSN--- ὁ
ὄρους N3E-GSN--- ὄρος

Jdt 7:13
διότι C--------- διότι
ἐκεῖθεν D--------- ἐκεῖθεν
ὑδρεύονται V1--PMI3P- ὑδρεύω
πάντες A3--NPM--- πᾶς
οἱ RA--NPM--- ὁ
κατοικοῦντες V2--PAPNPM οἰκέω κατα
Βαιτυλουα N---ASF--- Βαιτυλουα
καὶ C--------- καί
ἀνελεῖ VF2-FAI3S- αἱρέω ἀνα
αὐτοὺς RD--APM--- αὐτός
ἡ RA--NSF--- ὁ
δίψα N1S-NSF--- δίψα
καὶ C--------- καί
ἐκδώσουσι VF--FAI3P- δίδωμι ἐκ
τὴν RA--ASF--- ὁ
πόλιν N3I-ASF--- πόλις
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ἡμεῖς RP--NP---- ἐγώ
καὶ C--------- καί
ὁ RA--NSM--- ὁ
λαὸς N2--NSM--- λαός
ἡμῶν RP--GP---- ἐγώ
ἀναβησόμεθα VF--FMI1P- βαίνω ἀνα
ἐπὶ P--------- ἐπί
τὰς RA--APF--- ὁ
πλησίον D--------- πλησίον
κορυφὰς N1--APF--- κορυφή
τῶν RA--GPN--- ὁ
ὀρέων N3E-GPN--- ὄρος
καὶ C--------- καί
παρεμβαλοῦμεν VF2-FAI1P- βάλλω παρα ἐν
ἐπ' P--------- ἐπί
αὐταῖς RD--DPF--- αὐτός
εἰς P--------- εἰς
προφυλακὴν N1--ASF--- προφυλακή
τοῦ RA--GSN--- ὁ
μὴ D--------- μή
ἐξελθεῖν VB--AAN--- ἔρχομαι ἐκ
ἐκ P--------- ἐκ
τῆς RA--GSF--- ὁ
πόλεως N3I-GSF--- πόλις
ἄνδρα N3--ASM--- ἀνήρ
ἕνα A3--ASM--- εἷς

Jdt 7:14
καὶ C--------- καί
τακήσονται VF--FMI3P- τήκω
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
λιμῷ N2--DSM--- λιμός
αὐτοὶ RD--NPM--- αὐτός
καὶ C--------- καί
αἱ RA--NPF--- ὁ
γυναῖκες N3K-NPF--- γυνή
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
τὰ RA--NPN--- ὁ
τέκνα N2N-NPN--- τέκνον
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
πρὶν P--------- πρίν
ἐλθεῖν VB--AAN--- ἔρχομαι
τὴν RA--ASF--- ὁ
ῥομφαίαν N1A-ASF--- ῥομφαία
ἐπ' P--------- ἐπί
αὐτοὺς RD--APM--- αὐτός
καταστρωθήσονται VC--FPI3P- στρώννυμι κατα
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
πλατείαις A3U-DPF--- πλατύς
τῆς RA--GSF--- ὁ
οἰκήσεως N3I-GSF--- οἴκησις
αὐτῶν RD--GPM--- αὐτός

Jdt 7:15
καὶ C--------- καί
ἀνταποδώσεις VF--FAI2S- δίδωμι ἀντι ἀπο
αὐτοῖς RD--DPM--- αὐτός
ἀνταπόδομα N3T-ASN--- ἀνταπόδομα
πονηρὸν A1A-ASN--- πονηρός
ἀνθ' P--------- ἀντί
ὧν RR--GPN--- ὅς
ἐστασίασαν VAI-AAI3P- στασιάζω
καὶ C--------- καί
οὐκ D--------- οὐ
ἀπήντησαν VAI-AAI3P- ἀντάω ἀπο
τῷ RA--DSN--- ὁ
προσώπῳ N2N-DSN--- πρόσωπον
σου RP--GS---- σύ
ἐν P--------- ἐν
εἰρήνῃ N1--DSF--- εἰρήνη

Jdt 7:16
καὶ C--------- καί
ἤρεσαν VAI-AAI3P- ἀρέσκω
οἱ RA--NPM--- ὁ
λόγοι N2--NPM--- λόγος
αὐτῶν RD--GPM--- αὐτός
ἐνώπιον P--------- ἐνώπιον
Ολοφέρνου N1M-GSM--- Ολοφέρνης
καὶ C--------- καί
ἐνώπιον P--------- ἐνώπιον
πάντων A3--GPM--- πᾶς
τῶν RA--GPM--- ὁ
θεραπόντων N3--GPM--- θεράπων
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
συνέταξε VAI-AAI3S- τάσσω συν
ποιεῖν V2--PAN--- ποιέω
καθὰ D--------- καθά
ἐλάλησαν VAI-AAI3P- λαλέω

Jdt 7:17
καὶ C--------- καί
ἀπῆρεν VAI-AAI3S- αἴρω ἀπο
παρεμβολὴ N1--NSF--- παρεμβολή
υἱῶν N2--GPM--- υἱός
Αμμων N---GSM--- Αμμων
καὶ C--------- καί
μετ' P--------- μετά
αὐτῶν RD--GPM--- αὐτός
χιλιάδες N3D-NPF--- χιλίας
πέντε M--------- πέντε
υἱῶν N2--GPM--- υἱός
Ασσουρ N---GSM--- Ασσουρ
καὶ C--------- καί
παρενέβαλον VBI-AAI3P- βάλλω παρα ἐν
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
αὐλῶνι N3N-DSM--- αὐλών
καὶ C--------- καί
προκατελάβοντο VBI-AMI3P- λαμβάνω προ κατα
τὰ RA--APN--- ὁ
ὕδατα N3T-APN--- ὕδωρ
καὶ C--------- καί
τὰς RA--APF--- ὁ
πηγὰς N1--APF--- πηγή
τῶν RA--GPN--- ὁ
ὑδάτων N3T-GPN--- ὕδωρ
τῶν RA--GPM--- ὁ
υἱῶν N2--GPM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ

Jdt 7:18
καὶ C--------- καί
ἀνέβησαν VZI-AAI3P- βαίνω ἀνα
οἱ RA--NPM--- ὁ
υἱοὶ N2--NPM--- υἱός
Ησαυ N---GSM--- Ησαυ
καὶ C--------- καί
οἱ RA--NPM--- ὁ
υἱοὶ N2--NPM--- υἱός
Αμμων N---GSM--- Αμμων
καὶ C--------- καί
