Jer 1:1
κακία N1A-NSF--- κακία
αὐτῆς RD--GSF--- αὐτός
ἀσέβεια N1A-NSF--- ἀσέβεια
καὶ C--------- καί
ταλαιπωρία N1A-NSF--- ταλαιπωρία
ἀκουσθήσεται VC--FPI3S- ἀκούω
ἐν P--------- ἐν
αὐτῇ RD--DSF--- αὐτός
ἐπὶ P--------- ἐπί
πρόσωπον N2N-ASN--- πρόσωπον
αὐτῆς RD--GSF--- αὐτός
διὰ P--------- διά
παντός A3--GSM--- πᾶς
πόνῳ N2--DSM--- πόνος
καὶ C--------- καί
μάστιγι N3G-DSF--- μάστιξ

Jer 6:8
παιδευθήσῃ VC--FPI2S- παιδεύω
Ιερουσαλημ N---VSF--- Ἰερουσαλήμ
μὴ D--------- μή
ἀποστῇ VH--AAS3S- ἵστημι ἀπο
ἡ RA--NSF--- ὁ
ψυχή N1--NSF--- ψυχή
μου RP--GS---- ἐγώ
ἀπὸ P--------- ἀπό
σοῦ RP--GS---- σύ
μὴ D--------- μή
ποιήσω VA--AAS1S- ποιέω
σε RP--AS---- σύ
ἄβατον A1B-ASF--- ἄβατος
γῆν N1--ASF--- γῆ
ἥτις RX--NSF--- ὅστις
οὐ D--------- οὐ
κατοικηθήσεται VC--FPI3S- οἰκέω κατα

Jer 6:9
ὅτι C--------- ὅτι
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
καλαμᾶσθε V3--PMI2P- καλαμάομαι
καλαμᾶσθε V3--PMI2P- καλαμάομαι
ὡς C--------- ὡς
ἄμπελον N2--ASF--- ἄμπελος
τὰ RA--APN--- ὁ
κατάλοιπα A1B-APN--- κατάλοιπος
τοῦ RA--GSM--- ὁ
Ισραηλ N---GSM--- Ἰσραήλ
ἐπιστρέψατε VA--AAD2P- στρέφω ἐπι
ὡς C--------- ὡς
ὁ RA--NSM--- ὁ
τρυγῶν V3--PAPNSM τρυγάω
ἐπὶ P--------- ἐπί
τὸν RA--ASM--- ὁ
κάρταλλον N2--ASM--- κάρταλλος
αὐτοῦ RD--GSM--- αὐτός

Jer 6:10
πρὸς P--------- πρός
τίνα RI--ASM--- τίς
λαλήσω VF--FAI1S- λαλέω
καὶ C--------- καί
διαμαρτύρωμαι V1--PMS1S- μαρτύρομαι δια
καὶ C--------- καί
ἀκούσεται VF--FMI3S- ἀκούω
ἰδοὺ I--------- ἰδού
ἀπερίτμητα A1B-NPN--- ἀπερίτμητος
τὰ RA--NPN--- ὁ
ὦτα N3T-NPN--- οὖς
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
οὐ D--------- οὐ
δύνανται V6--PMI3P- δύναμαι
ἀκούειν V1--PAN--- ἀκούω
ἰδοὺ I--------- ἰδού
τὸ RA--NSN--- ὁ
ῥῆμα N3M-NSN--- ῥῆμα
κυρίου N2--GSM--- κύριος
ἐγένετο VBI-AMI3S- γίγνομαι
αὐτοῖς RD--DPM--- αὐτός
εἰς P--------- εἰς
ὀνειδισμόν N2--ASM--- ὀνειδισμός
οὐ D--------- οὐ
μὴ D--------- μή
βουληθῶσιν VC--APS3P- βούλομαι
αὐτὸ RD--ASN--- αὐτός
ἀκοῦσαι VA--AAN--- ἀκούω

Jer 6:11
καὶ C--------- καί
τὸν RA--ASM--- ὁ
θυμόν N2--ASM--- θυμός
μου RP--GS---- ἐγώ
ἔπλησα VAI-AAI1S- πίμπλημι
καὶ C--------- καί
ἐπέσχον VBI-AAI1S- ἔχω ἐπι
καὶ C--------- καί
οὐ D--------- οὐ
συνετέλεσα VAI-AAI1S- τελέω συν
αὐτούς RD--APM--- αὐτός
ἐκχεῶ VF2-FAI1S- χέω ἐκ
ἐπὶ P--------- ἐπί
νήπια A1A-APN--- νήπιος
ἔξωθεν D--------- ἔξωθεν
καὶ C--------- καί
ἐπὶ P--------- ἐπί
συναγωγὴν N1--ASF--- συναγωγή
νεανίσκων N2--GPM--- νεανίσκος
ἅμα D--------- ἅμα
ὅτι C--------- ὅτι
ἀνὴρ N3--NSM--- ἀνήρ
καὶ C--------- καί
γυνὴ N3K-NSF--- γυνή
συλλημφθήσονται VV--FPI3P- λαμβάνω συν
πρεσβύτερος A1A-NSM--- πρεσβύτερος
μετὰ P--------- μετά
πλήρους A3H-GSM--- πλήρης
ἡμερῶν N1A-GPF--- ἡμέρα

Jer 6:12
καὶ C--------- καί
μεταστραφήσονται VD--FPI3P- στρέφω μετα
αἱ RA--NPF--- ὁ
οἰκίαι N1A-NPF--- οἰκία
αὐτῶν RD--GPM--- αὐτός
εἰς P--------- εἰς
ἑτέρους A1A-APM--- ἕτερος
ἀγροὶ N2--NPM--- ἀγρός
καὶ C--------- καί
αἱ RA--NPF--- ὁ
γυναῖκες N3K-NPF--- γυνή
αὐτῶν RD--GPM--- αὐτός
ἐπὶ P--------- ἐπί
τὸ RA--ASN--- ὁ
αὐτό RD--ASN--- αὐτός
ὅτι C--------- ὅτι
ἐκτενῶ VF2-FAI1S- τείνω ἐκ
τὴν RA--ASF--- ὁ
χεῖρά N3--ASF--- χείρ
μου RP--GS---- ἐγώ
ἐπὶ P--------- ἐπί
τοὺς RA--APM--- ὁ
κατοικοῦντας V2--PAPAPM οἰκέω κατα
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
ταύτην RD--ASF--- οὗτος
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος

Jer 6:13
ὅτι C--------- ὅτι
ἀπὸ P--------- ἀπό
μικροῦ A1A-GSM--- μικρός
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ἕως P--------- ἕως
μεγάλου A1--GSM--- μέγας
πάντες A3--NPM--- πᾶς
συνετελέσαντο VAI-AMI3P- τελέω συν
ἄνομα A1B-APN--- ἄνομος
ἀπὸ P--------- ἀπό
ἱερέως N3V-GSM--- ἱερεύς
καὶ C--------- καί
ἕως P--------- ἕως
ψευδοπροφήτου N1M-GSM--- ψευδοπροφήτης
πάντες A3--NPM--- πᾶς
ἐποίησαν VAI-AAI3P- ποιέω
ψευδῆ A3H-APN--- ψευδής

Jer 6:14
καὶ C--------- καί
ἰῶντο V3I-IMI3P- ἰάομαι
τὸ RA--ASN--- ὁ
σύντριμμα N3M-ASN--- σύντριμμα
τοῦ RA--GSM--- ὁ
λαοῦ N2--GSM--- λαός
μου RP--GS---- ἐγώ
ἐξουθενοῦντες V2--PAPNPM οὐθενέω ἐξ
καὶ C--------- καί
λέγοντες V1--PAPNPM λέγω
εἰρήνη N1--NSF--- εἰρήνη
εἰρήνη N1--NSF--- εἰρήνη
καὶ C--------- καί
ποῦ D--------- ποῦ
ἐστιν V9--PAI3S- εἰμί
εἰρήνη N1--NSF--- εἰρήνη

Jer 6:15
κατῃσχύνθησαν VCI-API3P- αἰσχύνω κατα
ὅτι C--------- ὅτι
ἐξελίποσαν VBI-AAI3P- λείπω ἐκ
καὶ C--------- καί
οὐδ' C--------- οὐδέ
ὧς C--------- ὡς
καταισχυνόμενοι V1--PMPNPM αἰσχύνω κατα
κατῃσχύνθησαν VCI-API3P- αἰσχύνω κατα
καὶ C--------- καί
τὴν RA--ASF--- ὁ
ἀτιμίαν N1A-ASF--- ἀτιμία
αὐτῶν RD--GPM--- αὐτός
οὐκ D--------- οὐ
ἔγνωσαν VZI-AAI3P- γιγνώσκω
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
πεσοῦνται VF2-FMI3P- πίπτω
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
πτώσει N3I-DSF--- πτῶσις
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ἐν P--------- ἐν
καιρῷ N2--DSM--- καιρός
ἐπισκοπῆς N1--GSF--- ἐπισκοπή
αὐτῶν RD--GPM--- αὐτός
ἀπολοῦνται VF2-FMI3P- ὀλλύω ἀπο
εἶπεν VBI-AAI3S- εἶπον
κύριος N2--NSM--- κύριος

Jer 6:16
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
στῆτε VH--AAD2P- ἵστημι
ἐπὶ P--------- ἐπί
ταῖς RA--DPF--- ὁ
ὁδοῖς N2--DPF--- ὁδός
καὶ C--------- καί
ἴδετε VB--AAD2P- ὁράω
καὶ C--------- καί
ἐρωτήσατε VA--AAD2P- ἐρωτάω
τρίβους N2--APF--- τρίβος
κυρίου N2--GSM--- κύριος
αἰωνίους A1A-APM--- αἰώνιος
καὶ C--------- καί
ἴδετε VB--AAD2P- ὁράω
ποία A1A-NSF--- ποῖος
ἐστὶν V9--PAI3S- εἰμί
ἡ RA--NSF--- ὁ
ὁδὸς N2--NSF--- ὁδός
ἡ RA--NSF--- ὁ
ἀγαθή A1--NSF--- ἀγαθός
καὶ C--------- καί
βαδίζετε V1--PAD2P- βαδίζω
ἐν P--------- ἐν
αὐτῇ RD--DSF--- αὐτός
καὶ C--------- καί
εὑρήσετε VF--FAI2P- εὑρίσκω
ἁγνισμὸν N2--ASM--- ἁγνισμός
ταῖς RA--DPF--- ὁ
ψυχαῖς N1--DPF--- ψυχή
ὑμῶν RP--GP---- σύ
καὶ C--------- καί
εἶπαν VAI-AAI3P- εἶπον
οὐ D--------- οὐ
πορευσόμεθα VF--FMI1P- πορεύομαι

Jer 6:17
κατέστακα VXI-XAI1S- ἵστημι κατα
ἐφ' P--------- ἐπί
ὑμᾶς RP--AP---- σύ
σκοπούς N2--APM--- σκοπός
ἀκούσατε VA--AAD2P- ἀκούω
τῆς RA--GSF--- ὁ
φωνῆς N1--GSF--- φωνή
τῆς RA--GSF--- ὁ
σάλπιγγος N3G-GSF--- σάλπιγξ
καὶ C--------- καί
εἶπαν VAI-AAI3P- εἶπον
οὐκ D--------- οὐ
ἀκουσόμεθα VF--FMI1P- ἀκούω

Jer 6:18
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
ἤκουσαν VAI-AAI3P- ἀκούω
τὰ RA--NPN--- ὁ
ἔθνη N3E-NPN--- ἔθνος
καὶ C--------- καί
οἱ RA--NPM--- ὁ
ποιμαίνοντες V1--PAPNPM ποιμαίνω
τὰ RA--APN--- ὁ
ποίμνια N2N-APN--- ποίμνιον
αὐτῶν RD--GPM--- αὐτός

Jer 6:19
ἄκουε V1--PAD2S- ἀκούω
γῆ N1--VSF--- γῆ
ἰδοὺ I--------- ἰδού
ἐγὼ RP--NS---- ἐγώ
ἐπάγω V1--PAI1S- ἄγω ἐπι
ἐπὶ P--------- ἐπί
τὸν RA--ASM--- ὁ
λαὸν N2--ASM--- λαός
τοῦτον RD--ASM--- οὗτος
κακά A1--APN--- κακός
τὸν RA--ASM--- ὁ
καρπὸν N2--ASM--- καρπός
ἀποστροφῆς N1--GSF--- ἀποστροφή
αὐτῶν RD--GPM--- αὐτός
ὅτι C--------- ὅτι
τῶν RA--GPM--- ὁ
λόγων N2--GPM--- λόγος
μου RP--GS---- ἐγώ
οὐ D--------- οὐ
προσέσχον VBI-AAI3P- ἔχω προς
καὶ C--------- καί
τὸν RA--ASM--- ὁ
νόμον N2--ASM--- νόμος
μου RP--GS---- ἐγώ
ἀπώσαντο VA--AMI3P- ὠθέω ἀπο

Jer 6:20
ἵνα C--------- ἵνα
τί RI--ASN--- τίς
μοι RP--DS---- ἐγώ
λίβανον N2--ASM--- λίβανος
ἐκ P--------- ἐκ
Σαβα N---GSF--- Σαβα
φέρετε V1--PAI2P- φέρω
καὶ C--------- καί
κιννάμωμον N2N-ASN--- κιννάμωμον
ἐκ P--------- ἐκ
γῆς N1--GSF--- γῆ
μακρόθεν D--------- μακρόθεν
τὰ RA--NPN--- ὁ
ὁλοκαυτώματα N3M-NPN--- ὁλοκαύτωμα
ὑμῶν RP--GP---- σύ
οὔκ D--------- οὐ
εἰσιν V9--PAI3P- εἰμί
δεκτά A1--NPN--- δεκτός
καὶ C--------- καί
αἱ RA--NPF--- ὁ
θυσίαι N1A-NPF--- θυσία
ὑμῶν RP--GP---- σύ
οὐχ D--------- οὐ
ἥδυνάν VA--AAI3P- ἡδύνω
μοι RP--DS---- ἐγώ

Jer 6:21
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
ἰδοὺ I--------- ἰδού
ἐγὼ RP--NS---- ἐγώ
δίδωμι V8--PAI1S- δίδωμι
ἐπὶ P--------- ἐπί
τὸν RA--ASM--- ὁ
λαὸν N2--ASM--- λαός
τοῦτον RD--ASM--- οὗτος
ἀσθένειαν N1A-ASF--- ἀσθένεια
καὶ C--------- καί
ἀσθενήσουσιν VF--FAI3P- ἀσθενέω
ἐν P--------- ἐν
αὐτῇ RD--DSF--- αὐτός
πατέρες N3--NPM--- πατήρ
καὶ C--------- καί
υἱοὶ N2--NPM--- υἱός
ἅμα D--------- ἅμα
γείτων N3N-NSM--- γείτων
καὶ C--------- καί
ὁ RA--NSM--- ὁ
πλησίον D--------- πλησίον
αὐτοῦ RD--GSM--- αὐτός
ἀπολοῦνται VF2-FMI3P- ὀλλύω ἀπο

Jer 6:22
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
ἰδοὺ I--------- ἰδού
λαὸς N2--NSM--- λαός
ἔρχεται V1--PMI3S- ἔρχομαι
ἀπὸ P--------- ἀπό
βορρᾶ N1T-GSM--- βορέας
καὶ C--------- καί
ἔθνη N3E-NPN--- ἔθνος
ἐξεγερθήσεται VC--FPI3S- ἐγείρω ἐκ
ἀπ' P--------- ἀπό
ἐσχάτου A1--GSM--- ἔσχατος
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ

Jer 6:23
τόξον N2N-ASN--- τόξον
καὶ C--------- καί
ζιβύνην N1--ASF--- ζιβύνη
κρατήσουσιν VF--FAI3P- κρατέω
ἰταμός A1--NSM--- ἰταμός
ἐστιν V9--PAI3S- εἰμί
καὶ C--------- καί
οὐκ D--------- οὐ
ἐλεήσει VF--FAI3S- ἐλεέω
φωνὴ N1--NSF--- φωνή
αὐτοῦ RD--GSM--- αὐτός
ὡς C--------- ὡς
θάλασσα N1S-NSF--- θάλασσα
κυμαίνουσα V1--PAPNSF κυμαίνω
ἐφ' P--------- ἐπί
ἵπποις N2--DPM--- ἵππος
καὶ C--------- καί
ἅρμασιν N3M-DPN--- ἅρμα
παρατάξεται VF--FMI3S- τάσσω παρα
ὡς C--------- ὡς
πῦρ N3--NSN--- πῦρ
εἰς P--------- εἰς
πόλεμον N2--ASM--- πόλεμος
πρὸς P--------- πρός
σέ RP--AS---- σύ
θύγατερ N3--VSF--- θυγάτηρ
Σιων N---GSF--- Σιων

Jer 6:24
ἠκούσαμεν VAI-AAI1P- ἀκούω
τὴν RA--ASF--- ὁ
ἀκοὴν N1--ASF--- ἀκοή
αὐτῶν RD--GPM--- αὐτός
παρελύθησαν VCI-API3P- λύω παρα
αἱ RA--NPF--- ὁ
χεῖρες N3--NPF--- χείρ
ἡμῶν RP--GP---- ἐγώ
θλῖψις N3I-NSF--- θλῖψις
κατέσχεν VBI-AAI3S- ἔχω κατα
ἡμᾶς RP--AP---- ἐγώ
ὠδῖνες N3--NPF--- ὠδίν
ὡς C--------- ὡς
τικτούσης V1--PAPGSF τίκτω

Jer 6:25
μὴ D--------- μή
ἐκπορεύεσθε V1--PMD2P- πορεύομαι ἐκ
εἰς P--------- εἰς
ἀγρὸν N2--ASM--- ἀγρός
καὶ C--------- καί
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
ὁδοῖς N2--DPF--- ὁδός
μὴ D--------- μή
βαδίζετε V1--PAD2P- βαδίζω
ὅτι C--------- ὅτι
ῥομφαία N1A-NSF--- ῥομφαία
τῶν RA--GPM--- ὁ
ἐχθρῶν N2--GPM--- ἐχθρός
παροικεῖ V2--PAI3S- οἰκέω παρα
κυκλόθεν D--------- κυκλόθεν

Jer 6:26
θύγατερ N3--VSF--- θυγάτηρ
λαοῦ N2--GSM--- λαός
μου RP--GS---- ἐγώ
περίζωσαι VA--AMD2S- ζώννυμι περι
σάκκον N2--ASM--- σάκκος
κατάπασαι VA--AMD2S- πάσσω κατα
ἐν P--------- ἐν
σποδῷ N2--DSF--- σποδός
πένθος N3E-ASN--- πένθος
ἀγαπητοῦ A1--GSM--- ἀγαπητός
ποίησαι VA--AMD2S- ποιέω
σεαυτῇ RD--DSF--- σεαυτοῦ
κοπετὸν N2--ASM--- κοπετός
οἰκτρόν A1A-ASM--- οἰκτρός
ὅτι C--------- ὅτι
ἐξαίφνης D--------- ἐξαίφνης
ἥξει VF--FAI3S- ἥκω
ταλαιπωρία N1A-NSF--- ταλαιπωρία
ἐφ' P--------- ἐπί
ὑμᾶς RP--AP---- σύ

Jer 6:27
δοκιμαστὴν N1M-ASM--- δοκιμαστής
δέδωκά VX--XAI1S- δίδωμι
σε RP--AS---- σύ
ἐν P--------- ἐν
λαοῖς N2--DPM--- λαός
δεδοκιμασμένοις VT--XMPDPM δοκιμάζω
καὶ C--------- καί
γνώσῃ VF--FMI2S- γιγνώσκω
με RP--AS---- ἐγώ
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
δοκιμάσαι VA--AAN--- δοκιμάζω
με RP--AS---- ἐγώ
τὴν RA--ASF--- ὁ
ὁδὸν N2--ASF--- ὁδός
αὐτῶν RD--GPM--- αὐτός

Jer 6:28
πάντες A3--NPM--- πᾶς
ἀνήκοοι A1B-NPM--- ἀνήκοος
πορευόμενοι V1--PMPNPM πορεύομαι
σκολιῶς D--------- σκολιῶς
χαλκὸς N2--NSM--- χαλκός
καὶ C--------- καί
σίδηρος N2--NSM--- σίδηρος
πάντες A3--NPM--- πᾶς
διεφθαρμένοι VM--XMPNPM φθείρω δια
εἰσίν V9--PAI3P- εἰμί

Jer 6:29
ἐξέλιπεν VBI-AAI3S- λείπω ἐκ
φυσητὴρ N3H-NSM--- φυσητήρ
ἀπὸ P--------- ἀπό
πυρός N3--GSN--- πῦρ
ἐξέλιπεν VBI-AAI3S- λείπω ἐκ
μόλιβος N2--NSM--- μολιβός
εἰς P--------- εἰς
κενὸν A1--ASM--- κενός
ἀργυροκόπος N2--NSM--- ἀργυροκόπος
ἀργυροκοπεῖ V2--PAI3S- ἀργυροκοπέω
πονηρία N1A-NSF--- πονηρία
αὐτῶν RD--GPM--- αὐτός
οὐκ D--------- οὐ
ἐτάκη VDI-API3S- τήκω

Jer 6:30
ἀργύριον N2N-ASN--- ἀργύριον
ἀποδεδοκιμασμένον VT--XMPASN δοκιμάζω ἀπο
καλέσατε VA--AAD2P- καλέω
αὐτούς RD--APM--- αὐτός
ὅτι C--------- ὅτι
ἀπεδοκίμασεν VAI-AAI3S- δοκιμάζω ἀπο
αὐτοὺς RD--APM--- αὐτός
κύριος N2--NSM--- κύριος

Jer 7:2
ἀκούσατε VA--AAD2P- ἀκούω
λόγον N2--ASM--- λόγος
κυρίου N2--GSM--- κύριος
πᾶσα A1S-NSF--- πᾶς
ἡ RA--NSF--- ὁ
Ιουδαία N1A-NSF--- Ἰουδαία

Jer 7:3
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
Ισραηλ N---GSM--- Ἰσραήλ
διορθώσατε VA--AAD2P- ὀρθόω δια
τὰς RA--APF--- ὁ
ὁδοὺς N2--APF--- ὁδός
ὑμῶν RP--GP---- σύ
καὶ C--------- καί
τὰ RA--APN--- ὁ
ἐπιτηδεύματα N3M-APN--- ἐπιτήδευμα
ὑμῶν RP--GP---- σύ
καὶ C--------- καί
κατοικιῶ VF2-FAI1S- οἰκίζω κατα
ὑμᾶς RP--AP---- σύ
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
τόπῳ N2--DSM--- τόπος
τούτῳ RD--DSM--- οὗτος

Jer 7:4
μὴ D--------- μή
πεποίθατε VX--XAD2P- πείθω
ἐφ' P--------- ἐπί
ἑαυτοῖς RD--DPM--- ἑαυτοῦ
ἐπὶ P--------- ἐπί
λόγοις N2--DPM--- λόγος
ψευδέσιν A3H-DPM--- ψευδής
ὅτι C--------- ὅτι
τὸ RA--ASN--- ὁ
παράπαν D--------- παράπαν
οὐκ D--------- οὐ
ὠφελήσουσιν VF--FAI3P- ὠφελέω
ὑμᾶς RP--AP---- σύ
λέγοντες V1--PAPNPM λέγω
ναὸς N2--NSM--- ναός
κυρίου N2--GSM--- κύριος
ναὸς N2--NSM--- ναός
κυρίου N2--GSM--- κύριος
ἐστίν V9--PAI3S- εἰμί

Jer 7:5
ὅτι C--------- ὅτι
ἐὰν C--------- ἐάν
διορθοῦντες V4--PAPNPM ὀρθόω δια
διορθώσητε VA--AAS2P- ὀρθόω δια
τὰς RA--APF--- ὁ
ὁδοὺς N2--APF--- ὁδός
ὑμῶν RP--GP---- σύ
καὶ C--------- καί
τὰ RA--APN--- ὁ
ἐπιτηδεύματα N3M-APN--- ἐπιτήδευμα
ὑμῶν RP--GP---- σύ
καὶ C--------- καί
ποιοῦντες V2--PAPNPM ποιέω
ποιήσητε VA--AAS2P- ποιέω
κρίσιν N3I-ASF--- κρίσις
ἀνὰ P--------- ἀνά
μέσον A1--ASN--- μέσος
ἀνδρὸς N3--GSM--- ἀνήρ
καὶ C--------- καί
ἀνὰ P--------- ἀνά
μέσον A1--ASN--- μέσος
τοῦ RA--GSM--- ὁ
πλησίον D--------- πλησίον
αὐτοῦ RD--GSM--- αὐτός

Jer 7:6
καὶ C--------- καί
προσήλυτον N2--ASM--- προσήλυτος
καὶ C--------- καί
ὀρφανὸν A1--ASM--- ὀρφανός
καὶ C--------- καί
χήραν N1A-ASF--- χήρα
μὴ D--------- μή
καταδυναστεύσητε VA--AAS2P- δυναστεύω κατα
καὶ C--------- καί
αἷμα N3M-ASN--- αἷμα
ἀθῷον A1--ASM--- ἀθῷος
μὴ D--------- μή
ἐκχέητε V2--PAS2P- χέω ἐκ
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
τόπῳ N2--DSM--- τόπος
τούτῳ RD--DSM--- οὗτος
καὶ C--------- καί
ὀπίσω P--------- ὀπίσω
θεῶν N2--GPM--- θεός
ἀλλοτρίων A1A-GPM--- ἀλλότριος
μὴ D--------- μή
πορεύησθε V1--PMS2P- πορεύομαι
εἰς P--------- εἰς
κακὸν A1--ASM--- κακός
ὑμῖν RP--DP---- σύ

Jer 7:7
καὶ D--------- καί
κατοικιῶ VF2-FAI1S- οἰκίζω κατα
ὑμᾶς RP--AP---- σύ
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
τόπῳ N2--DSM--- τόπος
τούτῳ RD--DSM--- οὗτος
ἐν P--------- ἐν
γῇ N1--DSF--- γῆ
ᾗ RR--DSF--- ὅς
ἔδωκα VAI-AAI1S- δίδωμι
τοῖς RA--DPM--- ὁ
πατράσιν N3--DPM--- πατήρ
ὑμῶν RP--GP---- σύ
ἐξ P--------- ἐκ
αἰῶνος N3W-GSM--- αἰών
καὶ C--------- καί
ἕως P--------- ἕως
αἰῶνος N3W-GSM--- αἰών

Jer 7:8
εἰ C--------- εἰ
δὲ X--------- δέ
ὑμεῖς RP--NP---- σύ
πεποίθατε VX--XAI2P- πείθω
ἐπὶ P--------- ἐπί
λόγοις N2--DPM--- λόγος
ψευδέσιν A3H-DPM--- ψευδής
