1Sa 1:1
πάντα A3--ASM--- πᾶς
τὸν RA--ASM--- ὁ
λαὸν N2--ASM--- λαός
ὑπὲρ P--------- ὑπέρ
ὠμίαν N1A-ASF--- ὠμία
καὶ C--------- καί
ἐπάνω D--------- ἐπάνω

1Sa 10:24
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Σαμουηλ N---NSM--- Σαμουηλ
πρὸς P--------- πρός
πάντα A3--ASM--- πᾶς
τὸν RA--ASM--- ὁ
λαόν N2--ASM--- λαός
εἰ X--------- εἰ
ἑοράκατε VX--XAI2P- ὁράω
ὃν RR--ASM--- ὅς
ἐκλέλεκται VK--XMI3S- λέγω ἐκ
ἑαυτῷ RD--DSM--- ἑαυτοῦ
κύριος N2--NSM--- κύριος
ὅτι C--------- ὅτι
οὐκ D--------- οὐ
ἔστιν V9--PAI3S- εἰμί
αὐτῷ RD--DSM--- αὐτός
ὅμοιος A1A-NSM--- ὅμοιος
ἐν P--------- ἐν
πᾶσιν A3--DPM--- πᾶς
ὑμῖν RP--DP---- σύ
καὶ C--------- καί
ἔγνωσαν VZI-AAI3P- γιγνώσκω
πᾶς A3--NSM--- πᾶς
ὁ RA--NSM--- ὁ
λαὸς N2--NSM--- λαός
καὶ C--------- καί
εἶπαν VAI-AAI3P- εἶπον
ζήτω V3--PAD3S- ζάω
ὁ RA--NSM--- ὁ
βασιλεύς N3V-NSM--- βασιλεύς

1Sa 10:25
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Σαμουηλ N---NSM--- Σαμουηλ
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
λαὸν N2--ASM--- λαός
τὸ RA--ASN--- ὁ
δικαίωμα N3M-ASN--- δικαίωμα
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
καὶ C--------- καί
ἔγραψεν VAI-AAI3S- γράφω
ἐν P--------- ἐν
βιβλίῳ N2N-DSN--- βιβλίον
καὶ C--------- καί
ἔθηκεν VAI-AAI3S- τίθημι
ἐνώπιον P--------- ἐνώπιον
κυρίου N2--GSM--- κύριος
καὶ C--------- καί
ἐξαπέστειλεν VAI-AAI3S- στέλλω ἐκ ἀπο
Σαμουηλ N---NSM--- Σαμουηλ
πάντα A3--ASM--- πᾶς
τὸν RA--ASM--- ὁ
λαόν N2--ASM--- λαός
καὶ C--------- καί
ἀπῆλθεν VBI-AAI3S- ἔρχομαι ἀπο
ἕκαστος A1--NSM--- ἕκαστος
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
τόπον N2--ASM--- τόπος
αὐτοῦ RD--GSM--- αὐτός

1Sa 10:26
καὶ C--------- καί
Σαουλ N---NSM--- Σαούλ
ἀπῆλθεν VBI-AAI3S- ἔρχομαι ἀπο
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
οἶκον N2--ASM--- οἶκος
αὐτοῦ RD--GSM--- αὐτός
εἰς P--------- εἰς
Γαβαα N---AS---- Γαβαα
καὶ C--------- καί
ἐπορεύθησαν VCI-API3P- πορεύομαι
υἱοὶ N2--NPM--- υἱός
δυνάμεων N3I-GPF--- δύναμις
ὧν RR--GPM--- ὅς
ἥψατο VAI-AMI3S- ἅπτομαι
κύριος N2--NSM--- κύριος
καρδίας N1A-APF--- καρδία
αὐτῶν RD--GPM--- αὐτός
μετὰ P--------- μετά
Σαουλ N---GSM--- Σαούλ

1Sa 10:27
καὶ C--------- καί
υἱοὶ N2--NPM--- υἱός
λοιμοὶ A1A-NPM--- λοιμός
εἶπαν VAI-AAI3P- εἶπον
τί RI--ASN--- τίς
σώσει VF--FAI3S- σώζω
ἡμᾶς RP--AP---- ἐγώ
οὗτος RD--NSM--- οὗτος
καὶ C--------- καί
ἠτίμασαν VAI-AAI3P- ἀτιμάζω
αὐτὸν RD--ASM--- αὐτός
καὶ C--------- καί
οὐκ D--------- οὐ
ἤνεγκαν VAI-AAI3P- φέρω
αὐτῷ RD--DSM--- αὐτός
δῶρα N2N-APN--- δῶρον

1Sa 11:1
καὶ C--------- καί
ἐγενήθη VCI-API3S- γίγνομαι
ὡς C--------- ὡς
μετὰ P--------- μετά
μῆνα N3--ASM--- μήν
καὶ C--------- καί
ἀνέβη VZI-AAI3S- βαίνω ἀνα
Ναας N---NSM--- Ναας
ὁ RA--NSM--- ὁ
Αμμανίτης N1M-NSM--- Αμμανίτης
καὶ C--------- καί
παρεμβάλλει V1--PAI3S- βάλλω παρα ἐν
ἐπὶ P--------- ἐπί
Ιαβις N---AS---- Ιαβις
Γαλααδ N---AS---- Γαλαάδ
καὶ C--------- καί
εἶπον VBI-AAI3P- εἶπον
πάντες A3--NPM--- πᾶς
οἱ RA--NPM--- ὁ
ἄνδρες N3--NPM--- ἀνήρ
Ιαβις N---GS---- Ιαβις
πρὸς P--------- πρός
Ναας N---ASM--- Ναας
τὸν RA--ASM--- ὁ
Αμμανίτην N1M-ASM--- Αμμανίτην
διάθου VE--AMD2S- τίθημι δια
ἡμῖν RP--DP---- ἐγώ
διαθήκην N1--ASF--- διαθήκη
καὶ C--------- καί
δουλεύσομέν VF--FAI1P- δουλεύω
σοι RP--DS---- σύ

1Sa 11:2
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
πρὸς P--------- πρός
αὐτοὺς RD--APM--- αὐτός
Ναας N---NSM--- Ναας
ὁ RA--NSM--- ὁ
Αμμανίτης N1M-NSM--- Αμμανίτης
ἐν P--------- ἐν
ταύτῃ RD--DSF--- οὗτος
διαθήσομαι VF--FMI1S- τίθημι δια
ὑμῖν RP--DP---- σύ
διαθήκην N1--ASF--- διαθήκη
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
ἐξορύξαι VA--AAN--- ὀρύσσω ἐκ
ὑμῶν RP--GP---- σύ
πάντα A3--ASM--- πᾶς
ὀφθαλμὸν N2--ASM--- ὀφθαλμός
δεξιόν A1A-ASM--- δεξιός
καὶ C--------- καί
θήσομαι VF--FMI1S- τίθημι
ὄνειδος N3E-ASN--- ὄνειδος
ἐπὶ P--------- ἐπί
Ισραηλ N---ASM--- Ἰσραήλ

1Sa 11:3
καὶ C--------- καί
λέγουσιν V1--PAI3P- λέγω
αὐτῷ RD--DSM--- αὐτός
οἱ RA--NPM--- ὁ
ἄνδρες N3--NPM--- ἀνήρ
Ιαβις N---GS---- Ιαβις
ἄνες VB--AAD2S- ἵημι ἀνα
ἡμῖν RP--DP---- ἐγώ
ἑπτὰ M--------- ἑπτά
ἡμέρας N1A-APF--- ἡμέρα
καὶ C--------- καί
ἀποστελοῦμεν VF2-FAI1P- στέλλω ἀπο
ἀγγέλους N2--APM--- ἄγγελος
εἰς P--------- εἰς
πᾶν A3--ASN--- πᾶς
ὅριον N2N-ASN--- ὅριον
Ισραηλ N---GSM--- Ἰσραήλ
ἐὰν C--------- ἐάν
μὴ D--------- μή
ᾖ V9--PAS3S- εἰμί
ὁ RA--NSM--- ὁ
σῴζων V1--PAPNSM σώζω
ἡμᾶς RP--AP---- ἐγώ
ἐξελευσόμεθα VF--FMI1P- ἔρχομαι ἐκ
πρὸς P--------- πρός
ὑμᾶς RP--AP---- σύ

1Sa 11:4
καὶ C--------- καί
ἔρχονται V1--PMI3P- ἔρχομαι
οἱ RA--NPM--- ὁ
ἄγγελοι N2--NPM--- ἄγγελος
εἰς P--------- εἰς
Γαβαα N---AS---- Γαβαα
πρὸς P--------- πρός
Σαουλ N---ASM--- Σαούλ
καὶ C--------- καί
λαλοῦσιν V2--PAI3P- λαλέω
τοὺς RA--APM--- ὁ
λόγους N2--APM--- λόγος
εἰς P--------- εἰς
τὰ RA--APN--- ὁ
ὦτα N3T-APN--- οὖς
τοῦ RA--GSM--- ὁ
λαοῦ N2--GSM--- λαός
καὶ C--------- καί
ἦραν VAI-AAI3P- αἴρω
πᾶς A3--NSM--- πᾶς
ὁ RA--NSM--- ὁ
λαὸς N2--NSM--- λαός
τὴν RA--ASF--- ὁ
φωνὴν N1--ASF--- φωνή
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ἔκλαυσαν VAI-AAI3P- κλαίω

1Sa 11:5
καὶ C--------- καί
ἰδοὺ I--------- ἰδού
Σαουλ N---NSM--- Σαούλ
ἤρχετο V1I-IMI3S- ἄρχω
μετὰ P--------- μετά
τὸ RA--ASN--- ὁ
πρωὶ D--------- πρωΐ
ἐξ P--------- ἐκ
ἀγροῦ N2--GSM--- ἀγρός
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Σαουλ N---NSM--- Σαούλ
τί RI--ASN--- τίς
ὅτι C--------- ὅτι
κλαίει V1--PAI3S- κλαίω
ὁ RA--NSM--- ὁ
λαός N2--NSM--- λαός
καὶ C--------- καί
διηγοῦνται V2--PMI3P- ἡγέομαι δια
αὐτῷ RD--DSM--- αὐτός
τὰ RA--APN--- ὁ
ῥήματα N3M-APN--- ῥῆμα
τῶν RA--GPM--- ὁ
υἱῶν N2--GPM--- υἱός
Ιαβις N---GSM--- Ιαβις

1Sa 11:6
καὶ C--------- καί
ἐφήλατο VBI-AMI3S- ἁλλομαι ἐπι
πνεῦμα N3M-NSN--- πνεῦμα
κυρίου N2--GSM--- κύριος
ἐπὶ P--------- ἐπί
Σαουλ N---ASM--- Σαούλ
ὡς C--------- ὡς
ἤκουσεν VAI-AAI3S- ἀκούω
τὰ RA--APN--- ὁ
ῥήματα N3M-APN--- ῥῆμα
ταῦτα RD--APN--- οὗτος
καὶ C--------- καί
ἐθυμώθη VCI-API3S- θυμόω
ἐπ' P--------- ἐπί
αὐτοὺς RD--APM--- αὐτός
ὀργὴ N1--NSF--- ὀργή
αὐτοῦ RD--GSM--- αὐτός
σφόδρα D--------- σφόδρα

1Sa 11:7
καὶ C--------- καί
ἔλαβεν VBI-AAI3S- λαμβάνω
δύο M--------- δύο
βόας N3--APM--- βοῦς
καὶ C--------- καί
ἐμέλισεν VAI-AAI3S- μελίζω
αὐτὰς RD--APF--- αὐτός
καὶ C--------- καί
ἀπέστειλεν VAI-AAI3S- στέλλω ἀπο
εἰς P--------- εἰς
πᾶν A3--ASN--- πᾶς
ὅριον N2N-ASN--- ὅριον
Ισραηλ N---GSM--- Ἰσραήλ
ἐν P--------- ἐν
χειρὶ N3--DSF--- χείρ
ἀγγέλων N2--GPM--- ἄγγελος
λέγων V1--PAPNSM λέγω
ὃς RR--NSM--- ὅς
οὐκ D--------- οὐ
ἔστιν V9--PAI3S- εἰμί
ἐκπορευόμενος V1--PMPNSM πορεύομαι ἐκ
ὀπίσω P--------- ὀπίσω
Σαουλ N---GSM--- Σαούλ
καὶ C--------- καί
ὀπίσω P--------- ὀπίσω
Σαμουηλ N---GSM--- Σαμουηλ
κατὰ P--------- κατά
τάδε RD--APN--- ὅδε
ποιήσουσιν VF--FAI3P- ποιέω
τοῖς RA--DPM--- ὁ
βουσὶν N3E-DPM--- βοῦς
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἐπῆλθεν VBI-AAI3S- ἔρχομαι ἐπι
ἔκστασις N3I-NSF--- ἔκστασις
κυρίου N2--GSM--- κύριος
ἐπὶ P--------- ἐπί
τὸν RA--ASM--- ὁ
λαὸν N2--ASM--- λαός
Ισραηλ N---GSM--- Ἰσραήλ
καὶ C--------- καί
ἐβόησαν VAI-AAI3P- βοάω
ὡς C--------- ὡς
ἀνὴρ N3--NSM--- ἀνήρ
εἷς A3--NSM--- εἷς

1Sa 11:8
καὶ C--------- καί
ἐπισκέπτεται V1--PMI3S- σκέπτομαι ἐπι
αὐτοὺς RD--APM--- αὐτός
Αβιεζεκ N---NSM--- Αβιεζεκ
ἐν P--------- ἐν
Βαμα N---DSF--- Βαμα
πᾶν A3--NSN--- πᾶς
ἄνδρα N3--ASM--- ἀνήρ
Ισραηλ N---GSM--- Ἰσραήλ
ἑξακοσίας A1A-APF--- ἑξακόσιοι
χιλιάδας N3D-APF--- χιλιάς
καὶ C--------- καί
ἄνδρας N3--APM--- ἀνήρ
Ιουδα N---GSM--- Ιουδα
ἑβδομήκοντα M--------- ἑβδομήκοντα
χιλιάδας N3D-APF--- χιλιάς

1Sa 11:9
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
τοῖς RA--DPM--- ὁ
ἀγγέλοις N2--DPM--- ἄγγελος
τοῖς RA--DPM--- ὁ
ἐρχομένοις V1--PMPDPM ἔρχομαι
τάδε RI--APN--- ὅδε
ἐρεῖτε VF2-FAI2P- εἶπον
τοῖς RA--DPM--- ὁ
ἀνδράσιν N3--DPM--- ἀνήρ
Ιαβις N---GS---- Ιαβις
αὔριον D--------- αὔριον
ὑμῖν RP--DP---- σύ
ἡ RA--NSF--- ὁ
σωτηρία N1A-NSF--- σωτηρία
διαθερμάναντος VA--AAPGSM θερμαίνω δια
τοῦ RA--GSM--- ὁ
ἡλίου N2--GSM--- ἥλιος
καὶ C--------- καί
ἦλθον VBI-AAI3P- ἔρχομαι
οἱ RA--NPM--- ὁ
ἄγγελοι N2--NPM--- ἄγγελος
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
πόλιν N3I-ASF--- πόλις
καὶ C--------- καί
ἀπαγγέλλουσιν V1--PAI3P- ἀγγέλλω ἀπο
τοῖς RA--DPM--- ὁ
ἀνδράσιν N3--DPM--- ἀνήρ
Ιαβις N---GS---- Ιαβις
καὶ C--------- καί
εὐφράνθησαν VC--API3P- εὐφραίνω

1Sa 11:10
καὶ C--------- καί
εἶπαν VAI-AAI3P- εἶπον
οἱ RA--NPM--- ὁ
ἄνδρες N3--NPM--- ἀνήρ
Ιαβις N---GS---- Ιαβις
πρὸς P--------- πρός
Ναας N---AS---- Ναας
τὸν RA--ASM--- ὁ
Αμμανίτην N1M-ASM--- Αμμανίτης
αὔριον D--------- αὔριον
ἐξελευσόμεθα VF--FMI1P- ἔρχομαι ἐκ
πρὸς P--------- πρός
ὑμᾶς RP--AP---- σύ
καὶ C--------- καί
ποιήσετε VF--FAI2P- ποιέω
ἡμῖν RP--DP---- ἐγώ
τὸ RA--ASN--- ὁ
ἀγαθὸν A1--ASN--- ἀγαθός
ἐνώπιον P--------- ἐνώπιον
ὑμῶν RP--GP---- σύ

1Sa 11:11
καὶ C--------- καί
ἐγενήθη VCI-API3S- γίγνομαι
μετὰ P--------- μετά
τὴν RA--ASF--- ὁ
αὔριον D--------- αὔριον
καὶ C--------- καί
ἔθετο VEI-AMI3S- τίθημι
Σαουλ N---NSM--- Σαούλ
τὸν RA--ASM--- ὁ
λαὸν N2--ASM--- λαός
εἰς P--------- εἰς
τρεῖς A3--APF--- τρεῖς
ἀρχάς N1--APF--- ἀρχή
καὶ C--------- καί
εἰσπορεύονται V1--PMI3P- πορεύομαι εἰς
μέσον A1--ASN--- μέσος
τῆς RA--GSF--- ὁ
παρεμβολῆς N1--GSF--- παρεμβολή
ἐν P--------- ἐν
φυλακῇ N1--DSF--- φυλακή
τῇ RA--DSF--- ὁ
πρωινῇ A1--DSF--- πρωινός
καὶ C--------- καί
ἔτυπτον V1I-IAI3P- τύπτω
τοὺς RA--APM--- ὁ
υἱοὺς N2--APM--- υἱός
Αμμων N---GSM--- Αμμων
ἕως P--------- ἕως
διεθερμάνθη VCI-API3S- θερμαίνω δια
ἡ RA--NSF--- ὁ
ἡμέρα N1A-NSF--- ἡμέρα
καὶ C--------- καί
ἐγενήθησαν VCI-API3P- γίγνομαι
οἱ RA--NPM--- ὁ
ὑπολελειμμένοι VP--XMPNPM λείπω ὑπο
διεσπάρησαν VDI-API3P- σπείρω δια
καὶ C--------- καί
οὐχ D--------- οὐ
ὑπελείφθησαν VVI-API3P- λείπω ὑπο
ἐν P--------- ἐν
αὐτοῖς RD--DPM--- αὐτός
δύο M--------- δύο
κατὰ P--------- κατά
τὸ RA--ASN--- ὁ
αὐτό RD--ASN--- αὐτός

1Sa 11:12
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ὁ RA--NSM--- ὁ
λαὸς N2--NSM--- λαός
πρὸς P--------- πρός
Σαμουηλ N---ASM--- Σαμουηλ
τίς RI--ASN--- τίς
ὁ RA--NSM--- ὁ
εἴπας VAI-AAI2S- εἶπον
ὅτι C--------- ὅτι
Σαουλ N---NSM--- Σαούλ
οὐ D--------- οὐ
βασιλεύσει VF--FAI3S- βασιλεύω
ἡμῶν RP--GP---- ἐγώ
παράδος VO--AAD2S- δίδωμι παρα
τοὺς RA--APM--- ὁ
ἄνδρας N3--APM--- ἀνήρ
καὶ C--------- καί
θανατώσομεν VF--FAI1P- θανατόω
αὐτούς RD--APM--- αὐτός

1Sa 11:13
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Σαουλ N---NSM--- Σαούλ
οὐκ D--------- οὐ
ἀποθανεῖται VF2-FMI3S- θνήσκω ἀπο
οὐδεὶς A3--NSM--- οὐδείς
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ἡμέρᾳ N1A-DSF--- ἡμέρα
ταύτῃ RD--DSF--- οὗτος
ὅτι C--------- ὅτι
σήμερον D--------- σήμερον
κύριος N2--NSM--- κύριος
ἐποίησεν VAI-AAI3S- ποιέω
σωτηρίαν N1A-ASF--- σωτηρία
ἐν P--------- ἐν
Ισραηλ N---DSM--- Ἰσραήλ

1Sa 11:14
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Σαμουηλ N---NSM--- Σαμουηλ
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
λαὸν N2--ASM--- λαός
λέγων V1--PAPNSM λέγω
πορευθῶμεν V1--PAS1P- πορεύομαι
εἰς P--------- εἰς
Γαλγαλα N---ASF--- Γάλγαλα
καὶ C--------- καί
ἐγκαινίσωμεν VA--AAS1P- καινίζω ἐν
ἐκεῖ D--------- ἐκεῖ
τὴν RA--ASF--- ὁ
βασιλείαν N1A-ASF--- βασιλεία

1Sa 11:15
καὶ C--------- καί
ἐπορεύθη VCI-API3S- πορεύομαι
πᾶς A3--NSM--- πᾶς
ὁ RA--NSM--- ὁ
λαὸς N2--NSM--- λαός
εἰς P--------- εἰς
Γαλγαλα N---ASF--- Γάλγαλα
καὶ C--------- καί
ἔχρισεν VAI-AAI3S- χρίω
Σαμουηλ N---NSM--- Σαμουηλ
ἐκεῖ D--------- ἐκεῖ
τὸν RA--ASM--- ὁ
Σαουλ N---ASM--- Σαούλ
εἰς P--------- εἰς
βασιλέα N3V-ASM--- βασιλεύς
ἐνώπιον P--------- ἐνώπιον
κυρίου N2--GSM--- κύριος
ἐν P--------- ἐν
Γαλγαλοις N---DPF--- Γάλγαλα
καὶ C--------- καί
ἔθυσεν VAI-AAI3S- θύω
ἐκεῖ D--------- ἐκεῖ
θυσίας N1A-APF--- θυσία
καὶ C--------- καί
εἰρηνικὰς A1--APF--- εἰρηνικός
ἐνώπιον P--------- ἐνώπιον
κυρίου N2--GSM--- κύριος
καὶ C--------- καί
εὐφράνθη VC--API3S- εὐφραίνω
Σαμουηλ N---NSM--- Σαμουηλ
καὶ C--------- καί
πᾶς A3--NSM--- πᾶς
Ισραηλ N---NSM--- Ἰσραήλ
ὥστε C--------- ὥστε
λίαν D--------- λίαν

1Sa 12:1
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Σαμουηλ N---NSM--- Σαμουηλ
πρὸς P--------- πρός
πάντα A3--ASM--- πᾶς
ἄνδρα N3--ASM--- ἀνήρ
Ισραηλ N---ASM--- Ἰσραήλ
ἰδοὺ I--------- ἰδού
ἤκουσα VAI-AAI1S- ἀκούω
φωνῆς N1--GSF--- φωνή
ὑμῶν RP--GP---- σύ
εἰς P--------- εἰς
πάντα A3--APN--- πᾶς
ὅσα A1--APN--- ὅσος
εἴπατέ VAI-AAI2P- εἶπον
μοι RP--DS---- ἐγώ
καὶ C--------- καί
ἐβασίλευσα VAI-AAI1S- βασιλεύω
ἐφ' P--------- ἐπί
ὑμᾶς RP--AP---- σύ
βασιλέα N3V-ASM--- βασιλεύς

1Sa 12:2
καὶ C--------- καί
νῦν D--------- νῦν
ἰδοὺ I--------- ἰδού
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
διαπορεύεται V1--PMI3S- πορεύομαι δια
ἐνώπιον P--------- ἐνώπιον
ὑμῶν RP--GP---- σύ
κἀγὼ C+RPNS---- καί+ἐγώ
γεγήρακα VX--XAI1S- γηράσκω
καὶ C--------- καί
καθήσομαι VF--FMI1S- ἵημι κατα
καὶ C--------- καί
οἱ RA--NPM--- ὁ
υἱοί N2--NPM--- υἱός
μου RP--GS---- ἐγώ
ἰδοὺ I--------- ἰδού
ἐν P--------- ἐν
ὑμῖν RP--DP---- σύ
κἀγὼ C+RPNS---- καί+ἐγώ
ἰδοὺ I--------- ἰδού
διελήλυθα VX--XAI1S- ἔρχομαι δια
ἐνώπιον P--------- ἐνώπιον
ὑμῶν RP--GP---- σύ
ἐκ P--------- ἐκ
νεότητός N3T-GSF--- νεότης
μου RP--GS---- ἐγώ
καὶ C--------- καί
ἕως P--------- ἕως
τῆς RA--GSF--- ὁ
ἡμέρας N1A-GSF--- ἡμέρα
ταύτης RD--GSF--- οὗτος

1Sa 12:3
ἰδοὺ I--------- ἰδού
ἐγώ RP--NS---- ἐγώ
ἀποκρίθητε VC--APS2P- κρίνω ἀπο
κατ' P--------- κατά
ἐμοῦ RP--GS---- ἐγώ
ἐνώπιον P--------- ἐνώπιον
κυρίου N2--GSM--- κύριος
καὶ C--------- καί
ἐνώπιον P--------- ἐνώπιον
χριστοῦ A1--GSM--- χριστός
αὐτοῦ RD--GSM--- αὐτός
μόσχον N2--ASM--- μόσχος
τίνος RI--GSM--- τίς
εἴληφα VX--XAI1S- λαμβάνω
ἢ C--------- ἤ
ὄνον N2--ASF--- ὄνος
τίνος RI--GSM--- τίς
εἴληφα VX--XAI1S- λαμβάνω
ἢ C--------- ἤ
τίνα RI--ASM--- τίς
κατεδυνάστευσα VAI-AAI1S- δυναστεύω κατα
ὑμῶν RP--GP---- σύ
ἢ C--------- ἤ
τίνα RI--ASM--- τίς
ἐξεπίεσα VAI-AAI1S- πιέζω ἐκ
ἢ C--------- ἤ
ἐκ P--------- ἐκ
χειρὸς N3--GSF--- χείρ
τίνος RI--GSN--- τίς
εἴληφα VX--XAI1S- λαμβάνω
ἐξίλασμα N3M-ASN--- ἐξίλασμα
καὶ C--------- καί
ὑπόδημα N3M-ASN--- ὑπόδημα
ἀποκρίθητε VC--APS2P- κρίνω ἀπο
κατ' P--------- κατά
ἐμοῦ RP--GS---- ἐγώ
καὶ C--------- καί
ἀποδώσω VF--FAI1S- δίδωμι ἀπο
ὑμῖν RP--DP---- σύ

1Sa 12:4
καὶ C--------- καί
εἶπαν VAI-AAI3P- εἶπον
πρὸς P--------- πρός
Σαμουηλ N---ASM--- Σαμουηλ
οὐκ D--------- οὐ
ἠδίκησας VAI-AAI2S- ἀδικέω
ἡμᾶς RP--AP---- ἐγώ
καὶ C--------- καί
οὐ D--------- οὐ
κατεδυνάστευσας VAI-AAI2S- δυναστεύω κατα
καὶ C--------- καί
οὐκ D--------- οὐ
ἔθλασας VAI-AAI2S- θλάω
ἡμᾶς RP--AP---- ἐγώ
καὶ C--------- καί
οὐκ D--------- οὐ
εἴληφας VX--XAI2S- λαμβάνω
ἐκ P--------- ἐκ
χειρὸς N3--GSF--- χείρ
οὐδενὸς A3--GSM--- οὐδείς
